date_obj,Steel%20kiteshield%20(t) price
2016-07-06,750000
2016-07-07,716236
2016-07-08,716236
2016-07-09,716236
2016-07-10,681943
2016-07-11,681943
2016-07-12,681943
2016-07-13,648910
2016-07-14,648910
2016-07-15,648910
2016-07-16,617484
2016-07-17,617484
2016-07-18,617484
2016-07-24,558831
2016-07-25,558831
2016-07-26,558831
2016-07-27,558831
2016-07-28,558831
2016-07-29,531327
2016-07-30,531327
2016-07-31,531327
2016-08-01,531327
2016-08-02,531327
2016-08-03,531327
2016-08-04,505774
2016-08-05,505774
2016-08-06,505774
2016-08-07,505774
2016-08-08,505774
2016-08-09,505774
2016-08-10,505774
2016-08-11,481464
2016-08-12,481464
2016-08-13,481464
2016-08-14,481464
2016-08-15,481464
2016-08-16,481464
2016-08-17,481464
2016-08-18,457978
2016-08-19,457978
2016-08-20,457978
2016-08-21,457978
2016-08-22,457978
2016-08-23,457978
2016-08-24,457978
2016-08-25,435501
2016-08-26,435501
2016-08-28,435501
2016-08-31,435501
2016-09-01,435501
2016-09-02,435501
2016-09-03,414167
2016-09-04,414167
2016-09-05,414167
2016-09-06,414167
2016-09-07,414167
2016-09-08,414167
2016-09-09,414167
2016-09-10,414167
2016-09-11,414167
2016-09-12,414167
2016-09-13,414167
2016-09-14,393977
2016-09-15,393977
2016-09-16,393977
2016-09-17,393977
2016-09-18,393977
2016-09-19,393977
2016-09-20,393977
2016-09-21,393977
2016-09-22,393977
2016-09-23,374629
2016-09-24,374629
2016-09-25,374629
2016-09-26,374629
2016-09-27,374629
2016-09-28,374629
2016-09-29,374629
2016-09-30,374629
2016-10-01,356317
2016-10-02,356317
2016-10-03,356317
2016-10-04,356317
2016-10-05,356317
2016-10-06,356317
2016-10-07,338975
2016-10-08,338975
2016-10-09,338975
2016-10-10,338975
2016-10-11,338975
2016-10-12,338975
2016-10-13,338975
2016-10-14,338975
2016-10-15,322452
2016-10-16,322452
2016-10-17,322452
2016-10-18,322452
2016-10-19,322452
2016-10-20,322452
2016-10-21,307010
2016-10-22,307010
2016-10-23,307010
2016-10-24,307010
2016-10-25,307010
2016-10-26,307010
2016-10-27,307010
2016-10-28,307010
2016-10-29,292588
2016-10-30,292588
2016-10-31,51000
2016-11-01,51000
2016-11-02,51000
2016-11-03,51000
2016-11-04,51000
2016-11-05,51000
2016-11-06,51000
2016-11-07,51000
2016-11-08,51000
2016-11-09,51000
2016-11-10,51000
2016-11-11,51000
2016-11-12,50240
2016-11-13,50240
2016-11-14,50240
2016-12-08,45587
2016-12-09,45587
2016-12-10,43465
2016-12-11,43465
2016-12-12,43465
2016-12-13,43465
2016-12-14,43465
2016-12-15,43465
2016-12-16,43465
2016-12-17,43465
2016-12-18,43465
2016-12-19,41408
2016-12-20,41408
2016-12-21,41408
2016-12-22,41408
2016-12-23,41408
2016-12-24,41408
2016-12-25,41408
2016-12-26,41408
2016-12-27,39518
2016-12-28,39518
2016-12-29,39518
2016-12-30,39518
2016-12-31,39518
2017-01-01,39518
2017-01-02,39518
2017-01-03,39518
2017-01-04,37638
2017-01-05,37638
2017-01-06,37638
2017-01-07,37638
2017-01-08,37638
2017-01-09,37638
2017-01-10,37638
2017-01-11,35861
2017-01-12,35861
2017-01-13,35861
2017-01-14,35861
2017-01-15,35861
2017-01-16,35861
2017-01-17,35861
2017-01-18,34218
2017-01-19,34218
2017-01-20,34218
2017-01-21,34218
2017-01-22,34218
2017-01-27,32633
2017-01-28,32633
2017-01-29,32633
2017-01-30,32633
2017-01-31,32633
2017-02-01,31117
2017-02-02,31117
2017-02-03,31117
2017-02-04,31117
2017-02-05,31117
2017-02-06,31117
2017-02-07,31117
2017-02-08,31117
2017-02-09,31117
2017-02-10,29652
2017-02-11,29652
2017-02-12,29652
2017-02-13,29652
2017-02-14,29652
2017-02-15,29652
2017-02-16,29652
2017-02-18,28366
2017-02-19,28366
2017-02-20,28366
2017-02-21,28366
2017-02-22,28366
2017-02-23,28366
2017-02-24,28366
2017-02-25,27059
2017-02-26,27059
2017-02-27,27059
2017-02-28,27059
2017-03-01,27059
2017-03-02,27059
2017-03-03,27059
2017-03-04,27059
2017-03-05,25954
2017-03-06,25954
2017-03-07,25954
2017-03-08,25954
2017-03-09,25954
2017-03-10,25954
2017-03-11,25954
2017-03-12,25954
2017-03-13,25091
2017-03-14,25091
2017-03-15,25091
2017-03-16,25091
2017-03-17,25091
2017-03-18,25091
2017-03-19,25091
2017-03-20,25091
2017-03-21,24106
2017-03-22,24106
2017-03-23,24106
2017-03-24,24106
2017-03-25,24106
2017-03-26,24106
2017-03-27,24106
2017-03-28,24106
2017-03-29,23119
2017-03-30,23119
2017-03-31,23119
2017-04-01,23119
2017-04-02,23119
2017-04-03,23119
2017-04-04,23119
2017-04-12,22375
2017-04-13,22375
2017-04-14,22375
2017-04-15,22375
2017-04-16,21523
2017-04-17,21523
2017-04-18,21523
2017-04-19,21523
2017-04-20,21523
2017-04-21,21523
2017-04-22,21523
2017-04-23,21523
2017-04-24,21523
2017-04-25,20624
2017-04-26,20624
2017-04-27,20624
2017-04-28,20624
2017-04-29,20624
2017-04-30,20624
2017-05-01,20624
2017-05-02,20624
2017-05-03,19729
2017-05-04,19729
2017-05-05,19729
2017-05-06,19729
2017-05-07,19729
2017-05-08,19729
2017-05-09,19729
2017-05-10,19729
2017-05-11,19729
2017-05-12,19280
2017-05-13,19280
2017-05-14,19280
2017-05-15,19280
2017-05-16,19280
2017-05-17,19280
2017-05-18,19280
2017-05-19,19280
2017-05-20,19280
2017-05-21,18436
2017-05-22,18436
2017-05-23,18436
2017-05-24,18436
2017-05-25,18436
2017-05-26,18436
