date_obj,Magic%20fang price
2015-03-26,4245631
2015-03-27,4245631
2015-03-28,4053739
2015-03-29,3889815
2015-03-30,3953219
2015-03-31,3874785
2015-04-01,3830283
2015-04-02,3781498
2015-04-03,3641807
2015-04-04,3524045
2015-04-05,3502294
2015-04-06,3573409
2015-04-07,3552756
2015-04-08,3552756
2015-04-09,3485798
2015-04-10,3327054
2015-04-11,3166130
2015-04-12,3016008
2015-04-13,2866539
2015-04-14,2763060
2015-04-15,2735358
2015-04-16,2642951
2015-04-17,2600362
2015-04-18,2537262
2015-04-19,2501541
2015-04-20,2501541
2015-04-21,2424317
2015-04-22,2347249
2015-04-23,2258462
2015-04-24,2151841
2015-04-25,2081954
2015-04-26,2039860
2015-04-27,1960435
2015-04-28,1894057
2015-04-29,1894057
2015-04-30,1930254
2015-05-01,2025935
2015-05-02,2119353
2015-05-03,2119353
2015-05-04,2073448
2015-05-05,2030426
2015-05-06,1976331
2015-05-07,1923384
2015-05-08,1838197
2015-05-09,1750441
2015-05-10,1724188
2015-05-11,1724188
2015-05-12,1684901
2015-05-13,1637096
2015-05-14,1596073
2015-05-15,1563924
2015-05-16,1555180
2015-05-17,1536762
2015-05-18,1521667
2015-05-19,1486178
2015-05-20,1486178
2015-05-21,1460207
2015-05-22,1416487
2015-05-23,1412368
2015-05-24,1372747
2015-05-25,1319821
2015-05-26,1253924
2015-05-27,1210254
2015-05-28,1179234
2015-05-29,1169769
2015-05-30,1177088
2015-05-31,1195260
2015-06-01,1229031
2015-06-02,1280532
2015-06-03,1307948
2015-06-04,1299445
2015-06-05,1257859
2015-06-06,1225536
2015-06-07,1209466
2015-06-08,1207104
2015-06-09,1182231
2015-06-10,1139879
2015-06-11,1087672
2015-06-12,1044072
2015-06-13,994557
2015-06-14,963145
2015-06-15,933322
2015-06-16,887564
2015-06-17,843185
2015-06-18,801025
2015-06-19,760973
2015-06-20,722924
2015-06-21,686785
2015-06-22,652445
2015-06-23,619993
2015-06-24,608509
2015-06-25,631033
2015-06-26,619318
2015-06-27,600626
2015-06-28,601253
2015-06-29,609076
2015-06-30,598877
2015-07-01,588709
2015-07-02,588709
2015-07-03,568836
2015-07-04,546600
2015-07-05,527295
2015-07-06,515451
2015-07-07,490875
2015-07-08,471129
2015-07-09,471129
2015-07-10,447611
2015-07-11,425230
2015-07-12,403968
2015-07-13,385488
2015-07-14,366398
2015-07-15,350774
2015-07-16,334391
2015-07-17,317671
2015-07-18,301787
2015-07-19,286789
2015-07-20,286555
2015-07-21,300870
2015-07-22,315914
2015-07-23,315914
2015-07-24,330603
2015-07-25,347004
2015-07-26,362877
2015-07-27,381021
2015-07-28,400073
2015-07-29,420023
2015-07-30,441025
2015-07-31,461243
2015-08-01,484140
2015-08-02,491760
2015-08-03,468887
2015-08-04,447604
2015-08-05,425223
2015-08-06,403961
2015-08-07,383836
2015-08-08,365042
2015-08-09,348236
2015-08-10,335294
2015-08-11,330034
2015-08-12,334776
2015-08-13,347672
2015-08-14,359061
2015-08-15,373877
2015-08-16,385888
2015-08-17,389394
2015-08-18,399231
2015-08-19,402783
