date_obj,Gold%20elegant%20legs price
2015-03-26,59381
2015-03-27,59381
2015-03-28,56543
2015-03-29,56543
2015-03-30,53715
2015-03-31,53715
2015-04-01,51113
2015-04-02,51113
2015-04-03,48557
2015-04-04,46390
2015-04-05,46390
2015-04-06,44185
2015-04-07,44185
2015-04-08,42086
2015-04-09,42086
2015-04-10,39981
2015-04-11,39981
2015-04-12,37981
2015-04-13,37981
2015-04-14,36140
2015-04-15,36140
2015-04-16,34456
2015-04-17,34456
2015-04-18,32733
2015-04-19,32733
2015-04-20,31161
2015-04-21,31161
2015-04-22,29723
2015-04-23,29723
2015-04-24,28236
2015-04-25,28236
2015-04-26,26913
2015-04-27,26913
2015-04-28,25567
2015-04-29,25567
2015-04-30,24390
2015-05-01,24390
2015-05-02,23170
2015-05-03,23170
2015-05-04,22097
2015-05-05,22097
2015-05-06,20992
2015-05-07,20992
2015-05-08,20013
2015-05-09,20013
2015-05-10,19117
2015-05-11,19117
2015-05-12,18258
2015-05-13,18258
2015-05-14,17656
2015-05-15,17656
2015-05-16,17656
2015-05-17,17136
2015-05-18,17136
2015-05-19,16893
2015-05-20,16893
2015-05-21,16893
2015-05-22,16406
2015-05-23,16406
2015-05-24,16406
2015-05-25,15941
2015-05-26,15941
2015-05-27,15941
2015-05-28,15257
2015-05-29,15257
2015-05-30,14713
2015-05-31,14713
2015-06-01,14713
2015-06-02,14713
2015-06-03,14150
2015-06-04,14150
2015-06-05,14150
2015-06-06,13843
2015-06-07,13843
2015-06-08,13843
2015-06-09,13669
2015-06-10,13669
2015-06-11,13669
2015-06-12,13669
2015-06-13,13484
2015-06-14,13484
2015-06-15,13484
2015-06-16,13270
2015-06-17,13270
2015-06-18,13270
2015-06-19,13099
2015-06-20,13099
2015-06-21,13068
2015-06-22,13068
2015-06-23,13068
2015-06-24,12856
2015-06-25,12856
2015-06-26,12856
2015-06-27,12360
2015-06-28,12360
2015-06-29,12360
2015-06-30,12469
2015-07-01,12469
2015-07-02,12469
2015-07-03,12343
2015-07-04,12343
2015-07-05,12343
2015-07-06,12173
2015-07-07,12173
2015-07-08,12173
2015-07-09,12012
2015-07-10,12012
2015-07-11,12012
2015-07-12,11818
2015-07-13,11818
2015-07-14,11599
2015-07-15,11599
2015-07-16,11599
2015-07-17,11535
2015-07-18,11535
2015-07-19,11535
2015-07-20,11369
2015-07-21,11369
2015-07-22,11369
2015-07-23,11031
2015-07-24,11031
2015-07-25,11031
2015-07-26,10860
2015-07-27,10860
2015-07-28,10860
2015-07-29,10454
2015-07-30,10454
2015-07-31,10454
2015-08-01,10211
2015-08-02,10211
2015-08-03,10077
2015-08-04,10077
2015-08-05,10077
2015-08-06,9839
2015-08-07,9839
2015-08-08,9839
2015-08-09,9814
2015-08-10,9814
2015-08-11,9976
2015-08-12,9976
2015-08-13,9976
2015-08-14,10447
2015-08-15,10447
2015-08-16,10447
2015-08-17,10363
2015-08-18,10363
2015-08-19,10729
2015-08-20,10729
2015-08-21,10729
2015-08-22,11134
2015-08-23,11134
2015-08-24,11134
2015-08-25,11611
2015-08-26,11611
2015-08-27,11794
2015-08-28,11794
2015-08-29,11794
2015-08-30,12315
2015-08-31,12315
2015-09-01,12798
2015-09-02,12798
2015-09-03,12798
2015-09-04,12762
2015-09-05,12762
2015-09-06,12762
2015-09-07,12873
2015-09-08,12873
2015-09-09,12873
2015-09-10,13502
2015-09-11,13502
2015-09-12,13502
2015-09-13,14120
2015-09-14,14120
2015-09-15,14120
2015-09-16,14692
2015-09-17,14692
2015-09-18,14692
2015-09-19,14756
2015-09-20,14756
