date_obj,Ancient%20emblem price
2017-11-23,483897
2017-11-24,492744
2017-11-25,491100
2017-11-26,494726
2017-11-27,494726
2017-11-28,491808
2017-11-29,490904
2017-11-30,492413
2017-12-01,488647
2017-12-02,488647
2017-12-03,492128
2017-12-04,492128
2017-12-05,490230
2017-12-06,490230
2017-12-07,488562
2017-12-08,488562
2017-12-09,484326
2017-12-10,484326
2017-12-11,487238
2017-12-12,487238
2017-12-13,488133
2017-12-14,488133
2017-12-15,491038
2017-12-16,491038
2017-12-17,491038
2017-12-18,486461
2017-12-19,486461
2017-12-20,486461
2017-12-21,489850
2017-12-22,489850
2017-12-23,489850
2017-12-24,491091
2017-12-25,491091
2017-12-26,491091
2017-12-27,482403
2017-12-28,482403
2017-12-29,482403
2017-12-30,483683
2017-12-31,483683
2018-01-01,483683
2018-01-02,486913
2018-01-03,486913
2018-01-04,486913
2018-01-05,490127
2018-01-06,490127
2018-01-07,490127
2018-01-08,486043
2018-01-09,486043
2018-01-10,486043
2018-01-11,481959
2018-01-12,481959
2018-01-13,481959
2018-01-14,489510
2018-01-15,489510
2018-01-16,489510
2018-01-17,487624
2018-01-18,487624
2018-01-19,487624
2018-01-20,491054
2018-01-21,491054
2018-01-22,491054
2018-01-23,483740
2018-01-24,483740
2018-01-25,486032
2018-01-26,486032
2018-01-27,489586
2018-01-28,489057
2018-01-29,488076
2018-01-30,488076
2018-01-31,486878
2018-02-01,486878
2018-02-02,487034
2018-02-03,487430
2018-02-04,487430
2018-02-05,488153
2018-02-06,479498
2018-02-07,484530
2018-02-08,465437
2018-02-09,482997
2018-02-10,488606
2018-02-11,489055
2018-02-12,491618
2018-02-13,489366
2018-02-14,489978
2018-02-15,471046
2018-02-16,468978
2018-02-17,475522
2018-02-18,471108
2018-02-19,473552
2018-02-20,472174
2018-02-21,479567
2018-02-22,477666
2018-02-23,475938
2018-02-24,482273
2018-02-25,484267
2018-02-26,482469
2018-02-27,483563
2018-02-28,483563
2018-03-01,486834
2018-03-02,481517
2018-03-03,483417
2018-03-04,483417
2018-03-05,483388
2018-03-06,485863
2018-03-07,485824
2018-03-08,485942
2018-03-09,481454
2018-03-10,487370
2018-03-11,480382
2018-03-12,483190
2018-03-13,485607
2018-03-14,490700
2018-03-15,491966
2018-03-16,488981
