date_obj,Black%20set%20(sk) price
2015-03-26,64901
2015-03-27,64901
2015-03-28,64901
2015-03-29,64901
2015-03-30,64901
2015-03-31,64901
2015-04-01,64901
2015-04-02,64901
2015-04-03,64901
2015-04-04,64901
2015-04-05,64901
2015-04-06,64901
2015-04-07,64901
2015-04-08,64901
2015-04-09,64901
2015-04-10,64901
2015-04-11,64901
2015-04-12,64901
2015-04-13,64901
2015-04-14,64901
2015-04-15,64901
2015-04-16,64901
2015-04-17,64901
2015-04-18,64901
2015-04-19,64901
2015-04-20,64901
2015-04-21,64901
2015-04-22,64901
2015-04-23,64901
2015-04-24,64901
2015-04-25,64901
2015-04-26,64901
2015-04-27,61683
2015-04-28,61683
2015-04-29,61683
2015-04-30,61683
2015-05-01,61683
2015-05-02,61683
2015-05-03,61683
2015-05-04,61683
2015-05-05,61683
2015-05-06,61683
2015-05-07,61683
2015-05-08,61683
2015-05-09,61683
2015-05-10,61683
2015-05-11,61683
2015-05-12,61683
2015-05-13,61683
2015-05-14,61683
2015-05-15,61683
2015-05-16,61683
2015-05-17,61683
2015-05-18,61683
2015-05-19,61683
2015-05-20,61683
2015-05-21,61683
2015-05-22,61683
2015-05-23,61683
2015-05-24,61683
2015-05-25,61683
2015-05-26,61683
2015-05-27,61683
2015-05-28,58598
2015-05-29,58598
2015-05-30,58598
2015-05-31,58598
2015-06-01,58598
2015-06-02,58598
2015-06-03,58598
2015-06-04,58598
2015-06-05,58598
2015-06-06,58598
2015-06-07,58598
2015-06-08,58598
2015-06-09,58598
2015-06-10,58598
2015-06-11,58598
2015-06-12,58598
2015-06-13,58598
2015-06-14,58598
2015-06-15,58598
2015-06-16,55715
2015-06-17,55715
2015-06-18,55715
2015-06-19,55715
2015-06-20,55715
2015-06-21,55715
2015-06-22,55715
2015-06-23,55715
2015-06-24,55715
2015-06-25,55715
2015-06-26,55715
2015-06-27,55715
2015-06-28,55715
2015-06-29,55715
2015-06-30,55715
2015-07-01,55715
2015-07-02,55715
2015-07-03,55715
2015-07-04,55715
2015-07-05,55715
2015-07-06,55715
2015-07-07,52962
2015-07-08,52962
2015-07-09,52962
2015-07-10,52962
2015-07-11,52962
2015-07-12,52962
2015-07-13,52962
2015-07-14,52962
2015-07-15,52962
2015-07-16,52962
2015-07-17,52962
2015-07-18,52962
2015-07-19,52962
2015-07-20,52962
2015-07-21,52962
2015-07-22,52962
2015-07-23,52962
2015-07-24,52962
2015-07-25,52962
2015-07-26,50367
2015-07-27,50367
2015-07-28,50367
2015-07-29,50367
2015-07-30,50367
2015-07-31,50367
2015-08-01,50367
2015-08-02,50367
2015-08-03,50367
2015-08-04,50367
2015-08-05,50367
2015-08-06,50367
2015-08-07,50367
2015-08-08,50367
2015-08-09,47907
2015-08-10,47907
2015-08-11,47907
2015-08-12,47907
2015-08-13,47907
2015-08-14,47907
2015-08-15,47907
2015-08-16,47907
2015-08-17,47907
2015-08-18,47907
2015-08-19,47907
2015-08-20,47907
2015-08-21,47907
2015-08-22,47907
2015-08-23,47907
2015-08-24,45564
2015-08-25,45564
2015-08-26,45564
2015-08-27,45564
2015-08-28,45564
2015-08-29,45564
2015-08-30,45564
2015-08-31,45564
2015-09-01,45564
2015-09-02,45564
2015-09-03,45564
2015-09-04,45564
2015-09-05,45564
2015-09-06,45564
2015-09-07,45564
2015-09-08,45564
2015-09-09,45564
2015-09-10,43362
2015-09-11,43362
2015-09-12,43362
2015-09-13,43362
2015-09-14,43362
2015-09-15,43362
2015-09-16,43362
2015-09-17,43362
2015-09-18,43362
2015-09-19,43362
2015-09-20,43362
2015-09-21,43362
2015-09-22,43362
2015-09-23,43362
2015-09-24,43362
2015-09-25,43362
2015-09-27,43362
2015-09-28,41402
2015-09-29,41402
2015-09-30,41402
2015-10-05,41402
2015-10-06,41402
2015-10-07,41402
2015-10-08,41402
2015-10-09,41402
2015-10-10,41402
2015-10-11,41402
2015-10-12,41402
2015-10-13,39414
2015-10-14,39414
2015-10-15,39414
2015-10-16,39414
2015-10-17,39414
2015-10-18,39414
2015-10-19,39414
2015-10-20,39414
2015-10-22,39414
2015-10-23,39414
2015-10-24,39414
2015-10-25,39414
2015-10-26,39414
2015-10-27,37495
2015-10-29,37495
2015-10-30,37495
2015-10-31,37495
2015-11-01,37495
2015-11-02,37495
2015-11-03,37495
2015-11-04,37495
2015-11-05,37495
2015-11-06,37495
2015-11-07,37495
2015-11-08,37495
2015-11-09,37495
2015-11-10,37495
2015-11-11,35657
2015-11-12,35657
2015-11-13,35657
2015-11-14,35657
2015-11-15,35657
2015-11-16,35657
