date_obj,Saradomin%20crozier price
2015-03-26,30401
2015-03-27,29046
2015-03-28,27593
2015-03-29,26213
2015-03-30,24902
2015-03-31,23852
2015-04-01,23123
2015-04-02,22324
2015-04-03,21599
2015-04-04,20893
2015-04-05,19936
2015-04-06,19180
2015-04-07,18221
2015-04-08,17394
2015-04-09,17174
2015-04-10,16503
2015-04-11,16269
2015-04-12,15826
2015-04-13,15269
2015-04-14,14574
2015-04-15,14129
2015-04-16,13576
2015-04-17,13169
2015-04-18,12933
2015-04-19,12670
2015-04-20,12670
2015-04-21,12386
2015-04-22,12386
2015-04-23,12183
2015-04-24,12135
2015-04-25,12007
2015-04-26,11850
2015-04-27,11683
2015-04-28,11335
2015-04-29,11335
2015-04-30,11038
2015-05-01,11148
2015-05-02,11644
2015-05-03,12189
2015-05-04,12799
2015-05-05,13439
2015-05-06,14111
2015-05-07,14817
2015-05-08,15477
2015-05-09,15998
2015-05-10,15994
2015-05-11,15994
2015-05-12,15853
2015-05-13,15645
2015-05-14,14932
2015-05-15,14335
2015-05-16,13918
2015-05-17,13555
2015-05-18,13169
2015-05-19,13058
2015-05-20,13058
2015-05-21,12774
2015-05-22,12663
2015-05-23,12448
2015-05-24,12151
2015-05-25,12471
2015-05-26,13095
2015-05-27,13714
2015-05-28,14379
2015-05-29,14826
2015-05-30,14795
2015-05-31,14795
2015-06-01,14340
2015-06-02,14340
2015-06-03,13765
2015-06-04,13489
2015-06-05,13080
2015-06-06,12464
2015-06-07,11840
2015-06-08,11840
2015-06-09,11259
2015-06-10,10937
2015-06-11,10937
2015-06-12,10390
2015-06-13,9950
2015-06-14,9553
2015-06-15,9553
2015-06-16,9204
2015-06-17,8910
2015-06-18,8956
2015-06-19,9212
2015-06-20,9424
2015-06-21,9363
2015-06-22,9312
2015-06-23,9191
2015-06-24,9205
2015-06-25,9205
2015-06-26,9035
2015-06-27,9035
2015-06-28,9039
2015-06-29,8859
2015-06-30,8621
2015-07-01,8571
2015-07-02,8571
2015-07-03,8442
2015-07-04,8469
2015-07-05,8469
2015-07-06,8237
2015-07-07,8183
2015-07-08,8082
2015-07-09,8082
2015-07-10,8309
2015-07-11,8309
2015-07-12,8605
2015-07-13,8555
2015-07-14,8474
2015-07-15,8282
2015-07-16,8529
2015-07-17,8886
2015-07-18,8886
2015-07-19,9198
2015-07-20,9282
2015-07-21,9282
2015-07-22,9499
2015-07-23,9499
2015-07-24,9825
2015-07-25,9825
2015-07-26,10275
2015-07-27,10275
2015-07-28,10346
2015-07-29,10173
2015-07-30,10173
2015-07-31,9919
2015-08-01,9731
2015-08-02,9273
2015-08-03,9161
2015-08-04,9161
2015-08-05,8837
2015-08-06,8837
2015-08-07,8430
2015-08-08,8257
2015-08-09,8257
2015-08-10,8219
2015-08-11,8200
2015-08-12,8200
2015-08-13,7945
2015-08-14,7734
2015-08-15,7734
2015-08-16,7624
2015-08-17,7468
2015-08-18,7468
2015-08-19,7282
2015-08-20,7282
2015-08-21,7132
2015-08-22,7043
2015-08-23,7043
2015-08-24,6983
2015-08-25,6983
2015-08-26,6834
2015-08-27,6647
2015-08-28,6647
2015-08-29,6440
2015-08-30,6440
2015-08-31,6292
2015-09-01,6292
2015-09-02,6168
2015-09-03,6091
2015-09-04,6013
2015-09-05,6013
2015-09-06,5949
2015-09-07,5906
2015-09-08,5857
2015-09-09,5780
2015-09-10,5868
2015-09-11,6007
2015-09-12,6007
2015-09-13,6197
2015-09-14,6308
2015-09-15,6440
2015-09-16,6440
2015-09-17,6517
2015-09-18,6517
2015-09-19,6439
2015-09-20,6443
2015-09-21,6443
2015-09-22,6454
2015-09-23,6476
2015-09-24,6476
2015-09-25,6447
2015-09-27,6338
2015-09-28,6213
2015-09-29,6213
2015-09-30,6108
2015-10-05,5794
2015-10-06,5781
2015-10-07,5781
2015-10-08,5793
2015-10-09,5905
2015-10-10,5905
2015-10-11,5822
2015-10-12,5654
2015-10-13,5654
2015-10-14,5458
2015-10-15,5404
2015-10-16,5301
2015-10-17,5301
2015-10-18,5255
2015-10-19,5201
2015-10-20,5334
2015-10-22,5545
2015-10-23,5797
2015-10-24,6085
2015-10-25,6390
2015-10-26,6604
2015-10-27,6604
2015-10-29,6471
2015-10-30,6644
2015-10-31,6546
2015-11-01,6546
2015-11-02,6478
2015-11-03,6478
2015-11-04,6561
2015-11-05,6561
2015-11-06,6601
2015-11-07,6509
2015-11-08,6509
2015-11-09,6697
2015-11-10,6697
2015-11-11,6812
2015-11-12,6812
2015-11-13,6796
2015-11-14,6796
2015-11-15,6641
2015-11-16,6641
2015-11-17,6526
2015-11-18,6526
2015-11-19,6361
2015-11-20,6270
2015-11-21,6270
2015-11-22,6213
2015-11-23,6213
2015-11-24,6162
2015-11-25,6054
2015-11-26,6054
2015-11-27,6032
2015-11-28,6061
2015-11-29,6085
2015-11-30,6092
2015-12-01,6092
2015-12-02,5976
2015-12-03,6119
2015-12-04,6119
2015-12-05,6177
2015-12-06,6202
2015-12-07,6202
2015-12-08,6080
2015-12-09,6027
2015-12-10,6028
2015-12-11,6036
2015-12-12,6214
2015-12-13,6241
2015-12-14,6241
2015-12-15,6294
2015-12-16,6325
2015-12-17,6325
2015-12-18,6305
2015-12-19,6376
2015-12-20,6267
2015-12-21,6147
2015-12-22,6009
2015-12-23,5991
2015-12-24,5991
2015-12-25,6245
2015-12-26,6245
2015-12-27,6427
2015-12-28,6550
2015-12-29,6434
2015-12-30,6314
2015-12-31,6354
2016-01-01,6354
2016-01-02,6441
2016-01-03,6390
2016-01-04,6293
2016-01-05,6133
2016-01-06,6107
2016-01-07,6123
2016-01-08,6119
2016-01-09,6093
2016-01-10,6040
2016-01-11,6074
2016-01-12,6070
2016-01-13,6070
2016-01-14,6021
2016-01-15,5976
2016-01-16,5993
2016-01-17,6080
2016-01-18,5930
2016-01-19,5855
2016-01-20,5768
2016-01-21,5768
2016-01-22,5730
2016-01-23,5686
2016-01-24,5713
2016-01-25,5655
2016-01-26,5655
2016-01-27,5545
2016-01-28,5545
2016-01-29,5445
2016-01-30,5445
2016-01-31,5382
2016-02-01,5345
2016-02-02,5291
2016-02-03,5143
2016-02-04,5143
2016-02-05,5096
2016-02-06,4960
2016-02-07,4960
2016-02-08,4884
2016-02-09,4775
2016-02-10,4689
2016-02-11,4689
2016-02-12,4572
2016-02-13,4528
2016-02-14,4528
2016-02-15,4494
2016-02-16,4582
