date_obj,Green%20boater price
2016-01-05,6739
2016-01-06,6739
2016-01-07,6739
2016-01-08,6739
2016-01-09,6585
2016-01-10,6585
2016-01-11,6585
2016-01-12,6585
2016-01-13,6585
2016-01-14,6585
2016-01-15,6427
2016-01-16,6427
2016-01-17,6427
2016-01-18,6427
2016-01-19,6427
2016-01-20,6427
2016-01-21,6328
2016-01-22,6328
2016-01-23,6328
2016-01-24,6328
2016-01-25,6328
2016-01-26,6328
2016-01-27,6124
2016-01-28,6124
2016-01-29,6124
2016-01-30,6124
2016-01-31,6124
2016-02-01,6124
2016-02-02,6124
2016-02-03,5828
2016-02-04,5828
2016-02-05,5828
2016-02-06,5828
2016-02-07,5828
2016-02-08,5828
2016-02-09,5675
2016-02-10,5675
2016-02-11,5675
2016-02-12,5675
2016-02-13,5675
2016-02-14,5675
2016-02-15,5465
2016-02-16,5465
2016-02-17,5465
2016-02-18,5465
2016-02-19,5465
2016-02-20,5465
2016-02-21,5390
2016-02-22,5390
2016-02-23,5390
2016-02-24,5390
2016-02-25,5390
2016-02-26,5390
2016-02-27,5180
2016-02-28,5180
2016-02-29,5180
2016-03-01,5180
2016-03-02,5180
2016-03-03,5180
2016-03-04,5148
2016-03-05,5148
2016-03-06,5148
2016-03-07,5148
2016-03-08,5148
2016-03-09,5148
2016-03-10,5025
2016-03-11,5025
2016-03-12,5025
2016-03-13,5025
2016-03-14,5025
2016-03-15,5024
2016-03-16,5024
2016-03-17,5024
2016-03-18,5024
2016-03-19,5024
2016-03-20,5024
2016-03-21,5022
2016-03-22,5022
2016-03-23,5022
2016-03-24,5022
2016-03-25,5022
2016-03-26,5022
2016-03-27,5022
2016-03-28,4937
2016-03-29,4937
2016-03-30,4937
2016-03-31,4937
2016-04-01,4937
2016-04-02,4937
2016-04-03,4977
2016-04-04,4977
2016-04-05,4977
2016-04-06,4977
2016-04-07,4977
2016-04-08,4977
2016-04-09,4986
2016-04-10,4986
2016-04-11,4986
2016-04-12,4986
2016-04-13,4986
2016-04-14,4986
2016-04-15,4858
2016-04-16,4858
2016-04-17,4858
2016-04-18,4858
2016-04-19,4858
2016-04-20,4858
2016-04-21,4857
2016-04-22,4857
2016-04-23,4857
2016-04-24,4857
2016-04-25,4857
2016-04-26,4857
2016-04-27,4857
2016-04-28,4864
2016-04-29,4864
2016-04-30,4864
2016-05-01,4864
2016-05-02,4864
2016-05-03,4864
2016-05-04,4965
2016-05-05,4965
2016-05-06,4965
2016-05-07,4965
2016-05-08,4965
2016-05-09,4965
2016-05-10,5007
2016-05-11,5007
2016-05-12,5007
2016-05-13,5007
2016-05-14,5007
2016-05-15,5007
2016-05-16,5007
2016-05-17,4939
2016-05-18,4939
2016-05-19,4939
2016-05-22,4939
2016-05-23,5083
2016-05-24,5083
2016-05-25,5083
2016-05-26,5083
2016-05-27,5083
2016-05-28,5083
2016-05-29,5170
2016-05-30,5170
2016-05-31,5170
2016-06-01,5170
2016-06-02,5170
2016-06-03,5170
2016-06-04,5170
2016-06-05,5170
2016-06-06,5112
2016-06-07,5112
2016-06-08,5112
2016-06-09,5112
2016-06-10,5112
2016-06-11,5112
2016-06-12,4924
2016-06-13,4924
2016-06-14,4924
2016-06-15,4924
2016-06-16,4924
2016-06-17,4873
2016-06-18,4873
2016-06-19,4873
2016-06-20,4873
2016-06-21,4873
2016-06-22,4873
2016-06-23,4870
2016-06-24,4870
2016-06-25,4870
2016-06-26,4870
2016-06-27,4870
2016-06-28,4870
2016-06-29,4870
2016-06-30,4870
2016-07-01,4657
2016-07-02,4657
2016-07-03,4657
2016-07-04,4657
2016-07-05,4657
2016-07-06,4834
2016-07-07,4834
2016-07-08,4834
2016-07-09,4834
2016-07-10,4933
2016-07-11,4933
2016-07-12,4933
2016-07-13,4933
2016-07-14,5041
2016-07-15,5041
2016-07-16,5041
2016-07-17,5041
2016-07-18,5041
2016-07-23,5008
2016-07-24,4911
2016-07-25,4911
2016-07-26,4911
2016-07-27,4911
2016-07-28,4911
2016-07-29,4889
2016-07-30,4889
2016-07-31,4889
2016-08-01,4889
2016-08-02,4889
2016-08-03,4922
2016-08-04,4922
2016-08-05,4922
2016-08-06,4922
2016-08-07,4922
2016-08-08,4922
2016-08-09,4966
2016-08-10,4966
2016-08-11,4966
2016-08-12,4966
2016-08-13,4966
2016-08-14,4966
2016-08-15,4966
2016-08-16,4970
2016-08-17,4970
2016-08-18,4970
2016-08-19,4970
2016-08-20,4970
2016-08-21,4970
2016-08-22,4849
2016-08-23,4849
2016-08-24,4849
2016-08-25,4849
2016-08-26,4849
2016-08-28,4849
2016-08-31,4683
2016-09-01,4683
2016-09-02,4683
2016-09-03,4683
2016-09-04,4683
2016-09-05,4512
2016-09-06,4512
2016-09-07,4512
2016-09-08,4512
2016-09-09,4512
2016-09-10,4512
2016-09-11,4512
2016-09-12,4512
2016-09-13,4512
2016-09-14,4499
2016-09-15,4499
2016-09-16,4499
2016-09-17,4499
2016-09-18,4499
2016-09-19,4499
2016-09-20,4499
2016-09-21,4499
2016-09-22,4449
2016-09-23,4449
2016-09-24,4449
2016-09-25,4449
2016-09-26,4449
2016-09-27,4449
2016-09-28,4449
2016-09-29,4449
2016-09-30,4430
2016-10-01,4430
2016-10-02,4430
2016-10-03,4430
2016-10-04,4430
2016-10-05,4430
2016-10-06,4430
2016-10-07,4430
2016-10-08,4404
2016-10-09,4404
2016-10-10,4404
2016-10-11,4404
2016-10-12,4404
2016-10-13,4404
2016-10-14,4404
2016-10-15,4404
2016-10-16,4272
2016-10-17,4272
2016-10-18,4272
2016-10-19,4272
2016-10-20,4272
2016-10-21,4272
2016-10-22,4272
2016-10-23,4272
2016-10-24,4234
2016-10-25,4234
2016-10-26,4234
2016-10-27,4234
2016-10-28,4234
2016-10-29,4234
2016-10-30,4234
2016-10-31,4234
2016-11-01,4234
2016-11-02,4255
2016-11-03,4255
2016-11-04,4255
2016-11-05,4255
2016-11-06,4255
2016-11-07,4255
2016-11-08,4255
2016-11-09,4255
2016-11-10,4210
2016-11-11,4210
2016-11-12,4210
2016-11-13,4210
2016-11-14,4210
2016-11-15,4210
2016-12-07,3974
2016-12-08,3930
2016-12-09,3930
2016-12-10,3930
2016-12-11,3930
2016-12-12,3930
2016-12-13,3930
2016-12-14,3788
2016-12-15,3788
2016-12-16,3788
2016-12-17,3788
2016-12-18,3788
2016-12-19,3788
2016-12-20,3788
2016-12-21,3697
2016-12-22,3697
2016-12-23,3697
2016-12-24,3697
2016-12-25,3697
2016-12-26,3697
2016-12-27,3697
2016-12-28,3516
2016-12-29,3516
2016-12-30,3516
2016-12-31,3516
2017-01-01,3516
2017-01-02,3516
2017-01-03,3353
2017-01-04,3353
2017-01-05,3353
2017-01-06,3353
2017-01-07,3353
2017-01-08,3363
2017-01-09,3363
2017-01-10,3363
2017-01-11,3363
2017-01-12,3363
2017-01-13,3265
2017-01-14,3265
2017-01-15,3265
2017-01-16,3265
2017-01-17,3265
2017-01-18,3144
2017-01-19,3144
2017-01-20,3144
2017-01-21,3144
2017-01-22,3144
2017-01-23,3144
