date_obj,Ballista%20spring price
2016-05-05,5000000
2016-05-06,5000000
2016-05-07,4770942
2016-05-08,4532394
2016-05-09,4305774
2016-05-10,4090485
2016-05-11,3888793
2016-05-12,3694353
2016-05-13,3509635
2016-05-14,3334968
2016-05-15,3168219
2016-05-16,3168219
2016-05-17,3009808
2016-05-18,250000
2016-05-19,250000
2016-05-22,225986
2016-05-23,225986
2016-05-24,214686
2016-05-25,214686
2016-05-26,204544
2016-05-27,204544
2016-05-28,204544
2016-05-29,194316
2016-05-30,194316
2016-05-31,194316
2016-06-01,184810
2016-06-02,184810
2016-06-03,184810
2016-06-04,175731
2016-06-05,175731
2016-06-06,175731
2016-06-07,175731
2016-06-08,167379
2016-06-09,167379
2016-06-10,167379
2016-06-11,159321
2016-06-12,159321
2016-06-13,159321
2016-06-14,151513
2016-06-15,151513
2016-06-16,151513
2016-06-17,144071
2016-06-18,144071
2016-06-19,144071
2016-06-20,144071
2016-06-21,137039
2016-06-22,137039
2016-06-23,137039
2016-06-24,130424
2016-06-25,130424
2016-06-26,130424
2016-06-27,130424
2016-06-28,124079
2016-06-29,124079
2016-06-30,124079
2016-07-01,124079
2016-07-02,118011
2016-07-03,118011
2016-07-04,118011
2016-07-05,118011
2016-07-06,112191
2016-07-07,112191
2016-07-08,112191
2016-07-09,112191
2016-07-10,106774
2016-07-11,106774
2016-07-12,106774
2016-07-13,106774
2016-07-14,106774
2016-07-15,101582
2016-07-16,101582
2016-07-17,101582
2016-07-18,101582
2016-07-23,96738
2016-07-24,96738
2016-07-25,92026
2016-07-26,92026
2016-07-27,92026
2016-07-28,92026
2016-07-29,92026
2016-07-30,87563
2016-07-31,87563
2016-08-01,87563
2016-08-02,87563
2016-08-03,87563
2016-08-04,83233
2016-08-05,83233
2016-08-06,83233
2016-08-07,83233
2016-08-08,83233
2016-08-09,79071
2016-08-10,79071
2016-08-11,79071
2016-08-12,79071
2016-08-13,79071
2016-08-14,75165
2016-08-15,75165
2016-08-16,75165
2016-08-17,75165
2016-08-18,71501
2016-08-19,71501
2016-08-20,71501
2016-08-21,71501
2016-08-22,67925
2016-08-23,67925
2016-08-24,67925
2016-08-25,67925
2016-08-26,64596
2016-08-28,64596
2016-08-31,61436
2016-09-01,61436
2016-09-02,61436
2016-09-03,58364
2016-09-04,58364
2016-09-05,58364
2016-09-06,55503
2016-09-07,55503
2016-09-08,55503
2016-09-09,55503
2016-09-10,55503
2016-09-11,52838
2016-09-12,52838
2016-09-13,52838
2016-09-14,52838
2016-09-15,50237
2016-09-16,50237
2016-09-17,50237
2016-09-18,50237
2016-09-19,47843
2016-09-20,47843
2016-09-21,47843
2016-09-22,47843
2016-09-23,45507
2016-09-24,45507
2016-09-25,45507
2016-09-26,45507
