date_obj,Rune%20dagger price
2016-02-14,4575
2016-02-15,4611
2016-02-16,4624
2016-02-17,4623
2016-02-18,4618
2016-02-19,4572
2016-02-20,4599
2016-02-21,4596
2016-02-22,4626
2016-02-23,4615
2016-02-24,4615
2016-02-25,4598
2016-02-26,4614
2016-02-27,4587
2016-02-28,4571
2016-02-29,4604
2016-03-01,4622
2016-03-02,4636
2016-03-03,4635
2016-03-04,4622
2016-03-05,4610
2016-03-06,4605
2016-03-07,4628
2016-03-08,4617
2016-03-09,4611
2016-03-10,4620
2016-03-11,4630
2016-03-12,4620
2016-03-13,4587
2016-03-14,4601
2016-03-15,4616
2016-03-16,4606
2016-03-17,4600
2016-03-18,4623
2016-03-19,4599
2016-03-20,4608
2016-03-21,4603
2016-03-22,4606
2016-03-23,4600
2016-03-24,4610
2016-03-25,4609
2016-03-26,4601
2016-03-27,4607
2016-03-28,4593
2016-03-29,4612
2016-03-30,4624
2016-03-31,4628
2016-04-01,4630
2016-04-02,4634
2016-04-03,4612
2016-04-04,4620
2016-04-05,4631
2016-04-06,4631
2016-04-07,4636
2016-04-08,4626
2016-04-09,4621
2016-04-10,4626
2016-04-11,4638
2016-04-12,4628
2016-04-13,4654
2016-04-14,4659
2016-04-15,4621
2016-04-16,4606
2016-04-17,4619
2016-04-18,4629
2016-04-19,4628
2016-04-20,4624
2016-04-21,4610
2016-04-22,4612
2016-04-23,4606
2016-04-24,4605
2016-04-25,4613
2016-04-26,4627
2016-04-27,4604
2016-04-28,4597
2016-04-29,4614
2016-04-30,4600
2016-05-01,4595
2016-05-02,4609
2016-05-03,4594
2016-05-04,4598
2016-05-05,4611
2016-05-06,4589
2016-05-07,4575
2016-05-08,4571
2016-05-09,4585
2016-05-10,4594
2016-05-11,4599
2016-05-12,4605
2016-05-13,4602
2016-05-14,4590
2016-05-15,4579
2016-05-16,4590
2016-05-17,4621
2016-05-18,4615
2016-05-19,4614
2016-05-22,4580
2016-05-23,4597
2016-05-24,4612
2016-05-25,4617
2016-05-26,4613
2016-05-27,4597
2016-05-28,4591
2016-05-29,4598
2016-05-30,4605
2016-05-31,4608
2016-06-01,4620
2016-06-02,4624
2016-06-03,4634
2016-06-04,4608
2016-06-05,4588
2016-06-06,4607
