date_obj,Devout%20boots price
2019-01-10,1500000
2019-01-10,1543538
2019-01-11,1471593
2019-01-12,1408395
2019-01-13,1339508
2019-01-14,1306728
2019-01-15,1344741
2019-01-16,1322101
2019-01-17,1256484
2019-01-18,1200612
2019-01-19,1145257
2019-01-20,1091691
2019-01-21,1052054
2019-01-22,1018581
2019-01-23,1010304
2019-01-24,1001516
2019-01-25,986321
2019-01-26,974532
2019-01-27,977506
2019-01-28,1008204
2019-01-29,1056550
2019-01-30,1057344
2019-01-31,1073711
2019-02-01,1034155
2019-02-02,994823
2019-02-03,963207
2019-02-04,958155
2019-02-05,928526
2019-02-06,897316
2019-02-07,905797
2019-02-08,938406
2019-02-09,965705
2019-02-10,987687
2019-02-11,1009965
2019-02-12,1056170
2019-02-13,1018616
2019-02-14,993727
2019-02-15,979118
2019-02-16,986548
2019-02-17,965296
2019-02-18,952222
2019-02-19,920859
2019-02-20,904282
2019-02-21,882802
2019-02-22,888033
2019-02-23,880711
2019-02-24,871584
2019-02-25,864311
2019-02-26,856644
2019-02-27,847660
2019-02-28,840067
2019-03-01,862123
2019-03-02,860475
2019-03-03,858691
2019-03-04,867186
2019-03-05,892744
2019-03-06,886549
2019-03-07,908164
2019-03-08,950283
2019-03-09,992945
2019-03-10,1042593
2019-03-11,1022672
2019-03-12,971906
2019-03-13,923310
2019-03-14,877154
2019-03-15,848117
2019-03-16,856587
2019-03-17,856320
2019-03-18,848906
2019-03-19,844453
2019-03-20,835503
2019-03-21,857080
2019-03-22,852239
2019-03-23,847620
2019-03-24,859209
2019-03-25,855352
2019-03-26,836206
2019-03-27,830493
2019-03-28,808204
2019-03-29,822007
2019-03-30,822007
2019-03-31,847532
2019-04-01,852184
2019-04-02,847534
2019-04-03,854025
2019-04-04,872334
2019-04-05,865353
2019-04-06,864693
2019-04-07,888224
2019-04-08,879540
2019-04-09,884046
2019-04-10,894032
2019-04-11,900268
2019-04-12,875811
2019-04-13,843161
2019-04-14,815664
2019-04-15,793407
2019-04-16,771465
2019-04-17,746118
2019-04-18,730293
2019-04-19,723744
2019-04-20,698582
2019-04-21,687301
2019-04-22,682971
2019-04-23,674483
2019-04-24,661377
2019-04-25,658226
2019-04-26,687854
2019-04-27,715249
2019-04-28,740772
2019-04-29,719124
2019-04-30,703324
2019-05-01,684212
2019-05-02,663824
2019-05-03,662026
2019-05-04,692267
2019-05-05,702691
2019-05-06,710851
2019-05-07,698589
2019-05-08,690691
2019-05-09,705584
2019-05-10,710521
2019-05-11,705650
2019-05-12,712538
2019-05-13,704097
2019-05-14,711207
2019-05-15,736880
2019-05-16,735611
2019-05-17,748379
2019-05-18,778135
2019-05-19,812805
2019-05-20,833640
2019-05-21,810574
2019-05-22,793917
2019-05-23,798816
2019-05-24,802894
2019-05-25,800497
2019-05-26,787613
2019-05-27,804208
