date_obj,Mithril%20set%20(lg) price
2015-03-26,8851
2015-03-27,8851
2015-03-28,9003
2015-03-29,8769
2015-03-30,8739
2015-03-31,8901
2015-04-01,9121
2015-04-02,9292
2015-04-03,9432
2015-04-04,9207
2015-04-05,9261
2015-04-06,9135
2015-04-07,9052
2015-04-08,8766
2015-04-09,8424
2015-04-10,8136
2015-04-11,8177
2015-04-12,7789
2015-04-13,7630
2015-04-14,7560
2015-04-15,7695
2015-04-16,7715
2015-04-17,7427
2015-04-18,7457
2015-04-19,7496
2015-04-20,7580
2015-04-21,7477
2015-04-22,7530
2015-04-23,7696
2015-04-24,8056
2015-04-25,7953
2015-04-26,8075
2015-04-27,8120
2015-04-28,8177
2015-04-29,8322
2015-04-30,8318
2015-05-01,8501
2015-05-02,8604
2015-05-03,8958
2015-05-04,8803
2015-05-05,8368
2015-05-06,8161
2015-05-07,7985
2015-05-08,7829
2015-05-09,7797
2015-05-10,7656
2015-05-11,7460
2015-05-12,7339
2015-05-13,6972
2015-05-14,6764
2015-05-15,6950
2015-05-16,7109
2015-05-17,6987
2015-05-18,6737
2015-05-19,6751
2015-05-20,6951
2015-05-21,7067
2015-05-22,7287
2015-05-23,7377
2015-05-24,7358
2015-05-25,7494
2015-05-26,7553
2015-05-27,7634
2015-05-28,7756
2015-05-29,7776
2015-05-30,7996
2015-05-31,8173
2015-06-01,8025
2015-06-02,7770
2015-06-03,7821
2015-06-04,7761
2015-06-05,7859
2015-06-06,7915
2015-06-07,7980
2015-06-08,7920
2015-06-09,7834
2015-06-10,7843
2015-06-11,7760
2015-06-12,7772
2015-06-13,7735
2015-06-14,7647
2015-06-15,7578
2015-06-16,7309
2015-06-17,7028
2015-06-18,7180
2015-06-19,7293
2015-06-20,7364
2015-06-21,7399
2015-06-22,7387
2015-06-23,7383
2015-06-24,7490
2015-06-25,7790
2015-06-26,7795
2015-06-27,7873
2015-06-28,7823
2015-06-29,7778
2015-06-30,7763
2015-07-01,7807
2015-07-02,7901
2015-07-03,7938
2015-07-04,7974
2015-07-05,7879
2015-07-06,7826
2015-07-07,7726
2015-07-08,7734
2015-07-09,7648
2015-07-10,7576
2015-07-11,7554
2015-07-12,7478
2015-07-13,7495
2015-07-14,7499
2015-07-15,7521
2015-07-16,7856
2015-07-17,8114
2015-07-18,8346
2015-07-19,8027
2015-07-20,7988
2015-07-21,8137
2015-07-22,7986
2015-07-23,7586
2015-07-24,7239
2015-07-25,6967
2015-07-26,6891
2015-07-27,6986
2015-07-28,7081
2015-07-29,7067
2015-07-30,7034
2015-07-31,6964
2015-08-01,6893
2015-08-02,7039
2015-08-03,7213
2015-08-04,7336
2015-08-05,7563
2015-08-06,7598
2015-08-07,7886
2015-08-08,8063
2015-08-09,8130
2015-08-10,7874
2015-08-11,7769
2015-08-12,8002
2015-08-13,7933
2015-08-14,7852
2015-08-15,7500
2015-08-16,7458
2015-08-17,7427
2015-08-18,7385
2015-08-19,7364
2015-08-20,7470
2015-08-21,7595
2015-08-22,7552
2015-08-23,7586
2015-08-24,7549
2015-08-25,7502
2015-08-26,7428
2015-08-27,7296
2015-08-28,7319
2015-08-29,7472
2015-08-30,7259
2015-08-31,7013
2015-09-01,6973
2015-09-02,7035
2015-09-03,7179
2015-09-04,7201
2015-09-05,7339
2015-09-06,7506
2015-09-07,7379
2015-09-08,7190
2015-09-09,7068
2015-09-10,6910
2015-09-11,6853
2015-09-12,7056
2015-09-13,7253
2015-09-14,7315
2015-09-15,7417
2015-09-16,7459
2015-09-17,7328
2015-09-18,7334
2015-09-19,7514
2015-09-20,7480
2015-09-21,7377
2015-09-22,7312
2015-09-23,7253
2015-09-24,7207
2015-09-25,7233
2015-09-27,7253
2015-09-28,7274
2015-09-29,7231
2015-09-30,7161
2015-10-05,7046
2015-10-06,6996
2015-10-07,7027
2015-10-08,7025
2015-10-09,6899
2015-10-10,6568
2015-10-11,6538
2015-10-12,6490
2015-10-13,6573
2015-10-14,6741
2015-10-15,6799
2015-10-16,6915
2015-10-17,7006
2015-10-18,6983
2015-10-19,6858
2015-10-20,6762
2015-10-22,6623
2015-10-23,6810
2015-10-24,6749
2015-10-25,6792
2015-10-26,6835
2015-10-27,7042
2015-10-29,6646
2015-10-30,6760
2015-10-31,6724
2015-11-01,6943
2015-11-02,7062
2015-11-03,6948
2015-11-04,6910
2015-11-05,6878
2015-11-06,7093
2015-11-07,7162
2015-11-08,7246
2015-11-09,7332
2015-11-10,7338
2015-11-11,7526
2015-11-12,7585
2015-11-13,7520
2015-11-14,7458
2015-11-15,7402
2015-11-16,7345
2015-11-17,7418
2015-11-18,7581
2015-11-19,7484
2015-11-20,7472
2015-11-21,7500
2015-11-22,7493
2015-11-23,7493
2015-11-24,7413
2015-11-25,7252
2015-11-26,7201
2015-11-27,7164
2015-11-28,7143
2015-11-29,7082
2015-11-30,7171
2015-12-01,7289
2015-12-02,7400
2015-12-03,7292
2015-12-04,7203
2015-12-05,7232
2015-12-06,7299
2015-12-07,7433
2015-12-08,7496
2015-12-09,7532
2015-12-10,7525
2015-12-11,7605
2015-12-12,7558
2015-12-13,7507
2015-12-14,7656
2015-12-15,7650
2015-12-16,7812
2015-12-17,8029
2015-12-18,8131
2015-12-19,8398
2015-12-20,8419
2015-12-21,8354
2015-12-22,8515
2015-12-23,8573
2015-12-24,8422
2015-12-25,8285
2015-12-26,7988
2015-12-27,7703
2015-12-28,7373
2015-12-29,7160
2015-12-30,7336
2015-12-31,7580
2016-01-01,7780
2016-01-02,8055
2016-01-03,8263
2016-01-04,8528
2016-01-05,8791
2016-01-06,8984
2016-01-07,9105
2016-01-08,9002
2016-01-09,8842
2016-01-10,8436
2016-01-11,8014
2016-01-12,7856
2016-01-13,7637
2016-01-14,7651
2016-01-15,7539
2016-01-16,7389
2016-01-17,7444
2016-01-18,7396
2016-01-19,7409
2016-01-20,7493
2016-01-21,7542
2016-01-22,7386
2016-01-23,7384
2016-01-24,7374
2016-01-25,7353
2016-01-26,7466
2016-01-27,7357
2016-01-28,7330
2016-01-29,7293
2016-01-30,7288
2016-01-31,7136
2016-02-01,7155
2016-02-02,7039
2016-02-03,7184
2016-02-04,7213
2016-02-05,7232
2016-02-06,7138
2016-02-07,7127
2016-02-08,7169
2016-02-09,7249
2016-02-10,7132
2016-02-11,7035
2016-02-12,7060
2016-02-13,6965
2016-02-14,6887
2016-02-15,6900
2016-02-16,6846
2016-02-17,6720
2016-02-18,6773
2016-02-19,6862
2016-02-20,6902
2016-02-21,6878
2016-02-22,7053
2016-02-23,7046
2016-02-24,7156
2016-02-25,7210
2016-02-26,7233
2016-02-27,7280
2016-02-28,7144
2016-02-29,7141
2016-03-01,7160
2016-03-02,7270
2016-03-03,7250
2016-03-04,7176
2016-03-05,7279
2016-03-06,7260
2016-03-07,7182
2016-03-08,7156
2016-03-09,7193
2016-03-10,7187
2016-03-11,7107
2016-03-12,7002
2016-03-13,6929
2016-03-14,6807
2016-03-15,6728
2016-03-16,6661
2016-03-17,6633
2016-03-18,6571
