date_obj,Bread%20dough price
2015-03-26,374
2015-03-27,374
2015-03-28,374
2015-03-29,374
2015-03-30,357
2015-03-31,357
2015-04-01,357
2015-04-02,357
2015-04-03,357
2015-04-04,340
2015-04-05,340
2015-04-06,340
2015-04-07,340
2015-04-08,340
2015-04-09,340
2015-04-10,332
2015-04-11,332
2015-04-12,332
2015-04-13,332
2015-04-14,332
2015-04-15,318
2015-04-16,318
2015-04-17,318
2015-04-18,318
2015-04-19,318
2015-04-20,318
2015-04-21,304
2015-04-22,304
2015-04-23,304
2015-04-24,304
2015-04-25,304
2015-04-26,304
2015-04-27,304
2015-04-28,297
2015-04-29,297
2015-04-30,297
2015-05-01,297
2015-05-02,297
2015-05-03,297
2015-05-04,289
2015-05-05,289
2015-05-06,289
2015-05-07,289
2015-05-08,289
2015-05-09,289
2015-05-10,281
2015-05-11,281
2015-05-12,281
2015-05-13,281
2015-05-14,281
2015-05-15,281
2015-05-16,281
2015-05-17,270
2015-05-18,270
2015-05-19,270
2015-05-20,270
2015-05-21,270
2015-05-22,270
2015-05-23,270
2015-05-24,270
2015-05-25,256
2015-05-26,256
2015-05-27,256
2015-05-28,256
2015-05-29,256
2015-05-30,244
2015-05-31,244
2015-06-01,244
2015-06-02,244
2015-06-03,244
2015-06-04,246
2015-06-05,246
2015-06-06,246
2015-06-07,246
2015-06-08,246
2015-06-09,246
2015-06-10,246
2015-06-11,246
2015-06-12,244
2015-06-13,244
2015-06-14,244
2015-06-15,244
2015-06-16,244
2015-06-17,241
2015-06-18,241
2015-06-19,241
2015-06-20,244
2015-06-21,244
2015-06-22,244
2015-06-23,244
2015-06-24,244
2015-06-25,244
2015-06-26,252
2015-06-27,252
2015-06-28,252
2015-06-29,252
2015-06-30,254
2015-07-01,254
2015-07-02,254
2015-07-03,254
2015-07-04,259
2015-07-05,259
2015-07-06,259
2015-07-07,259
2015-07-08,259
2015-07-09,259
2015-07-10,260
2015-07-11,260
2015-07-12,260
2015-07-13,260
2015-07-14,267
2015-07-15,267
2015-07-16,267
2015-07-17,267
2015-07-18,268
2015-07-19,268
2015-07-20,268
2015-07-21,268
2015-07-22,264
2015-07-23,264
2015-07-24,264
2015-07-25,264
2015-07-26,264
2015-07-27,254
2015-07-28,254
2015-07-29,254
2015-07-30,254
2015-07-31,254
2015-08-01,245
2015-08-02,245
2015-08-03,245
2015-08-04,245
2015-08-05,245
2015-08-06,241
2015-08-07,241
2015-08-08,241
2015-08-09,241
2015-08-10,241
2015-08-11,235
2015-08-12,235
2015-08-13,235
2015-08-14,235
2015-08-15,235
2015-08-16,235
2015-08-17,223
2015-08-18,223
2015-08-19,223
2015-08-20,223
2015-08-21,223
