date_obj,Monk's%20robe%20(g) price
2016-07-06,10000000
2016-07-07,10075621
2016-07-08,10075621
2016-07-09,10075621
2016-07-10,10075621
2016-07-11,9571839
2016-07-12,9571839
2016-07-13,9571839
2016-07-14,9571839
2016-07-15,9093247
2016-07-16,9093247
2016-07-17,9093247
2016-07-18,9093247
2016-07-23,8214166
2016-07-24,8214166
2016-07-25,8214166
2016-07-26,8214166
2016-07-27,7808603
2016-07-28,7808603
2016-07-29,7808603
2016-07-30,7808603
2016-07-31,7808603
2016-08-01,7808603
2016-08-02,7418172
2016-08-03,7418172
2016-08-04,7418172
2016-08-05,7418172
2016-08-06,7418172
2016-08-07,7418172
2016-08-08,7418172
2016-08-09,7047263
2016-08-10,7047263
2016-08-11,7047263
2016-08-12,7047263
2016-08-13,7047263
2016-08-14,7047263
2016-08-15,6694899
2016-08-16,6694899
2016-08-17,6694899
2016-08-18,6694899
2016-08-19,6694899
2016-08-20,6360154
2016-08-21,6360154
2016-08-22,6360154
2016-08-23,6360154
2016-08-24,6360154
2016-08-25,6046532
2016-08-26,6046532
2016-08-28,6046532
2016-08-31,5752303
2016-09-01,5752303
2016-09-02,5752303
2016-09-03,5468447
2016-09-04,5468447
2016-09-05,5468447
2016-09-06,5468447
2016-09-07,5200421
2016-09-08,5200421
2016-09-09,5200421
2016-09-10,5200421
2016-09-11,5200421
2016-09-12,4962592
2016-09-13,4962592
2016-09-14,4962592
2016-09-15,4962592
2016-09-16,4962592
2016-09-17,4714462
2016-09-18,4714462
2016-09-19,4714462
2016-09-20,4714462
2016-09-21,4714462
2016-09-22,4714462
2016-09-23,4719174
2016-09-24,4719174
2016-09-25,4719174
2016-09-26,4719174
2016-09-27,4719174
2016-09-28,4719174
2016-09-29,4827828
2016-09-30,4827828
2016-10-01,4827828
2016-10-02,4827828
2016-10-03,4827828
2016-10-04,4787434
2016-10-05,4787434
2016-10-06,4787434
2016-10-07,4787434
2016-10-08,4787434
2016-10-09,4927154
2016-10-10,4927154
2016-10-11,4927154
2016-10-12,4927154
2016-10-13,4927154
2016-10-14,5006785
2016-10-15,5006785
2016-10-16,5006785
2016-10-17,5006785
2016-10-18,5006785
2016-10-19,5006785
2016-10-20,4860158
2016-10-21,4860158
2016-10-22,4860158
2016-10-23,4860158
2016-10-24,4860158
2016-10-25,4745012
2016-10-26,4745012
2016-10-27,4745012
2016-10-28,4745012
2016-10-29,4745012
2016-10-30,4745012
2016-10-31,4783877
2016-11-01,4783877
2016-11-02,4783877
2016-11-03,4783877
2016-11-04,4783877
2016-11-05,4783877
2016-11-06,4548348
2016-11-07,4548348
2016-11-08,4548348
2016-11-09,4548348
2016-11-10,4548348
2016-11-11,4548348
2016-11-12,4320930
2016-11-13,4320930
2016-11-14,4320930
2016-12-07,3423884
2016-12-08,3423884
2016-12-09,3423884
2016-12-10,3423884
2016-12-11,3423884
2016-12-12,3277168
2016-12-13,3277168
2016-12-14,3277168
2016-12-15,3277168
2016-12-16,3277168
2016-12-17,3177807
2016-12-18,3177807
2016-12-19,3177807
2016-12-20,3177807
2016-12-21,3177807
2016-12-22,3177807
2016-12-23,3019942
2016-12-24,3019942
2016-12-25,3019942
2016-12-26,3019942
2016-12-27,3019942
2016-12-28,3019942
2016-12-29,2915486
2016-12-30,2915486
2016-12-31,2915486
2017-01-01,2915486
2017-01-02,2915486
2017-01-03,2838497
2017-01-04,2838497
2017-01-05,2838497
2017-01-06,2838497
2017-01-07,2713403
2017-01-08,2713403
2017-01-09,2713403
2017-01-10,2713403
2017-01-11,2713403
2017-01-12,2577732
2017-01-13,2577732
2017-01-14,2577732
2017-01-15,2577732
2017-01-16,2448845
2017-01-17,2448845
2017-01-18,2448845
2017-01-19,2448845
2017-01-20,2326402
2017-01-21,2326402
2017-01-22,2326402
2017-01-27,2212744
2017-01-28,2107131
2017-01-29,2107131
2017-01-30,2107131
2017-01-31,2107131
2017-02-01,2001774
2017-02-02,2001774
2017-02-03,2001774
2017-02-04,1906200
2017-02-05,1906200
2017-02-06,1906200
2017-02-07,1906200
2017-02-08,1811977
2017-02-09,1811977
2017-02-10,1811977
2017-02-11,1748133
2017-02-12,1748133
2017-02-13,1748133
2017-02-14,1748133
2017-02-15,1754311
2017-02-16,1754311
2017-02-18,1754311
2017-02-19,1781524
2017-02-20,1781524
2017-02-21,1781524
2017-02-22,1781524
2017-02-23,1720277
2017-02-24,1720277
2017-02-25,1720277
2017-02-26,1720277
2017-02-27,1638788
2017-02-28,1638788
2017-03-01,1638788
2017-03-02,1566447
2017-03-03,1566447
2017-03-04,1566447
2017-03-05,1566447
2017-03-06,1534948
2017-03-07,1534948
2017-03-08,1534948
2017-03-09,1534948
2017-03-10,1592139
2017-03-11,1592139
2017-03-12,1592139
2017-03-13,1664111
2017-03-14,1664111
2017-03-15,1664111
2017-03-16,1664111
2017-03-17,1655080
2017-03-18,1655080
2017-03-19,1655080
2017-03-20,1583627
2017-03-21,1583627
2017-03-22,1583627
2017-03-23,1513644
2017-03-24,1513644
2017-03-25,1513644
2017-03-26,1513644
2017-03-27,1479683
2017-03-28,1479683
2017-03-29,1479683
2017-03-30,1479683
2017-03-31,1418653
2017-04-01,1418653
2017-04-02,1418653
2017-04-03,1347763
2017-04-04,1347763
2017-04-12,1359572
2017-04-13,1359572
2017-04-14,1391812
2017-04-15,1391812
2017-04-16,1391812
2017-04-17,1422986
2017-04-18,1422986
2017-04-19,1422986
2017-04-20,1420233
2017-04-21,1420233
2017-04-22,1420233
2017-04-23,1440250
2017-04-24,1440250
2017-04-25,1440250
2017-04-26,1457265
2017-04-27,1457265
2017-04-28,1504601
2017-04-29,1504601
2017-04-30,1543069
2017-05-01,1543069
2017-05-02,1543069
2017-05-03,1549605
2017-05-04,1549605
2017-05-05,1549605
2017-05-06,1551063
2017-05-07,1551063
2017-05-08,1551063
2017-05-09,1556866
2017-05-10,1556866
2017-05-11,1556866
2017-05-12,1601984
2017-05-13,1601984
2017-05-14,1601984
2017-05-15,1601984
2017-05-16,1593234
2017-05-17,1593234
2017-05-18,1593234
2017-05-19,1593234
2017-05-20,1642355
2017-05-21,1642355
2017-05-22,1642355
2017-05-23,1642355
2017-05-24,1655253
2017-05-25,1655253
2017-05-26,1655253
2017-05-27,1655253
2017-05-28,1682851
2017-05-29,1682851
2017-05-30,1682851
2017-05-31,1747397
2017-06-01,1747397
2017-06-02,1747397
2017-06-03,1808835
2017-06-06,1829494
2017-06-07,1785895
2017-06-08,1785895
2017-06-09,1785895
2017-06-10,1785895
2017-06-11,1778903
2017-06-12,1778903
2017-06-13,1778903
2017-06-14,1697415
2017-06-15,1697415
2017-06-16,1697415
2017-06-17,1630929
2017-06-18,1630929
2017-06-19,1630929
2017-06-20,1584730
2017-06-21,1584730
2017-06-22,1584730
2017-06-23,1584730
2017-06-24,1589793
2017-06-25,1589793
2017-06-26,1589793
2017-06-27,1592273
2017-06-28,1592273
2017-06-29,1592273
2017-06-30,1642118
2017-07-01,1642118
2017-07-02,1642118
2017-07-03,1642118
2017-07-04,1673597
2017-07-05,1673597
2017-07-06,1673597
2017-07-07,1673597
2017-07-08,1673597
2017-07-13,1704266
2017-07-14,1704266
2017-07-15,1704266
2017-07-16,1704266
2017-07-17,1753699
2017-07-18,1753699
2017-07-19,1753699
2017-07-20,1753699
2017-07-21,1731266
2017-07-22,1731266
2017-07-23,1731266
2017-07-24,1731266
2017-07-25,1722520
2017-07-26,1722520
2017-07-27,1722520
2017-07-28,1722520
2017-07-29,1737329
2017-07-30,1737329
2017-07-31,1737329
2017-08-01,1768150
2017-08-02,1768150
2017-08-03,1768150
2017-08-04,1723864
2017-08-05,1723864
2017-08-06,1723864
2017-08-09,1689258
2017-08-10,1659901
2017-08-11,1659901
2017-08-12,1659901
2017-08-13,1659236
2017-08-14,1659236
2017-08-15,1659236
2017-08-16,1587754
2017-08-17,1587754
2017-08-18,1587754
2017-08-19,1587754
2017-08-20,1540312
2017-08-22,1540312
2017-08-23,1492614
2017-08-24,1492614
2017-08-25,1492614
2017-08-26,1492614
2017-08-27,1436763
2017-08-28,1436763
2017-08-29,1436763
2017-08-30,1436763
2017-08-31,1422864
2017-09-01,1422864
2017-09-02,1422864
2017-09-03,1422864
2017-09-04,1422864
2017-09-05,1389694
2017-09-06,1389694
2017-09-07,1389694
2017-09-08,1389694
2017-09-09,1353646
2017-09-10,1353646
2017-09-11,1353646
2017-09-12,1309955
2017-09-13,1309955
2017-09-14,1362164
2017-09-15,1362164
2017-09-16,1362164
2017-09-17,1413071
2017-09-19,1413071
2017-09-20,1413071
2017-09-21,1413071
2017-09-22,1424083
2017-09-23,1424083
2017-09-24,1424083
2017-09-25,1424083
2017-09-26,1445110
2017-09-27,1445110
2017-09-28,1445110
2017-09-29,1445110
2017-09-30,1471655
2017-10-01,1471655
2017-10-02,1471655
2017-10-03,1471655
2017-10-04,1509204
2017-10-05,1509204
2017-10-06,1509204
2017-10-07,1507704
2017-10-08,1507704
2017-10-09,1507704
2017-10-10,1507704
2017-10-11,1507704
2017-10-12,1500642
2017-10-13,1500642
2017-10-14,1500642
2017-10-15,1500642
2017-10-16,1531071
2017-10-17,1531071
2017-10-18,1531071
2017-10-19,1531071
2017-10-20,1526454
2017-10-21,1526454
2017-10-22,1526454
2017-10-23,1502587
2017-10-24,1502587
2017-10-25,1502587
2017-10-26,1477448
2017-10-27,1477448
2017-10-28,1477448
2017-10-29,1477448
2017-10-30,1443386
2017-10-31,1443386
2017-11-01,1443386
2017-11-02,1443386
2017-11-03,1411161
2017-11-04,1411161
2017-11-05,1411161
2017-11-06,1377351
2017-11-07,1377351
2017-11-08,1377351
2017-11-09,1339710
2017-11-10,1339710
2017-11-11,1339710
2017-11-12,1339710
2017-11-13,1294950
2017-11-14,1294950
2017-11-15,1294950
2017-11-16,1301112
2017-11-17,1301112
2017-11-18,1301112
2017-11-19,1335999
2017-11-20,1335999
2017-11-21,1335999
2017-11-22,1335999
2017-11-23,1390416
2017-11-24,1390416
2017-11-25,1390416
2017-11-26,1451237
2017-11-27,1451237
2017-11-28,1451237
2017-11-29,1451237
2017-11-30,1492587
