date_obj,Bloody%20bracer price
2018-05-23,4000
2018-05-24,3828
2018-05-25,3828
2018-05-26,3828
2018-05-27,3828
2018-05-28,3646
2018-05-29,3646
2018-05-30,3646
2018-05-31,3646
2018-06-01,3646
2018-06-02,3466
2018-06-03,3466
2018-06-04,3466
2018-06-05,3466
2018-06-06,3306
2018-06-07,3306
2018-06-08,3306
2018-06-09,3173
2018-06-10,3173
2018-06-11,3173
2018-06-12,3173
2018-06-13,3173
2018-06-14,3173
2018-06-15,3173
2018-06-16,3015
2018-06-17,3015
2018-06-18,3015
2018-06-19,3015
2018-06-20,3015
2018-06-21,3015
2018-06-22,3015
2018-06-23,3015
2018-06-24,3015
2018-06-25,3015
2018-06-26,3015
2018-06-27,3015
2018-06-28,3015
2018-06-29,2876
2018-06-30,2876
2018-07-01,2876
2018-07-02,2876
2018-07-03,2876
2018-07-04,2876
2018-07-05,2876
2018-07-06,2876
2018-07-07,2876
2018-07-08,2876
2018-07-09,2876
2018-07-10,2876
2018-07-11,2876
2018-07-12,2876
2018-07-13,2876
2018-07-14,2876
2018-07-15,2876
2018-07-16,2876
2018-07-17,2876
2018-07-18,2876
2018-07-19,2876
2018-07-20,2876
2018-07-21,2876
2018-07-22,2876
2018-07-23,2876
2018-07-24,2876
2018-07-25,2876
2018-07-26,2876
2018-07-27,2876
2018-07-28,2876
2018-07-29,2735
2018-07-30,2735
2018-07-31,2735
2018-08-01,2735
2018-08-02,2735
2018-08-03,2735
2018-08-04,2735
2018-08-05,2735
2018-08-06,2735
2018-08-07,2735
2018-08-08,2735
2018-08-09,2735
2018-08-10,2735
2018-08-11,2735
2018-08-12,2735
2018-08-14,2735
2018-08-16,2735
2018-08-17,2735
2018-08-18,2603
2018-08-19,2603
2018-08-20,2603
2018-08-21,2603
2018-08-22,2603
2018-08-23,2603
2018-08-24,2603
2018-08-25,2603
2018-08-26,2603
2018-08-27,2603
2018-08-28,2603
2018-08-29,2603
2018-08-30,2603
2018-08-31,2603
2018-09-01,2603
2018-09-02,2603
2018-09-03,2603
2018-09-04,2603
2018-09-05,2475
2018-09-06,2475
2018-09-07,2475
2018-09-08,2475
2018-09-09,2475
2018-09-10,2475
2018-09-11,2475
2018-09-12,2475
2018-09-13,2475
2018-09-14,2475
2018-09-15,2475
2018-09-16,2475
2018-09-17,2475
2018-09-18,2475
2018-09-19,2475
2018-09-20,2475
2018-09-21,2475
2018-09-22,2475
2018-09-23,2475
2018-09-24,2475
2018-09-25,2365
2018-09-26,2365
2018-09-27,2365
2018-09-28,2365
2018-09-29,2365
2018-09-30,2365
2018-10-02,2365
2018-10-03,2365
2018-10-04,2365
2018-10-05,2365
2018-10-06,2365
2018-10-07,2365
2018-10-08,2365
2018-10-09,2365
2018-10-10,2365
2018-10-11,2365
2018-10-12,2365
2018-10-13,2365
2018-10-14,2365
2018-10-15,2365
2018-10-16,2365
2018-10-17,2365
2018-10-18,2365
2018-10-19,2365
2018-10-20,2365
2018-10-21,2365
2018-10-22,2254
2018-10-23,2254
2018-10-24,2254
