date_obj,Blue%20robe%20top price
2015-03-04,15032
2015-03-05,15032
2015-03-06,14280
2015-03-07,14280
2015-03-08,14280
2015-03-09,14280
2015-03-10,13577
2015-03-11,13577
2015-03-12,13577
2015-03-13,13577
2015-03-14,13577
2015-03-15,12898
2015-03-16,12898
2015-03-17,12898
2015-03-18,12898
2015-03-19,12898
2015-03-20,12253
2015-03-21,12253
2015-03-22,12253
2015-03-23,12253
2015-03-24,11640
2015-03-25,11640
2015-03-26,11640
2015-03-27,11640
2015-03-28,11062
2015-03-29,11062
2015-03-30,11062
2015-03-31,11062
2015-04-01,10520
2015-04-02,10520
2015-04-03,10520
2015-04-04,10520
2015-04-05,9994
2015-04-06,9994
2015-04-07,9994
2015-04-08,9994
2015-04-09,9495
2015-04-10,9495
2015-04-11,9495
2015-04-12,9495
2015-04-13,9020
2015-04-14,9020
2015-04-15,9020
2015-04-16,9020
2015-04-17,9020
2015-04-18,8569
2015-04-19,8569
2015-04-20,8569
2015-04-21,8569
2015-04-22,8569
2015-04-23,8140
2015-04-24,8140
2015-04-25,8140
2015-04-26,8140
2015-04-27,7752
2015-04-28,7752
2015-04-29,7752
2015-04-30,7752
2015-05-01,7364
2015-05-02,7364
2015-05-03,7364
2015-05-04,6995
2015-05-05,6995
2015-05-06,6645
2015-05-07,6645
2015-05-08,6645
2015-05-09,6312
2015-05-10,6312
2015-05-11,6312
2015-05-12,5996
2015-05-13,5996
2015-05-14,5996
2015-05-15,5697
2015-05-16,5697
2015-05-17,5697
2015-05-18,5412
2015-05-19,5412
2015-05-20,5412
2015-05-21,5412
2015-05-22,5147
2015-05-23,5147
2015-05-24,5147
2015-05-25,4905
2015-05-26,4905
2015-05-27,4905
2015-05-28,4659
2015-05-29,4659
2015-05-30,4426
2015-05-31,4426
2015-06-01,4426
2015-06-02,4426
2015-06-03,4206
2015-06-04,4206
2015-06-05,4206
2015-06-06,4206
2015-06-07,3995
2015-06-08,3995
2015-06-09,3995
2015-06-10,3995
2015-06-11,3798
2015-06-12,3798
2015-06-13,3798
2015-06-14,3798
2015-06-15,3611
2015-06-16,3611
2015-06-17,3611
2015-06-18,3611
2015-06-19,3432
2015-06-20,3432
2015-06-21,3432
2015-06-22,3263
2015-06-23,3263
2015-06-24,3263
2015-06-25,3263
2015-06-26,3099
2015-06-27,3099
2015-06-28,3099
2015-06-29,3099
2015-06-30,2944
2015-07-01,2944
2015-07-02,2944
2015-07-03,2944
2015-07-04,2796
2015-07-05,2796
2015-07-06,2796
2015-07-07,2796
2015-07-08,2656
2015-07-09,2656
2015-07-10,2656
2015-07-11,2656
2015-07-12,2526
2015-07-13,2526
2015-07-14,2526
2015-07-15,2401
2015-07-16,2401
2015-07-17,2401
2015-07-18,2401
2015-07-19,2280
2015-07-20,2280
2015-07-21,2280
2015-07-22,2169
2015-07-23,2169
2015-07-24,2169
2015-07-25,2169
2015-07-26,2106
2015-07-27,2106
2015-07-28,2106
2015-07-29,2059
2015-07-30,2059
2015-07-31,2059
2015-08-01,2059
2015-08-02,1971
2015-08-03,1971
2015-08-04,1971
2015-08-05,1887
2015-08-06,1887
2015-08-07,1887
2015-08-08,1884
2015-08-09,1884
2015-08-10,1884
2015-08-11,1789
2015-08-12,1789
2015-08-13,1789
2015-08-14,1702
2015-08-15,1702
2015-08-16,1702
2015-08-17,1702
2015-08-18,1616
2015-08-19,1616
2015-08-20,1616
2015-08-21,1547
2015-08-22,1547
2015-08-23,1547
2015-08-24,1490
2015-08-25,1490
2015-08-26,1490
2015-08-27,1490
2015-08-28,1415
2015-08-29,1415
2015-08-30,1415
2015-08-31,1415
2015-09-01,511
2015-09-02,1376
2015-09-07,1367
2015-09-08,1367
2015-09-10,1341
2015-09-14,1345
2015-09-16,1345
2015-09-22,1297
2015-09-23,1297
2015-09-24,1297
2015-09-25,1291
2015-09-27,1291
2015-09-28,1291
2015-09-29,1236
2015-09-30,1236
2015-10-05,1233
2015-10-06,1233
2015-10-07,1215
2015-10-08,1215
2015-10-09,1215
2015-10-10,1215
2015-10-11,1163
2015-10-12,1163
2015-10-13,1163
2015-10-14,1163
2015-10-15,1165
2015-10-16,1165
2015-10-17,1165
2015-10-18,1165
2015-10-19,1165
2015-10-20,1161
2015-10-22,1161
2015-10-23,1161
2015-10-24,1161
2015-10-25,1125
2015-10-26,1125
2015-10-27,1125
2015-10-29,1125
2015-10-30,1118
2015-10-31,1118
2015-11-01,1118
2015-11-02,1118
2015-11-03,1118
2015-11-04,1111
2015-11-05,1111
2015-11-06,1111
2015-11-07,1111
