date_obj,Dharok's%20platebody price
2015-03-26,423327
2015-03-27,423327
2015-03-28,436546
2015-03-29,427510
2015-03-30,421696
2015-03-31,429365
2015-04-01,429365
2015-04-02,443746
2015-04-03,456519
2015-04-04,455423
2015-04-05,456111
2015-04-06,454854
2015-04-07,448929
2015-04-08,448929
2015-04-09,452028
2015-04-10,448206
2015-04-11,437879
2015-04-12,427496
2015-04-13,414002
2015-04-14,402521
2015-04-15,395672
2015-04-16,391671
2015-04-17,400494
2015-04-18,393682
2015-04-19,388331
2015-04-20,388331
2015-04-21,377278
2015-04-22,371093
2015-04-23,375832
2015-04-24,374729
2015-04-25,368348
2015-04-26,354465
2015-04-27,348927
2015-04-28,345768
2015-04-29,345768
2015-04-30,337370
2015-05-01,334453
2015-05-02,332151
2015-05-03,332151
2015-05-04,324215
2015-05-05,329107
2015-05-06,329990
2015-05-07,344289
2015-05-08,345933
2015-05-09,351251
2015-05-10,357453
2015-05-11,357453
2015-05-12,355515
2015-05-13,355761
2015-05-14,364941
2015-05-15,374879
2015-05-16,370016
2015-05-17,367971
2015-05-18,377000
2015-05-19,377292
2015-05-20,377292
2015-05-21,388573
2015-05-22,403096
2015-05-23,420265
2015-05-24,437493
2015-05-25,456865
2015-05-26,461357
2015-05-27,476076
2015-05-28,487303
2015-05-29,507678
2015-05-30,513946
2015-05-31,511229
2015-06-01,508450
2015-06-02,504817
2015-06-03,491954
2015-06-04,478029
2015-06-05,499125
2015-06-06,523269
2015-06-07,535234
2015-06-08,524918
2015-06-09,521673
2015-06-10,513841
2015-06-11,500853
2015-06-12,492976
2015-06-13,482710
2015-06-14,492660
2015-06-15,477706
2015-06-16,499594
2015-06-17,504389
2015-06-18,527088
2015-06-19,549056
2015-06-20,562857
2015-06-21,544957
2015-06-22,557724
2015-06-23,557978
2015-06-24,577971
2015-06-25,581973
2015-06-26,579189
2015-06-27,597779
2015-06-28,615362
2015-06-29,597378
2015-06-30,587762
2015-07-01,587714
2015-07-02,586459
2015-07-03,597330
2015-07-04,626741
2015-07-05,653810
2015-07-06,667622
2015-07-07,660555
2015-07-08,648706
2015-07-09,648706
2015-07-10,634578
2015-07-11,623062
2015-07-12,605887
2015-07-13,603824
2015-07-14,613926
2015-07-15,617880
2015-07-16,597590
2015-07-17,607814
2015-07-18,609882
2015-07-19,622260
2015-07-20,629203
2015-07-21,641238
2015-07-22,640525
2015-07-23,640525
2015-07-24,649576
2015-07-25,651757
2015-07-26,666842
2015-07-27,687158
2015-07-28,674187
2015-07-29,696730
2015-07-30,714951
2015-07-31,707215
2015-08-01,709197
2015-08-02,683379
2015-08-03,677235
2015-08-04,690787
2015-08-05,669914
2015-08-06,666298
2015-08-07,669671
2015-08-08,669488
2015-08-09,667716
2015-08-10,672210
2015-08-11,658446
2015-08-12,645012
2015-08-13,634834
2015-08-14,615348
2015-08-15,616112
2015-08-16,605165
2015-08-17,597357
2015-08-18,579689
2015-08-19,570997
2015-08-20,577895
2015-08-21,573222
2015-08-22,589755
2015-08-23,587869
2015-08-24,577432
2015-08-25,562078
2015-08-26,564511
2015-08-27,552592
2015-08-28,559002
2015-08-29,538454
2015-08-30,538167
2015-08-31,555254
2015-09-01,558390
2015-09-02,557426
2015-09-03,537235
2015-09-04,540572
2015-09-05,550241
2015-09-06,539487
2015-09-07,540209
2015-09-08,553458
2015-09-09,555078
2015-09-10,564872
2015-09-11,580202
2015-09-12,569473
2015-09-13,582567
2015-09-14,592609
2015-09-15,593088
2015-09-16,578264
2015-09-17,563354
2015-09-18,570242
2015-09-19,569210
2015-09-20,561620
2015-09-21,538439
2015-09-22,546220
2015-09-23,555418
2015-09-24,528615
2015-09-25,521796
2015-09-27,553149
2015-09-28,542867
2015-09-29,552634
2015-09-30,555464
2015-10-05,564255
2015-10-06,557192
2015-10-07,533202
2015-10-08,518282
2015-10-09,523709
2015-10-10,523709
2015-10-11,506595
2015-10-12,495102
2015-10-13,512241
2015-10-14,506267
2015-10-15,497640
2015-10-16,506859
2015-10-17,506859
2015-10-18,519392
2015-10-19,514755
2015-10-20,512479
2015-10-22,498183
2015-10-23,504142
2015-10-24,510329
2015-10-25,514341
2015-10-26,512579
2015-10-27,527720
2015-10-29,531284
2015-10-30,546317
2015-10-31,540753
2015-11-01,540753
2015-11-02,546552
2015-11-03,541830
2015-11-04,539974
2015-11-05,526261
2015-11-06,524971
2015-11-07,522340
2015-11-08,522340
2015-11-09,520155
2015-11-10,533975
2015-11-11,533464
2015-11-12,536996
2015-11-13,543645
2015-11-14,555164
2015-11-15,570610
2015-11-16,563080
2015-11-17,552390
2015-11-18,559625
2015-11-19,544551
2015-11-20,549367
2015-11-21,549367
2015-11-22,562773
2015-11-23,562773
2015-11-24,573708
2015-11-25,568153
2015-11-26,568153
2015-11-27,570821
2015-11-28,583122
2015-11-29,581876
2015-11-30,589624
2015-12-01,589194
2015-12-02,603795
2015-12-03,597801
2015-12-04,589497
2015-12-05,595736
2015-12-06,621501
2015-12-07,627082
2015-12-08,640437
2015-12-09,629664
2015-12-10,614470
2015-12-11,624846
2015-12-12,642006
2015-12-13,656495
2015-12-14,656495
2015-12-15,646585
2015-12-16,645092
2015-12-17,670486
2015-12-18,678451
2015-12-19,672025
2015-12-20,644304
2015-12-21,615795
2015-12-22,586606
2015-12-23,583826
2015-12-24,576906
2015-12-25,564157
2015-12-26,588027
2015-12-27,617429
2015-12-28,643483
2015-12-29,663548
2015-12-30,640185
2015-12-31,632117
2016-01-01,629017
2016-01-02,642913
2016-01-03,641910
2016-01-04,641608
2016-01-05,631695
2016-01-06,615481
2016-01-07,603846
2016-01-08,605646
2016-01-09,611818
2016-01-10,626558
2016-01-11,624524
2016-01-12,611917
2016-01-13,591838
2016-01-14,597934
2016-01-15,602067
2016-01-16,600607
2016-01-17,591562
2016-01-18,588564
2016-01-19,598545
2016-01-20,600140
2016-01-21,628207
2016-01-22,620678
2016-01-23,617320
2016-01-24,637780
2016-01-25,658245
2016-01-26,676226
2016-01-27,690189
2016-01-28,690189
2016-01-29,672771
2016-01-30,665864
2016-01-31,659156
2016-02-01,662744
2016-02-02,646340
2016-02-03,642294
2016-02-04,621222
2016-02-05,630295
2016-02-06,645617
2016-02-07,637419
2016-02-08,623147
2016-02-09,632410
2016-02-10,656903
2016-02-11,665776
2016-02-12,667248
2016-02-13,677787
2016-02-14,677738
2016-02-15,670730
2016-02-16,667072
2016-02-17,676662
2016-02-18,671471
2016-02-19,665541
2016-02-20,677600
2016-02-21,673509
2016-02-22,649637
2016-02-23,662053
2016-02-24,664920
2016-02-25,637411
2016-02-26,629360
2016-02-27,629367
2016-02-28,632602
2016-03-01,610053
2016-03-02,596409
2016-03-03,595308
2016-03-04,605870
2016-03-05,608996
2016-03-06,614821
2016-03-07,622267
2016-03-08,629641
2016-03-09,645017
2016-03-10,676238
2016-03-11,682539
2016-03-12,700510
2016-03-13,708733
2016-03-14,718321
2016-03-15,731323
2016-03-16,727282
2016-03-17,737909
2016-03-18,749349
2016-03-19,749210
2016-03-20,786102
2016-03-21,813346
2016-03-22,840247
2016-03-23,841555
2016-03-24,841975
2016-03-25,837940
2016-03-26,812309
2016-03-27,805786
