date_obj,Diamond%20ring price
2015-03-26,3561
2015-03-27,3561
2015-03-28,3382
2015-03-29,3217
2015-03-30,3068
2015-03-31,2952
2015-04-01,2952
2015-04-02,2804
2015-04-03,2668
2015-04-04,2561
2015-04-05,2561
2015-04-06,2432
2015-04-07,2313
2015-04-08,2313
2015-04-09,2197
2015-04-10,2089
2015-04-11,2008
2015-04-12,2008
2015-04-13,1939
2015-04-14,1939
2015-04-15,1874
2015-04-16,1874
2015-04-17,1932
2015-04-18,1932
2015-04-19,1908
2015-04-20,1908
2015-04-21,1933
2015-04-22,1933
2015-04-23,1921
2015-04-24,1921
2015-04-25,1918
2015-04-26,1918
2015-04-27,1882
2015-04-28,1924
2015-04-29,1924
2015-04-30,1943
2015-05-01,1896
2015-05-02,1906
2015-05-03,1906
2015-05-04,1917
2015-05-05,1917
2015-05-06,1924
2015-05-07,1924
2015-05-08,1943
2015-05-09,1956
2015-05-10,1927
2015-05-11,1927
2015-05-12,1942
2015-05-13,1942
2015-05-14,1975
2015-05-15,1975
2015-05-16,1950
2015-05-17,1881
2015-05-18,1881
2015-05-19,1908
2015-05-20,1908
2015-05-21,1908
2015-05-22,1933
2015-05-23,1933
2015-05-24,1943
2015-05-25,1905
2015-05-26,1905
2015-05-27,1901
2015-05-28,1909
2015-05-29,1909
2015-05-30,1939
2015-05-31,1939
2015-06-01,1979
2015-06-02,1979
2015-06-03,1961
2015-06-04,1961
2015-06-05,1986
2015-06-06,1996
2015-06-07,1996
2015-06-08,1975
2015-06-09,1975
2015-06-10,1975
2015-06-11,1975
2015-06-12,1987
2015-06-13,2012
2015-06-14,2012
2015-06-15,2028
2015-06-16,2028
2015-06-17,1976
2015-06-18,2006
2015-06-19,2006
2015-06-20,1976
2015-06-21,1976
2015-06-22,1979
2015-06-23,1979
2015-06-24,1953
2015-06-25,1953
2015-06-26,1974
2015-06-27,1974
2015-06-28,2064
2015-06-29,2064
2015-06-30,2002
2015-07-01,1978
2015-07-02,1978
2015-07-03,1962
2015-07-04,1962
2015-07-05,1947
2015-07-06,1947
2015-07-07,1935
2015-07-08,1935
2015-07-09,1982
2015-07-10,1956
2015-07-11,1956
2015-07-12,1955
2015-07-13,1955
2015-07-14,1979
2015-07-15,1979
2015-07-16,1952
2015-07-17,1929
2015-07-18,1929
2015-07-19,1905
2015-07-20,1905
2015-07-21,1928
2015-07-22,1939
2015-07-23,1939
2015-07-24,1913
2015-07-25,1913
2015-07-26,1963
2015-07-27,1963
2015-07-28,2026
2015-07-29,2027
2015-07-30,2027
2015-07-31,2082
2015-08-01,2082
2015-08-02,2082
2015-08-03,2082
2015-08-04,2107
2015-08-05,2050
2015-08-06,2050
2015-08-07,1978
2015-08-08,1939
2015-08-09,1939
2015-08-10,1981
2015-08-11,1981
2015-08-12,2013
2015-08-13,2013
2015-08-14,2039
2015-08-15,2039
2015-08-16,2039
2015-08-17,1969
2015-08-18,1969
2015-08-19,1955
2015-08-20,1955
2015-08-21,2014
2015-08-22,2014
2015-08-23,2014
2015-08-24,2112
2015-08-25,2112
2015-08-26,2112
2015-08-27,2039
2015-08-28,2039
2015-08-29,2007
2015-08-30,2007
2015-08-31,2007
2015-09-01,1956
2015-09-02,1956
2015-09-03,1956
2015-09-04,1946
2015-09-05,1946
2015-09-06,1946
2015-09-07,1955
2015-09-08,1955
2015-09-09,1955
2015-09-10,1933
2015-09-11,1933
2015-09-12,1970
2015-09-13,1970
2015-09-14,1943
2015-09-15,1943
2015-09-16,1943
2015-09-17,1912
2015-09-18,1912
2015-09-19,1912
2015-09-20,1943
2015-09-21,1943
2015-09-22,1943
2015-09-23,1934
2015-09-24,1934
2015-09-25,1934
2015-09-27,1943
2015-09-28,1943
2015-09-29,1961
2015-09-30,1961
2015-10-05,1950
2015-10-06,1950
2015-10-07,1914
2015-10-08,1914
