date_obj,Onyx%20dragon%20bolts%20(e) price
2018-01-03,13000
2018-01-04,13501
2018-01-05,13128
2018-01-06,12471
2018-01-07,12004
2018-01-08,12004
2018-01-09,11432
2018-01-10,11432
2018-01-11,10860
2018-01-12,10860
2018-01-13,10317
2018-01-14,10317
2018-01-15,9801
2018-01-16,9801
2018-01-17,9310
2018-01-18,9310
2018-01-19,9310
2018-01-20,9116
2018-01-21,9116
2018-01-22,9164
2018-01-23,9164
2018-01-24,9268
2018-01-25,9268
2018-01-26,9306
2018-01-27,9306
2018-01-28,9308
2018-01-29,9308
2018-01-31,9261
2018-02-01,9348
2018-02-02,9348
2018-02-03,9517
2018-02-04,9517
2018-02-05,9331
2018-02-06,9331
2018-02-07,9226
2018-02-08,9226
2018-02-09,9017
2018-02-10,9017
2018-02-11,9076
2018-02-12,9122
2018-02-13,9091
2018-02-14,9145
2018-02-15,9093
2018-02-16,9118
2018-02-17,9172
2018-02-18,9166
2018-02-19,9235
2018-02-20,9235
2018-02-21,9247
2018-02-22,9247
2018-02-23,9277
2018-02-24,9277
2018-02-25,9319
2018-02-26,9319
2018-02-27,9601
2018-03-01,9659
2018-03-02,9622
2018-03-03,9622
2018-03-04,9622
2018-03-05,9477
2018-03-06,9477
2018-03-07,9317
2018-03-08,9317
2018-03-09,9372
2018-03-10,9372
2018-03-11,9372
2018-03-12,9262
2018-03-13,9262
2018-03-14,9262
2018-03-15,9594
2018-03-16,9594
2018-03-17,9451
2018-03-18,9451
2018-03-19,9451
2018-03-20,9698
2018-03-21,9698
2018-03-23,9630
2018-03-24,9630
2018-03-26,9703
2018-03-27,9606
2018-03-28,9606
2018-03-29,9606
2018-03-30,9464
2018-03-31,9464
2018-04-01,9643
2018-04-02,9643
2018-04-03,9969
2018-04-04,9969
2018-04-05,9969
2018-04-06,9640
2018-04-08,9206
2018-04-09,9206
2018-04-10,9282
2018-04-11,9282
2018-04-12,9282
2018-04-13,9200
2018-04-14,9200
2018-04-15,9461
2018-04-16,9461
2018-04-17,9461
2018-04-18,9688
2018-04-19,9688
2018-04-20,9688
2018-04-21,9841
2018-04-22,9841
2018-04-23,9841
