date_obj,Oak%20plank price
2015-03-26,467
2015-03-27,467
2015-03-28,461
2015-03-29,465
2015-03-30,473
2015-03-31,465
2015-04-01,452
2015-04-02,463
2015-04-03,461
2015-04-04,442
2015-04-05,425
2015-04-06,413
2015-04-07,408
2015-04-08,409
2015-04-09,416
2015-04-10,423
2015-04-11,411
2015-04-12,409
2015-04-13,408
2015-04-14,421
2015-04-15,427
2015-04-16,445
2015-04-17,455
2015-04-18,477
2015-04-19,487
2015-04-20,470
2015-04-21,461
2015-04-22,442
2015-04-23,433
2015-04-24,439
2015-04-25,440
2015-04-26,435
2015-04-27,438
2015-04-28,444
2015-04-29,444
2015-04-30,446
2015-05-01,450
2015-05-02,432
2015-05-03,412
2015-05-04,413
2015-05-05,414
2015-05-06,424
2015-05-07,409
2015-05-08,410
2015-05-09,406
2015-05-10,408
2015-05-11,421
2015-05-12,434
2015-05-13,437
2015-05-14,442
2015-05-15,447
2015-05-16,429
2015-05-17,417
2015-05-18,421
2015-05-19,421
2015-05-20,421
2015-05-21,416
2015-05-22,415
2015-05-23,409
2015-05-24,407
2015-05-25,420
2015-05-26,429
2015-05-27,432
2015-05-28,436
2015-05-29,429
2015-05-30,420
2015-05-31,423
2015-06-01,415
2015-06-02,408
2015-06-03,404
2015-06-04,414
2015-06-05,424
2015-06-06,423
2015-06-07,430
2015-06-08,432
2015-06-09,427
2015-06-10,422
2015-06-11,417
2015-06-12,416
2015-06-13,408
2015-06-14,413
2015-06-15,414
2015-06-16,417
2015-06-17,418
2015-06-18,421
2015-06-19,420
2015-06-20,421
2015-06-21,418
2015-06-22,419
2015-06-23,422
2015-06-24,420
2015-06-25,415
2015-06-26,417
2015-06-27,415
2015-06-28,415
2015-06-29,419
2015-06-30,419
2015-07-01,429
2015-07-02,429
2015-07-03,423
2015-07-04,411
2015-07-05,407
2015-07-06,411
2015-07-07,414
2015-07-08,427
2015-07-09,431
2015-07-10,441
2015-07-11,420
2015-07-12,411
2015-07-13,411
2015-07-14,416
2015-07-15,415
2015-07-16,415
2015-07-17,413
2015-07-18,409
2015-07-19,412
2015-07-20,411
2015-07-21,399
2015-07-22,403
2015-07-23,403
2015-07-24,406
2015-07-25,407
2015-07-26,405
2015-07-27,402
2015-07-28,403
2015-07-29,403
2015-07-30,400
2015-07-31,418
2015-08-01,425
2015-08-02,419
2015-08-03,417
2015-08-04,414
2015-08-05,409
2015-08-06,415
2015-08-07,413
2015-08-08,416
2015-08-09,417
2015-08-10,418
2015-08-11,415
2015-08-12,413
2015-08-13,412
2015-08-14,420
2015-08-15,420
2015-08-16,423
2015-08-17,421
2015-08-18,415
2015-08-19,420
2015-08-20,437
2015-08-21,429
2015-08-22,419
2015-08-23,409
2015-08-24,406
2015-08-25,406
2015-08-26,417
2015-08-27,434
2015-08-28,422
2015-08-29,422
2015-08-30,422
2015-08-31,430
2015-09-01,433
2015-09-02,433
2015-09-03,435
2015-09-04,449
2015-09-05,449
2015-09-06,434
2015-09-07,420
2015-09-08,427
2015-09-09,447
2015-09-10,463
2015-09-11,449
2015-09-12,432
2015-09-13,417
2015-09-14,415
2015-09-15,423
2015-09-16,423
2015-09-17,431
2015-09-18,431
2015-09-19,423
2015-09-20,410
2015-09-21,415
2015-09-22,413
2015-09-23,414
2015-09-24,414
2015-09-25,420
2015-09-27,413
2015-09-28,408
2015-09-29,419
2015-09-30,426
2015-10-05,450
2015-10-06,471
2015-10-07,493
2015-10-08,514
2015-10-09,511
2015-10-10,511
2015-10-11,491
2015-10-12,482
2015-10-13,482
2015-10-14,493
2015-10-15,492
2015-10-16,479
2015-10-17,479
2015-10-18,458
2015-10-19,454
2015-10-20,460
2015-10-22,477
2015-10-23,474
2015-10-24,452
2015-10-25,432
2015-10-26,436
2015-10-27,436
2015-10-29,464
2015-10-30,463
2015-10-31,453
2015-11-01,453
2015-11-02,451
2015-11-03,469
2015-11-04,469
2015-11-05,489
2015-11-06,489
2015-11-07,482
2015-11-08,482
2015-11-09,471
2015-11-10,471
2015-11-11,460
2015-11-12,460
2015-11-13,450
2015-11-14,438
2015-11-15,432
2015-11-16,438
2015-11-17,438
2015-11-18,448
2015-11-19,468
2015-11-20,474
2015-11-21,474
2015-11-22,464
2015-11-23,464
2015-11-24,457
2015-11-25,457
2015-11-26,457
