date_obj,Spice price
2016-01-29,508
2016-01-30,508
2016-01-31,492
2016-02-01,483
2016-02-02,474
2016-02-03,475
2016-02-04,478
2016-02-05,475
2016-02-06,470
2016-02-07,470
2016-02-08,490
2016-02-09,490
2016-02-10,504
2016-02-11,507
2016-02-12,497
2016-02-13,493
2016-02-14,493
2016-02-15,510
2016-02-16,536
2016-02-17,545
2016-02-18,545
2016-02-19,520
2016-02-20,520
2016-02-21,524
2016-02-22,524
2016-02-23,507
2016-02-24,487
2016-02-25,488
2016-02-26,488
2016-02-27,476
2016-02-28,462
2016-02-29,454
2016-03-01,454
2016-03-02,459
2016-03-03,456
2016-03-04,479
2016-03-05,489
2016-03-06,469
2016-03-07,491
2016-03-08,485
2016-03-09,493
2016-03-10,472
2016-03-11,448
2016-03-12,436
2016-03-13,423
2016-03-14,415
2016-03-15,408
2016-03-16,419
2016-03-17,418
2016-03-18,428
2016-03-19,426
2016-03-20,415
2016-03-21,423
2016-03-22,420
2016-03-23,408
2016-03-24,410
2016-03-25,410
2016-03-26,393
2016-03-27,406
2016-03-28,388
2016-03-29,394
2016-03-30,394
2016-03-31,400
2016-04-01,391
2016-04-02,405
2016-04-03,411
2016-04-04,425
2016-04-05,432
2016-04-06,454
2016-04-07,477
2016-04-08,480
2016-04-09,488
2016-04-10,497
2016-04-11,497
2016-04-12,501
2016-04-13,498
2016-04-14,498
2016-04-15,496
2016-04-16,484
2016-04-17,485
2016-04-18,485
2016-04-19,500
2016-04-20,514
2016-04-21,493
2016-04-22,493
2016-04-23,491
2016-04-24,475
2016-04-25,478
2016-04-26,480
2016-04-27,487
2016-04-28,496
2016-04-29,497
2016-04-30,498
2016-05-01,493
2016-05-02,494
2016-05-03,494
2016-05-04,493
2016-05-05,493
2016-05-06,493
2016-05-07,492
2016-05-08,498
2016-05-09,491
2016-05-10,501
2016-05-11,495
2016-05-12,503
2016-05-13,519
2016-05-14,509
2016-05-15,525
2016-05-16,528
2016-05-17,501
2016-05-18,475
2016-05-19,451
2016-05-22,399
2016-05-23,418
2016-05-24,437
2016-05-25,459
2016-05-26,481
2016-05-27,495
2016-05-28,497
2016-05-29,478
2016-05-30,483
2016-05-31,498
2016-06-01,509
2016-06-02,483
2016-06-03,471
2016-06-04,463
2016-06-05,439
2016-06-06,417
2016-06-07,396
2016-06-08,385
2016-06-09,392
2016-06-10,401
2016-06-11,415
2016-06-12,407
2016-06-13,394
2016-06-14,394
2016-06-15,374
2016-06-16,355
2016-06-17,349
2016-06-18,333
2016-06-19,334
2016-06-20,351
2016-06-21,369
2016-06-22,377
2016-06-23,384
2016-06-24,396
2016-06-25,416
2016-06-26,432
2016-06-27,444
2016-06-28,439
2016-06-29,440
2016-06-30,432
2016-07-01,451
2016-07-02,474
2016-07-03,498
2016-07-04,509
2016-07-05,516
2016-07-06,507
2016-07-07,503
2016-07-08,492
2016-07-09,467
2016-07-10,458
2016-07-11,457
2016-07-12,436
2016-07-13,417
2016-07-14,401
2016-07-15,380
2016-07-16,380
2016-07-17,384
2016-07-18,378
2016-07-24,344
2016-07-25,326
2016-07-26,313
2016-07-27,311
2016-07-28,301
2016-07-29,286
2016-07-30,273
2016-07-31,268
2016-08-01,265
2016-08-02,255
2016-08-03,242
2016-08-04,229
2016-08-05,221
2016-08-06,215
2016-08-07,205
2016-08-08,199
2016-08-09,205
2016-08-10,198
2016-08-11,188
2016-08-12,178
2016-08-13,169
2016-08-14,160
2016-08-15,153
2016-08-16,151
2016-08-17,155
2016-08-18,163
2016-08-19,167
2016-08-20,168
2016-08-21,171
2016-08-22,174
2016-08-23,174
2016-08-24,183
2016-08-25,193
2016-08-26,193
2016-08-28,210
2016-08-31,240
2016-09-01,243
2016-09-02,243
2016-09-03,255
2016-09-04,267
2016-09-05,278
2016-09-06,291
2016-09-07,300
2016-09-08,300
2016-09-09,307
2016-09-10,318
2016-09-11,318
2016-09-12,319
2016-09-13,331
2016-09-14,331
2016-09-15,334
2016-09-16,334
2016-09-17,341
2016-09-18,359
2016-09-19,376
2016-09-20,376
2016-09-21,382
2016-09-22,384
2016-09-23,384
2016-09-24,384
2016-09-25,380
2016-09-26,380
2016-09-27,379
2016-09-28,366
2016-09-29,366
2016-09-30,363
2016-10-01,357
2016-10-02,357
2016-10-03,346
2016-10-04,357
2016-10-05,358
2016-10-06,364
2016-10-07,364
2016-10-08,350
2016-10-09,339
2016-10-11,305
2016-10-12,289
2016-10-13,285
2016-10-14,279
2016-10-15,272
2016-10-16,283
2016-10-17,277
2016-10-18,264
2016-10-19,269
2016-10-20,271
2016-10-21,280
2016-10-22,280
2016-10-23,286
2016-10-24,281
2016-10-25,281
2016-10-26,276
2016-10-27,276
2016-10-28,268
2016-10-29,258
2016-10-30,247
2016-10-31,237
2016-11-01,237
2016-11-02,230
2016-11-03,229
2016-11-04,221
2016-11-05,221
2016-11-06,212
2016-11-07,201
2016-11-08,191
2016-11-09,185
2016-11-10,189
2016-11-11,179
2016-11-12,170
2016-11-13,161
2016-11-14,152
2016-12-08,163
2016-12-09,171
2016-12-10,168
2016-12-11,175
2016-12-12,184
2016-12-13,194
2016-12-14,202
2016-12-15,202
2016-12-16,207
2016-12-17,218
2016-12-18,224
2016-12-19,217
2016-12-20,215
2016-12-21,216
2016-12-22,213
2016-12-23,210
2016-12-24,207
2016-12-25,201
2016-12-26,203
2016-12-27,198
2016-12-28,203
2016-12-29,202
2016-12-30,195
2016-12-31,193
2017-01-01,190
2017-01-02,194
2017-01-03,191
2017-01-04,188
2017-01-05,185
2017-01-06,188
2017-01-07,196
2017-01-08,189
2017-01-09,190
2017-01-10,190
2017-01-11,198
2017-01-12,196
2017-01-13,206
2017-01-14,212
2017-01-15,218
2017-01-16,215
2017-01-17,206
2017-01-18,211
2017-01-19,222
2017-01-20,225
2017-01-21,229
2017-01-22,232
2017-01-27,225
2017-01-28,220
2017-01-29,214
2017-01-30,207
2017-01-31,197
2017-02-01,193
2017-02-02,190
2017-02-03,184
2017-02-04,178
2017-02-05,175
2017-02-06,168
2017-02-07,159
2017-02-08,153
2017-02-09,153
2017-02-10,149
2017-02-11,145
2017-02-12,141
2017-02-13,143
2017-02-14,135
2017-02-15,131
2017-02-16,126
2017-02-18,124
2017-02-19,123
2017-02-20,122
2017-02-21,115
2017-02-22,110
2017-02-23,107
2017-02-24,101
2017-02-25,103
2017-02-26,101
2017-02-27,95
2017-02-28,92
2017-03-01,88
2017-03-02,91
2017-03-03,86
2017-03-04,82
2017-03-05,84
2017-03-06,84
2017-03-07,88
2017-03-08,84
2017-03-09,82
2017-03-10,78
2017-03-11,75
2017-03-12,75
2017-03-13,71
2017-03-14,70
2017-03-15,66
2017-03-16,63
2017-03-17,60
2017-03-18,61
2017-03-19,62
2017-03-20,65
2017-03-21,69
2017-03-22,73
2017-03-23,76
2017-03-24,79
2017-03-25,77
2017-03-26,76
2017-03-27,75
2017-03-28,75
2017-03-29,75
2017-03-30,72
2017-03-31,75
2017-04-01,76
2017-04-02,80
2017-04-03,80
2017-04-04,80
2017-04-12,99
2017-04-13,99
2017-04-14,98
2017-04-15,97
2017-04-16,95
2017-04-17,94
2017-04-18,89
2017-04-19,89
2017-04-20,88
2017-04-21,87
2017-04-22,89
2017-04-23,90
2017-04-24,95
2017-04-25,100
2017-04-26,105
2017-04-27,111
2017-04-28,117
2017-04-29,122
2017-04-30,128
2017-05-01,131
2017-05-02,136
2017-05-03,139
2017-05-04,142
2017-05-05,146
2017-05-06,148
2017-05-07,149
2017-05-08,148
2017-05-09,147
2017-05-10,150
2017-05-11,150
2017-05-12,158
2017-05-13,166
2017-05-14,175
2017-05-15,184
2017-05-16,194
2017-05-17,201
2017-05-18,206
2017-05-19,214
2017-05-20,212
2017-05-21,206
2017-05-22,204
2017-05-23,204
2017-05-24,203
2017-05-25,202
2017-05-26,203
2017-05-27,206
2017-05-28,206
2017-05-29,202
2017-05-30,201
2017-05-31,195
2017-06-01,196
2017-06-02,188
2017-06-03,181
2017-06-06,165
2017-06-07,167
2017-06-08,173
2017-06-09,175
2017-06-10,171
2017-06-11,162
2017-06-12,154
2017-06-13,149
2017-06-14,143
2017-06-15,135
2017-06-16,128
2017-06-17,121
2017-06-18,119
2017-06-19,119
2017-06-20,124
2017-06-21,124
2017-06-22,126
2017-06-23,127
2017-06-24,122
2017-06-25,115
2017-06-26,109
2017-06-27,113
2017-06-28,110
2017-06-29,104
2017-06-30,98
2017-07-01,93
2017-07-02,96
2017-07-03,93
2017-07-04,94
2017-07-05,94
2017-07-06,92
2017-07-07,93
2017-07-08,93
2017-07-13,92
2017-07-14,93
2017-07-15,95
2017-07-16,95
2017-07-17,100
2017-07-18,102
2017-07-19,108
2017-07-20,114
2017-07-21,119
2017-07-22,123
2017-07-23,121
2017-07-24,115
2017-07-25,111
2017-07-26,107
2017-07-27,107
2017-07-28,103
2017-07-29,109
2017-07-30,109
2017-07-31,109
2017-08-01,114
2017-08-02,119
2017-08-03,118
2017-08-04,114
2017-08-05,112
2017-08-06,115
2017-08-09,122
2017-08-10,121
2017-08-11,122
2017-08-12,124
2017-08-13,130
2017-08-14,135
2017-08-15,135
2017-08-17,132
2017-08-18,125
2017-08-19,121
2017-08-20,115
2017-08-21,111
2017-08-22,109
2017-08-23,111
2017-08-24,110
2017-08-25,113
2017-08-26,113
2017-08-27,112
2017-08-28,118
2017-08-29,117
2017-08-30,112
2017-08-31,111
2017-09-01,110
2017-09-02,108
2017-09-03,112
2017-09-04,114
2017-09-05,108
2017-09-06,104
2017-09-07,101
2017-09-08,97
2017-09-09,92
2017-09-10,90
2017-09-11,91
2017-09-12,87
2017-09-13,88
2017-09-14,86
2017-09-15,86
2017-09-16,86
2017-09-17,90
2017-09-19,100
2017-09-20,101
2017-09-21,104
2017-09-22,110
2017-09-23,116
2017-09-24,122
2017-09-25,129
2017-09-26,136
2017-09-27,135
2017-09-28,131
2017-09-29,129
2017-09-30,127
2017-10-01,125
2017-10-02,121
2017-10-03,128
2017-10-04,122
2017-10-05,123
2017-10-06,124
2017-10-07,126
2017-10-08,124
2017-10-09,122
2017-10-10,119
2017-10-11,119
2017-10-12,117
2017-10-13,114
2017-10-14,113
2017-10-15,118
2017-10-16,123
2017-10-17,123
2017-10-18,128
2017-10-19,128
2017-10-20,125
2017-10-21,120
2017-10-22,119
2017-10-23,122
2017-10-24,123
2017-10-25,127
2017-10-26,131
2017-10-27,129
2017-10-28,129
2017-10-29,133
2017-10-30,131
2017-10-31,128
2017-11-01,128
2017-11-02,132
2017-11-03,129
2017-11-04,129
2017-11-05,129
2017-11-06,133
2017-11-07,131
2017-11-08,131
2017-11-09,132
2017-11-10,132
2017-11-11,128
2017-11-12,129
2017-11-13,125
2017-11-14,122
2017-11-15,125
2017-11-16,126
2017-11-17,124
2017-11-18,125
2017-11-19,127
2017-11-20,125
2017-11-21,131
2017-11-22,129
2017-11-23,123
2017-11-24,124
2017-11-25,125
2017-11-26,127
2017-11-27,127
2017-11-28,128
2017-11-29,126
2017-11-30,129
2017-12-01,129
2017-12-02,129
2017-12-03,125
2017-12-04,124
2017-12-05,125
2017-12-06,127
2017-12-07,129
2017-12-08,126
2017-12-09,125
2017-12-10,126
2017-12-11,125
2017-12-12,124
2017-12-13,128
2017-12-14,132
2017-12-15,134
2017-12-16,132
2017-12-17,128
2017-12-18,130
2017-12-19,129
2017-12-20,134
2017-12-21,134
2017-12-22,130
2017-12-23,126
2017-12-24,127
2017-12-25,127
2017-12-26,128
2017-12-27,129
2017-12-28,132
2017-12-29,136
2017-12-30,137
2017-12-31,131
2018-01-01,127
2018-01-02,124
2018-01-03,123
2018-01-04,130
2018-01-05,130
2018-01-06,127
2018-01-07,125
2018-01-08,124
2018-01-09,123
2018-01-10,129
2018-01-11,136
2018-01-12,143
2018-01-13,146
2018-01-14,146
2018-01-15,143
2018-01-16,149
2018-01-17,155
2018-01-18,157
2018-01-19,157
2018-01-20,153
2018-01-21,151
2018-01-22,149
2018-01-23,153
2018-01-24,145
2018-01-25,137
2018-01-26,133
2018-01-27,137
2018-01-28,137
2018-01-29,136
2018-01-30,130
2018-02-01,129
2018-02-02,131
2018-02-04,126
2018-02-05,128
2018-02-06,125
2018-02-07,126
2018-02-08,123
2018-02-09,126
2018-02-10,130
2018-02-11,126
2018-02-12,125
2018-02-13,131
2018-02-14,129
2018-02-15,126
2018-02-16,126
2018-02-17,126
2018-02-18,125
2018-02-19,125
2018-02-20,124
2018-02-21,125
2018-02-22,125
2018-02-23,124
2018-02-24,124
2018-02-25,124
2018-02-26,124
2018-02-27,124
2018-02-28,117
2018-03-01,119
2018-03-02,125
2018-03-03,132
2018-03-04,137
2018-03-05,144
2018-03-06,152
2018-03-07,160
2018-03-08,168
2018-03-09,177
2018-03-10,186
2018-03-11,196
2018-03-12,206
2018-03-13,200
2018-03-14,192
2018-03-15,182
2018-03-16,172
2018-03-17,167
2018-03-18,169
2018-03-19,167
2018-03-20,168
2018-03-21,165
2018-03-23,152
2018-03-24,145
2018-03-26,151
2018-03-27,153
2018-03-28,155
2018-03-29,160
2018-03-30,160
2018-03-31,159
2018-04-01,158
2018-04-02,156
2018-04-03,155
2018-04-04,151
2018-04-05,143
2018-04-06,140
2018-04-08,143
2018-04-09,149
2018-04-10,144
