date_obj,Leather%20body%20(g) price
2020-01-09,442170
2020-01-10,436140
2020-01-11,435226
2020-01-12,436431
2020-01-13,436431
2020-01-14,424846
2020-01-15,416845
2020-01-16,416584
2020-01-17,414203
2020-01-18,414203
2020-01-19,414975
2020-01-20,415326
2020-01-21,415326
2020-01-22,418133
2020-01-23,423088
2020-01-24,418274
2020-01-25,422112
2020-01-26,424780
2020-01-27,423488
2020-01-28,425295
2020-01-29,415434
2020-01-30,413728
2020-01-31,409884
2020-02-01,409676
2020-02-02,407594
2020-02-03,405245
2020-02-04,396309
2020-02-05,396309
2020-02-06,388653
2020-02-07,384601
2020-02-08,386570
2020-02-09,377569
2020-02-10,368130
2020-02-11,355477
2020-02-12,350828
2020-02-13,350828
2020-02-14,339566
2020-02-15,329552
2020-02-16,323713
2020-02-17,317558
2020-02-18,322350
2020-02-19,322350
2020-02-20,315489
2020-02-21,315489
2020-02-22,307917
2020-02-23,302455
2020-02-24,298620
2020-02-25,307936
2020-02-26,315219
2020-02-27,318221
2020-02-28,321894
2020-02-29,321894
2020-03-01,320708
2020-03-02,319814
2020-03-03,317887
2020-03-04,317887
2020-03-05,316956
2020-03-06,317337
2020-03-07,311447
2020-03-08,305400
2020-03-09,300931
2020-03-10,304266
2020-03-11,304266
2020-03-12,300696
2020-03-13,297583
2020-03-14,286807
2020-03-15,275505
2020-03-16,271689
2020-03-17,266166
2020-03-18,266003
2020-03-19,261019
2020-03-20,261289
2020-03-21,260674
2020-03-22,259956
2020-03-23,261590
2020-03-24,263648
2020-03-25,262625
2020-03-26,254941
2020-03-27,249796
2020-03-28,251034
2020-03-29,248961
2020-03-30,255503
2020-03-31,261859
2020-04-01,261633
2020-04-02,258071
2020-04-03,258071
2020-04-04,257217
2020-04-05,260066
2020-04-06,258186
2020-04-07,261410
2020-04-08,263292
2020-04-09,264228
2020-04-10,268490
2020-04-11,269303
2020-04-12,270988
2020-04-13,272395
2020-04-14,273196
2020-04-15,272187
2020-04-16,272187
2020-04-17,269121
2020-04-18,267604
2020-04-19,262694
2020-04-20,261406
2020-04-21,253012
2020-04-22,247881
2020-04-23,251073
2020-04-24,250993
2020-04-25,244938
2020-04-26,239793
2020-04-27,241418
2020-04-28,236222
2020-04-29,234868
2020-04-30,236737
2020-05-01,238875
2020-05-02,241006
2020-05-03,238821
2020-05-04,239672
2020-05-05,239702
2020-05-06,237166
2020-05-07,239037
2020-05-08,240194
2020-05-09,239711
2020-05-10,240026
2020-05-11,233984
2020-05-12,225142
2020-05-13,224895
