date_obj,White%20kiteshield price
2015-03-26,83457
2015-03-27,83457
2015-03-28,83457
2015-03-29,83457
2015-03-30,83457
2015-03-31,83457
2015-04-01,79376
2015-04-02,79376
2015-04-03,79376
2015-04-04,79376
2015-04-05,79376
2015-04-06,79376
2015-04-07,79376
2015-04-08,79376
2015-04-09,79376
2015-04-10,79376
2015-04-11,79376
2015-04-12,79376
2015-04-13,79376
2015-04-14,79376
2015-04-15,79376
2015-04-16,79376
2015-04-17,79376
2015-04-18,79376
2015-04-19,79376
2015-04-20,79376
2015-04-21,79376
2015-04-22,79376
2015-04-23,79376
2015-04-24,75432
2015-04-25,75432
2015-04-26,75432
2015-04-27,75432
2015-04-28,75432
2015-04-29,75432
2015-04-30,75432
2015-05-01,75432
2015-05-02,75432
2015-05-03,75432
2015-05-04,75432
2015-05-05,75432
2015-05-06,75432
2015-05-07,75432
2015-05-08,75432
2015-05-09,75432
2015-05-10,75432
2015-05-11,75432
2015-05-12,75432
2015-05-13,75432
2015-05-14,75432
2015-05-15,75432
2015-05-16,75432
2015-05-17,75432
2015-05-18,75432
2015-05-19,71860
2015-05-20,71860
2015-05-21,71860
2015-05-22,71860
2015-05-23,71860
2015-05-24,71860
2015-05-25,71860
2015-05-26,71860
2015-05-27,71860
2015-05-28,71860
2015-05-29,71860
2015-05-30,71860
2015-05-31,71860
2015-06-01,71860
2015-06-02,71860
2015-06-03,71860
2015-06-04,71860
2015-06-05,68309
2015-06-06,68309
2015-06-07,68309
2015-06-08,68309
2015-06-09,68309
2015-06-10,68309
2015-06-11,68309
2015-06-12,68309
2015-06-13,68309
2015-06-14,68309
2015-06-15,68309
2015-06-16,68309
2015-06-17,68309
2015-06-18,68309
2015-06-19,68309
2015-06-20,68309
2015-06-21,68309
2015-06-22,64919
2015-06-23,64919
2015-06-24,64919
2015-06-25,64919
2015-06-26,64919
2015-06-27,64919
2015-06-28,64919
2015-06-29,64919
2015-06-30,64919
2015-07-01,64919
2015-07-02,64919
2015-07-03,64919
2015-07-04,64919
2015-07-05,64919
2015-07-06,64919
2015-07-07,61758
2015-07-08,61758
2015-07-09,61758
2015-07-10,61758
2015-07-11,61758
2015-07-12,61758
2015-07-13,61758
2015-07-14,61758
2015-07-15,61758
2015-07-16,61758
2015-07-17,61758
2015-07-18,61758
2015-07-19,61758
2015-07-20,61758
2015-07-21,61758
2015-07-22,61758
2015-07-23,61758
2015-07-24,61758
2015-07-25,58703
2015-07-26,58703
2015-07-27,58703
2015-07-28,58703
2015-07-29,58703
2015-07-30,58703
2015-07-31,58703
2015-08-01,58703
2015-08-02,58703
2015-08-03,58703
2015-08-04,58703
2015-08-05,58703
2015-08-06,58703
2015-08-07,58703
2015-08-08,58703
2015-08-09,55801
2015-08-10,55801
2015-08-11,55801
2015-08-12,55801
2015-08-13,55801
2015-08-14,55801
2015-08-15,55801
2015-08-16,55801
2015-08-17,55801
2015-08-18,55801
2015-08-19,55801
2015-08-20,55801
2015-08-21,55801
2015-08-22,53063
2015-08-23,53063
2015-08-24,53063
2015-08-25,53063
2015-08-26,53063
2015-08-27,53063
2015-08-28,53063
2015-08-29,50514
2015-08-30,50514
2015-08-31,50514
2015-09-01,50514
2015-09-02,50514
2015-09-03,50514
2015-09-04,50514
2015-09-05,50514
2015-09-06,50514
2015-09-07,50514
2015-09-08,50514
2015-09-09,48107
2015-09-10,48107
2015-09-11,48107
2015-09-12,48107
2015-09-13,48107
2015-09-14,48107
2015-09-15,48107
2015-09-16,48107
2015-09-17,48107
2015-09-18,48107
2015-09-19,48107
2015-09-20,48107
2015-09-21,48107
2015-09-22,48107
2015-09-23,45709
2015-09-24,45709
2015-09-25,45709
2015-09-27,45709
2015-09-28,45709
2015-09-29,45709
2015-09-30,45709
2015-10-05,45709
2015-10-06,45709
2015-10-07,43434
2015-10-08,43434
2015-10-09,43434
2015-10-10,43434
2015-10-11,43434
2015-10-12,43434
2015-10-13,43434
2015-10-14,43434
2015-10-15,43434
2015-10-16,43434
2015-10-17,43434
2015-10-18,43434
2015-10-19,43434
2015-10-20,43434
2015-10-22,43434
2015-10-23,41297
2015-10-24,41297
2015-10-25,41297
2015-10-26,41297
2015-10-27,41297
2015-10-29,41297
2015-10-30,41297
2015-10-31,41297
2015-11-01,41297
2015-11-02,41297
2015-11-03,41297
2015-11-04,41297
2015-11-05,41297
2015-11-06,41297
2015-11-07,41297
2015-11-08,41297
2015-11-09,39263
2015-11-10,39263
2015-11-11,39263
2015-11-12,39263
2015-11-13,39263
2015-11-14,39263
2015-11-15,39263
2015-11-16,39263
2015-11-17,39263
2015-11-18,39263
2015-11-19,39263
