date_obj,Adamant%20dagger price
2015-03-26,1002
2015-03-27,1002
2015-03-28,955
2015-03-29,912
2015-03-30,872
2015-03-31,830
2015-04-01,830
2015-04-02,790
2015-04-03,754
2015-04-04,719
2015-04-05,719
2015-04-06,683
2015-04-07,651
2015-04-08,651
2015-04-09,620
2015-04-10,591
2015-04-11,564
2015-04-12,564
2015-04-13,535
2015-04-14,535
2015-04-15,508
2015-04-16,508
2015-04-17,483
2015-04-18,460
2015-04-19,460
2015-04-20,438
2015-04-21,438
2015-04-22,417
2015-04-23,417
2015-04-24,396
2015-04-25,396
2015-04-26,379
2015-04-27,379
2015-04-28,361
2015-04-29,361
2015-04-30,343
2015-05-01,332
2015-05-02,321
2015-05-03,321
2015-05-04,308
2015-05-05,308
2015-05-06,311
2015-05-07,311
2015-05-08,318
2015-05-09,318
2015-05-10,308
2015-05-11,308
2015-05-12,312
2015-05-13,312
2015-05-14,313
2015-05-15,313
2015-05-16,311
2015-05-17,316
2015-05-18,316
2015-05-19,312
2015-05-20,312
2015-05-21,312
2015-05-22,305
2015-05-23,305
2015-05-24,297
2015-05-25,294
2015-05-26,294
2015-05-27,294
2015-05-28,302
2015-05-29,302
2015-05-30,305
2015-05-31,305
2015-06-01,302
2015-06-02,302
2015-06-03,304
2015-06-04,304
2015-06-05,305
2015-06-06,312
2015-06-07,312
2015-06-08,328
2015-06-09,332
2015-06-10,325
2015-06-11,325
2015-06-12,315
2015-06-13,316
2015-06-14,316
2015-06-15,321
2015-06-16,321
2015-06-17,334
2015-06-18,343
2015-06-19,343
2015-06-20,329
2015-06-21,329
2015-06-22,318
2015-06-23,318
2015-06-24,317
2015-06-25,317
2015-06-26,308
2015-06-27,308
2015-06-28,301
2015-06-29,301
2015-06-30,297
2015-07-01,297
2015-07-02,294
2015-07-03,301
2015-07-04,301
2015-07-05,302
2015-07-06,302
2015-07-07,311
2015-07-08,313
2015-07-09,313
2015-07-10,313
2015-07-11,313
2015-07-12,313
2015-07-13,313
2015-07-14,308
2015-07-15,308
2015-07-16,302
2015-07-17,302
2015-07-18,307
2015-07-19,307
2015-07-20,303
2015-07-21,303
2015-07-22,300
2015-07-23,300
2015-07-24,300
2015-07-25,300
2015-07-26,297
2015-07-27,297
2015-07-28,298
2015-07-29,308
2015-07-30,308
2015-07-31,317
2015-08-01,317
2015-08-02,316
2015-08-03,316
2015-08-04,311
2015-08-05,307
2015-08-06,307
2015-08-07,311
2015-08-08,312
2015-08-09,310
2015-08-10,308
2015-08-11,310
2015-08-12,310
2015-08-13,302
2015-08-14,308
2015-08-15,308
2015-08-16,318
2015-08-17,330
2015-08-18,330
2015-08-19,338
2015-08-20,338
2015-08-21,341
2015-08-22,341
2015-08-23,354
2015-08-24,362
2015-08-25,362
2015-08-26,358
2015-08-27,362
2015-08-28,362
2015-08-29,362
2015-08-30,362
2015-08-31,348
2015-09-01,348
2015-09-02,354
2015-09-03,354
2015-09-04,358
2015-09-05,358
2015-09-06,354
2015-09-07,354
2015-09-08,355
2015-09-09,355
2015-09-10,351
2015-09-11,351
2015-09-12,359
2015-09-13,359
2015-09-14,368
2015-09-15,368
2015-09-16,373
2015-09-17,361
2015-09-18,361
2015-09-19,370
2015-09-20,370
2015-09-21,371
2015-09-22,371
2015-09-23,375
2015-09-24,375
2015-09-25,375
2015-09-27,377
2015-09-28,378
2015-09-29,378
2015-09-30,380
2015-10-05,365
2015-10-06,351
2015-10-07,351
2015-10-08,346
2015-10-09,346
2015-10-10,344
2015-10-11,335
2015-10-12,335
2015-10-13,328
2015-10-14,328
2015-10-15,342
2015-10-16,342
2015-10-17,348
2015-10-18,348
2015-10-19,349
2015-10-20,349
2015-10-22,332
2015-10-23,320
2015-10-24,320
2015-10-25,315
2015-10-26,315
2015-10-27,310
2015-10-28,310
2015-10-29,308
2015-10-30,308
2015-10-31,305
2015-11-01,305
2015-11-02,313
2015-11-03,313
2015-11-04,322
2015-11-05,322
2015-11-06,330
2015-11-07,342
2015-11-08,342
2015-11-09,342
2015-11-10,332
2015-11-11,332
2015-11-12,322
2015-11-13,322
2015-11-14,328
2015-11-15,328
2015-11-16,342
2015-11-17,342
2015-11-18,331
2015-11-19,331
2015-11-20,331
2015-11-21,331
2015-11-22,343
2015-11-23,343
2015-11-24,343
2015-11-25,346
2015-11-26,346
2015-11-27,343
2015-11-28,343
2015-11-29,345
2015-11-30,345
2015-12-01,350
2015-12-02,350
2015-12-03,364
2015-12-04,364
2015-12-05,360
2015-12-06,360
2015-12-07,356
2015-12-08,356
2015-12-09,358
2015-12-10,358
2015-12-11,356
2015-12-12,356
2015-12-13,368
2015-12-14,368
2015-12-15,365
2015-12-16,365
2015-12-17,383
2015-12-18,387
2015-12-19,387
2015-12-20,384
2015-12-21,384
2015-12-22,378
2015-12-23,378
2015-12-24,380
2015-12-25,380
2015-12-26,374
2015-12-27,359
2015-12-28,359
2015-12-29,349
2015-12-30,349
2015-12-31,351
2016-01-01,351
2016-01-02,341
2016-01-03,327
2016-01-04,324
2016-01-05,324
2016-01-06,339
2016-01-07,339
2016-01-08,347
2016-01-09,347
2016-01-10,351
2016-01-11,351
