date_obj,Bandos%20bracers price
2015-03-26,26789
2015-03-27,26789
2015-03-28,26538
2015-03-29,26090
2015-03-30,25531
2015-03-31,25197
2015-04-01,25006
2015-04-02,24757
2015-04-03,24603
2015-04-04,23974
2015-04-05,24045
2015-04-06,23634
2015-04-07,23299
2015-04-08,23532
2015-04-09,23510
2015-04-10,24125
2015-04-11,25156
2015-04-12,25948
2015-04-13,26999
2015-04-14,28012
2015-04-15,28358
2015-04-16,28892
2015-04-17,29017
2015-04-18,28402
2015-04-19,27370
2015-04-20,27452
2015-04-21,26296
2015-04-22,25793
2015-04-23,25653
2015-04-24,25314
2015-04-25,25360
2015-04-26,25264
2015-04-27,25177
2015-04-28,24741
2015-04-29,24741
2015-04-30,24619
2015-05-01,24843
2015-05-02,25321
2015-05-03,25925
2015-05-04,26423
2015-05-05,27217
2015-05-06,27531
2015-05-07,27665
2015-05-08,27498
2015-05-09,27223
2015-05-10,26817
2015-05-11,26817
2015-05-12,26579
2015-05-13,26720
2015-05-14,26907
2015-05-15,26806
2015-05-16,27072
2015-05-17,26713
2015-05-18,26507
2015-05-19,26073
2015-05-20,26073
2015-05-21,25098
2015-05-22,24298
2015-05-23,23989
2015-05-24,24230
2015-05-25,23983
2015-05-26,24261
2015-05-27,24528
2015-05-28,24710
2015-05-29,24609
2015-05-30,24637
2015-05-31,25166
2015-06-01,25340
2015-06-02,25340
2015-06-03,25267
2015-06-04,26049
2015-06-05,26389
2015-06-06,26579
2015-06-07,26181
2015-06-08,25935
2015-06-09,25688
2015-06-10,26290
2015-06-11,27056
2015-06-12,27492
2015-06-13,27511
2015-06-14,26974
2015-06-15,27454
2015-06-16,27636
2015-06-17,27846
2015-06-18,28433
2015-06-19,29155
2015-06-20,29230
2015-06-21,29439
2015-06-22,28852
2015-06-23,28539
2015-06-24,29271
2015-06-25,29841
2015-06-26,30431
2015-06-27,31372
2015-06-28,32745
2015-06-29,33703
2015-06-30,34209
2015-07-01,34221
2015-07-02,34221
2015-07-03,34381
2015-07-04,34454
2015-07-05,34128
2015-07-06,34157
2015-07-07,35020
2015-07-08,36503
2015-07-09,36503
2015-07-10,37376
2015-07-11,38516
2015-07-12,38941
2015-07-13,39623
2015-07-14,39699
2015-07-15,39389
2015-07-16,39189
2015-07-17,38432
2015-07-18,37269
2015-07-19,37299
2015-07-20,36107
2015-07-21,35151
2015-07-22,35006
2015-07-23,35006
2015-07-24,33958
2015-07-25,33524
2015-07-26,33093
2015-07-27,32808
2015-07-28,32025
2015-07-29,31334
2015-07-30,31109
2015-07-31,31123
2015-08-01,31768
2015-08-02,31537
2015-08-03,31351
2015-08-04,31459
2015-08-05,30672
2015-08-06,30423
2015-08-07,30393
2015-08-08,30341
2015-08-09,30445
2015-08-10,30841
2015-08-11,31864
2015-08-12,31864
2015-08-13,32012
2015-08-14,31761
2015-08-15,31761
2015-08-16,31385
2015-08-17,30734
2015-08-18,29358
2015-08-19,29025
2015-08-20,29005
2015-08-21,28663
2015-08-22,28579
2015-08-23,28867
2015-08-24,29030
2015-08-25,29030
2015-08-26,29574
2015-08-27,29928
2015-08-28,30593
2015-08-29,30831
2015-08-30,31102
2015-08-31,31277
2015-09-01,31332
2015-09-02,31332
2015-09-03,31645
2015-09-04,31691
2015-09-05,32042
2015-09-06,31907
2015-09-07,31945
2015-09-08,31667
2015-09-09,31413
2015-09-10,31157
2015-09-11,30940
2015-09-12,30443
2015-09-13,29769
2015-09-14,29511
2015-09-15,29365
2015-09-16,29365
2015-09-17,29163
2015-09-18,29415
2015-09-19,29379
2015-09-20,28939
2015-09-21,29273
2015-09-22,29040
2015-09-23,28872
2015-09-24,28872
2015-09-25,28751
2015-09-27,28663
2015-09-28,28905
2015-09-29,28579
2015-09-30,28430
2015-10-05,29410
2015-10-06,29469
2015-10-07,29016
2015-10-08,28590
2015-10-09,28126
2015-10-10,28126
2015-10-11,27065
2015-10-12,25737
2015-10-13,24962
2015-10-14,24448
2015-10-15,23882
2015-10-16,23740
2015-10-17,23740
2015-10-18,23353
2015-10-19,23016
2015-10-20,22550
2015-10-22,22493
2015-10-23,22258
2015-10-24,22314
2015-10-25,22244
2015-10-26,22730
2015-10-27,23092
2015-10-28,23430
2015-10-29,23285
2015-10-30,22171
2015-10-31,21914
2015-11-01,21914
2015-11-02,22929
2015-11-03,22929
2015-11-04,22662
2015-11-05,22632
2015-11-06,22632
2015-11-07,22466
2015-11-08,22466
2015-11-09,23124
2015-11-10,23124
2015-11-11,23672
2015-11-12,23394
2015-11-13,23319
2015-11-14,22534
2015-11-15,22491
2015-11-16,22465
2015-11-17,22475
2015-11-18,22634
2015-11-19,22130
2015-11-20,21605
2015-11-21,21605
2015-11-22,21058
2015-11-23,21058
2015-11-24,21580
2015-11-25,21946
2015-11-26,21946
