date_obj,Necklace%20of%20faith price
2017-02-01,2073
2017-02-02,2073
2017-02-03,1972
2017-02-04,1972
2017-02-05,1972
2017-02-06,1972
2017-02-07,1972
2017-02-08,1876
2017-02-09,1876
2017-02-10,1876
2017-02-11,1876
2017-02-12,1876
2017-02-13,1876
2017-02-14,1876
2017-02-15,1876
2017-02-16,1876
2017-02-18,1785
2017-02-19,1785
2017-02-20,1785
2017-02-21,1785
2017-02-22,1785
2017-02-23,1785
2017-02-24,1785
2017-02-25,1785
2017-02-26,1785
2017-02-27,1785
2017-02-28,1785
2017-03-01,1785
2017-03-02,1785
2017-03-03,1785
2017-03-04,1723
2017-03-05,1723
2017-03-06,1723
2017-03-07,1723
2017-03-08,1723
2017-03-09,1723
2017-03-10,1723
2017-03-11,1723
2017-03-12,1723
2017-03-13,1723
2017-03-14,1723
2017-03-15,1723
2017-03-16,1723
2017-03-17,1723
2017-03-18,1723
2017-03-19,1723
2017-03-20,1723
2017-03-21,1723
2017-03-22,1640
2017-03-23,1640
2017-03-24,1640
2017-03-25,1640
2017-03-26,1640
2017-03-27,1640
2017-03-28,1640
2017-03-29,1640
2017-03-30,1640
2017-03-31,1640
2017-04-01,1640
2017-04-02,1640
2017-04-03,1640
2017-04-04,1640
2017-04-12,1640
2017-04-13,1640
2017-04-14,1640
2017-04-15,1565
2017-04-16,1565
2017-04-17,1565
2017-04-18,1565
2017-04-19,1565
2017-04-20,1565
2017-04-21,1565
2017-04-22,1565
2017-04-23,1565
2017-04-24,1565
2017-04-25,1565
2017-04-26,1565
2017-04-27,1565
2017-04-28,1565
2017-04-29,1565
2017-04-30,1565
2017-05-01,1565
2017-05-02,1565
2017-05-03,1565
2017-05-04,1565
2017-05-05,1565
2017-05-06,1565
2017-05-07,1494
2017-05-08,1494
2017-05-09,1494
2017-05-10,1494
2017-05-11,1494
2017-05-12,1494
2017-05-13,1494
2017-05-14,1494
2017-05-15,1494
2017-05-16,1494
2017-05-17,1494
2017-05-18,1494
2017-05-19,1494
2017-05-20,1494
2017-05-21,1494
2017-05-22,1494
2017-05-23,1494
2017-05-24,1494
2017-05-25,1494
2017-05-26,1494
2017-05-27,1494
2017-05-28,1494
2017-05-29,1494
2017-05-30,1494
2017-05-31,1494
2017-06-01,1494
2017-06-02,1494
2017-06-03,1494
2017-06-06,1431
2017-06-07,1431
2017-06-08,1431
2017-06-09,1431
2017-06-10,1431
2017-06-11,1431
2017-06-12,1431
2017-06-13,1431
