date_obj,Red%20bead price
2015-03-26,4139
2015-03-27,4139
2015-03-28,3932
2015-03-29,3735
2015-03-30,3548
2015-03-31,3370
2015-04-01,3209
2015-04-02,3048
2015-04-03,2895
2015-04-04,2750
2015-04-05,2619
2015-04-06,2488
2015-04-07,2363
2015-04-08,2363
2015-04-09,2244
2015-04-10,2131
2015-04-11,2024
2015-04-12,1922
2015-04-13,1825
2015-04-14,1825
2015-04-15,1733
2015-04-16,1651
2015-04-17,1584
2015-04-18,1513
2015-04-19,1455
2015-04-20,1455
2015-04-21,1420
2015-04-22,1389
2015-04-23,1364
2015-04-24,1402
2015-04-25,1473
2015-04-26,1518
2015-04-27,1553
2015-04-28,1579
2015-04-29,1579
2015-04-30,1608
2015-05-01,1617
2015-05-02,1612
2015-05-03,1612
2015-05-04,1531
2015-05-05,1460
2015-05-06,1387
2015-05-07,1317
2015-05-08,1272
2015-05-09,1228
2015-05-10,1190
2015-05-11,1190
2015-05-12,1149
2015-05-13,1149
2015-05-14,1135
2015-05-15,1135
2015-05-16,1086
2015-05-17,1048
2015-05-18,1018
2015-05-19,1018
2015-05-20,980
2015-05-21,980
2015-05-22,963
2015-05-23,956
2015-05-24,953
2015-05-25,958
2015-05-26,997
2015-05-27,997
2015-05-28,1047
2015-05-29,1100
2015-05-30,1155
2015-05-31,1212
2015-06-01,1273
2015-06-02,1273
2015-06-03,1337
2015-06-04,1402
2015-06-05,1473
2015-06-06,1524
2015-06-07,1564
2015-06-08,1564
2015-06-09,1642
2015-06-10,1725
2015-06-11,1725
2015-06-12,1812
2015-06-13,1903
2015-06-14,1999
2015-06-15,2093
2015-06-16,2198
2015-06-17,2307
2015-06-18,2376
2015-06-19,2402
2015-06-20,2316
2015-06-21,2316
2015-06-22,2414
2015-06-23,2499
2015-06-24,2608
2015-06-25,2608
2015-06-26,2556
2015-06-27,2556
2015-06-28,2429
2015-06-29,2429
2015-06-30,2472
2015-07-01,2515
2015-07-02,2515
2015-07-03,2415
2015-07-04,2493
2015-07-05,2493
2015-07-06,2612
2015-07-07,2564
