date_obj,Adamant%20pickaxe price
2015-03-26,3725
2015-03-27,3725
2015-03-28,3565
2015-03-29,3487
2015-03-30,3399
2015-03-31,3402
2015-04-01,3317
2015-04-02,3227
2015-04-03,3133
2015-04-04,3039
2015-04-05,2921
2015-04-06,2796
2015-04-07,2686
2015-04-08,2585
2015-04-09,2541
2015-04-10,2474
2015-04-11,2377
2015-04-12,2306
2015-04-13,2266
2015-04-14,2222
2015-04-15,2147
2015-04-16,2093
2015-04-17,2037
2015-04-18,1972
2015-04-19,1942
2015-04-20,2032
2015-04-21,2133
2015-04-22,2218
2015-04-23,2309
2015-04-24,2406
2015-04-25,2480
2015-04-26,2480
2015-04-27,2430
2015-04-28,2459
2015-04-29,2459
2015-04-30,2468
2015-05-01,2442
2015-05-02,2415
2015-05-03,2347
2015-05-04,2294
2015-05-05,2221
2015-05-06,2157
2015-05-07,2066
2015-05-08,1978
2015-05-09,1922
2015-05-10,1890
2015-05-11,1880
2015-05-12,1907
2015-05-13,1959
2015-05-14,1969
2015-05-15,1919
2015-05-16,1878
2015-05-17,1867
2015-05-18,1911
2015-05-19,1952
2015-05-20,1972
2015-05-21,1934
2015-05-22,1922
2015-05-23,1892
2015-05-24,1837
2015-05-25,1821
2015-05-26,1858
2015-05-27,1859
2015-05-28,1856
2015-05-29,1903
2015-05-30,1858
2015-05-31,1826
2015-06-01,1833
2015-06-02,1861
2015-06-03,1910
2015-06-04,1899
2015-06-05,1870
2015-06-06,1853
2015-06-07,1843
2015-06-08,1828
2015-06-09,1824
2015-06-10,1823
2015-06-11,1824
2015-06-12,1800
2015-06-13,1802
2015-06-14,1799
2015-06-15,1793
2015-06-16,1831
2015-06-17,1871
2015-06-18,1946
2015-06-19,2030
2015-06-20,2099
2015-06-21,2204
2015-06-22,2291
2015-06-23,2359
2015-06-24,2306
2015-06-25,2199
2015-06-26,2135
2015-06-27,2095
2015-06-28,2059
2015-06-29,2013
2015-06-30,1979
2015-07-01,1977
2015-07-02,1968
2015-07-03,1965
2015-07-04,1955
2015-07-05,1922
2015-07-06,1935
2015-07-07,1923
2015-07-08,1926
2015-07-09,1941
2015-07-10,1963
2015-07-11,2013
2015-07-12,2054
2015-07-13,2105
2015-07-14,2134
2015-07-15,2158
2015-07-16,2177
2015-07-17,2228
2015-07-18,2315
2015-07-19,2425
2015-07-20,2515
2015-07-21,2583
2015-07-22,2646
2015-07-23,2646
2015-07-24,2730
2015-07-25,2779
2015-07-26,2808
2015-07-27,2818
2015-07-28,2814
2015-07-29,2801
2015-07-30,2755
2015-07-31,2744
2015-08-01,2718
2015-08-02,2685
2015-08-03,2670
2015-08-04,2651
2015-08-05,2626
2015-08-06,2613
2015-08-07,2554
2015-08-08,2523
2015-08-09,2493
2015-08-10,2416
2015-08-11,2413
2015-08-12,2403
2015-08-13,2378
2015-08-14,2351
2015-08-15,2348
2015-08-16,2342
2015-08-17,2339
2015-08-18,2316
2015-08-19,2316
2015-08-20,2292
2015-08-21,2260
2015-08-22,2263
2015-08-23,2247
2015-08-24,2251
2015-08-25,2251
2015-08-26,2241
2015-08-27,2221
2015-08-28,2210
2015-08-29,2189
2015-08-30,2208
2015-08-31,2231
2015-09-01,2250
2015-09-02,2277
2015-09-03,2293
2015-09-04,2310
2015-09-05,2303
2015-09-06,2340
2015-09-07,2445
2015-09-08,2561
2015-09-09,2690
2015-09-10,2825
2015-09-11,2965
2015-09-12,3114
2015-09-13,3262
2015-09-14,3414
2015-09-15,3512
2015-09-16,3608
2015-09-17,3660
2015-09-18,3709
2015-09-19,3875
2015-09-20,4015
2015-09-21,4116
2015-09-22,4176
2015-09-23,4242
2015-09-24,4225
2015-09-25,4223
2015-09-27,4284
2015-09-28,4351
2015-09-29,4340
2015-09-30,4402
2015-10-05,4551
2015-10-06,4488
2015-10-07,4488
2015-10-08,4542
2015-10-09,4557
2015-10-10,4557
2015-10-11,4466
2015-10-12,4434
2015-10-13,4402
2015-10-14,4293
2015-10-15,4175
2015-10-16,4100
2015-10-17,4210
2015-10-18,4224
2015-10-19,4288
2015-10-20,4269
2015-10-22,4213
2015-10-23,4129
2015-10-24,4314
2015-10-25,4464
2015-10-26,4612
2015-10-27,4538
2015-10-28,4558
2015-10-29,4493
2015-10-30,4333
2015-10-31,4397
2015-11-01,4445
2015-11-02,4494
2015-11-03,4414
2015-11-04,4511
2015-11-05,4651
2015-11-06,4555
2015-11-07,4418
2015-11-08,4519
2015-11-09,4483
2015-11-10,4592
2015-11-11,4424
2015-11-12,4297
2015-11-13,4166
2015-11-14,4112
2015-11-15,4069
2015-11-16,4077
2015-11-17,4158
2015-11-18,4349
2015-11-19,4482
2015-11-20,4592
2015-11-21,4592
2015-11-22,4452
2015-11-23,4452
2015-11-24,4246
2015-11-25,4107
2015-11-26,4107
2015-11-27,4043
2015-11-28,3919
2015-11-29,3841
2015-11-30,3706
2015-12-01,3614
2015-12-02,3562
2015-12-03,3653
2015-12-04,3754
2015-12-05,3790
2015-12-06,3837
2015-12-07,3831
2015-12-08,3771
2015-12-09,3781
2015-12-10,3709
2015-12-11,3538
2015-12-12,3481
2015-12-13,3413
2015-12-14,3404
2015-12-15,3334
2015-12-16,3238
2015-12-17,3093
2015-12-18,3046
2015-12-19,3047
2015-12-20,3008
2015-12-21,3048
2015-12-22,3066
2015-12-23,3100
2015-12-24,3150
2015-12-25,3164
2015-12-26,3259
2015-12-27,3355
2015-12-28,3495
2015-12-29,3652
2015-12-30,3797
2015-12-31,3907
2016-01-01,4049
2016-01-02,4183
2016-01-03,4317
2016-01-04,4388
2016-01-05,4431
2016-01-06,4326
2016-01-07,4353
2016-01-08,4340
2016-01-09,4256
2016-01-10,4070
2016-01-11,3964
2016-01-12,3902
2016-01-13,3846
2016-01-14,3811
2016-01-15,3815
2016-01-16,3775
2016-01-17,3738
2016-01-18,3683
2016-01-19,3626
2016-01-20,3593
2016-01-21,3533
2016-01-22,3517
2016-01-23,3488
2016-01-24,3507
2016-01-25,3507
2016-01-26,3494
2016-01-27,3482
2016-01-28,3522
2016-01-29,3476
2016-01-30,3457
2016-01-31,3416
2016-02-01,3370
2016-02-02,3397
2016-02-03,3413
2016-02-04,3555
2016-02-05,3599
2016-02-06,3591
2016-02-07,3592
2016-02-08,3567
2016-02-09,3568
2016-02-10,3556
2016-02-11,3547
2016-02-12,3547
2016-02-13,3531
2016-02-14,3480
2016-02-15,3504
2016-02-16,3490
2016-02-17,3503
2016-02-18,3461
2016-02-19,3447
2016-02-20,3499
2016-02-21,3574
2016-02-22,3591
2016-02-23,3642
2016-02-24,3659
2016-02-25,3740
2016-02-26,3788
2016-02-27,3786
2016-02-28,3790
2016-02-29,3805
2016-03-01,3824
2016-03-02,3800
2016-03-03,3760
2016-03-04,3783
2016-03-05,3824
2016-03-06,3853
2016-03-07,3907
2016-03-08,3945
2016-03-09,3973
2016-03-10,4005
2016-03-11,4066
2016-03-12,4069
2016-03-13,4088
2016-03-14,4032
2016-03-15,3881
2016-03-16,3842
2016-03-17,3823
2016-03-18,3749
2016-03-19,3758
2016-03-20,3768
2016-03-21,3784
2016-03-22,3805
2016-03-23,3813
2016-03-24,3795
2016-03-25,3796
2016-03-26,3845
2016-03-27,3852
2016-03-28,3798
2016-03-29,3799
2016-03-30,3748
2016-03-31,3760
2016-04-01,3791
2016-04-02,3832
2016-04-03,3853
2016-04-04,3872
2016-04-05,3837
2016-04-06,3857
2016-04-07,3820
2016-04-08,3839
2016-04-09,3863
2016-04-10,3803
2016-04-11,3737
2016-04-12,3746
2016-04-13,3740
2016-04-14,3676
2016-04-15,3695
2016-04-16,3691
2016-04-17,3693
2016-04-18,3689
2016-04-19,3673
2016-04-20,3635
2016-04-21,3658
2016-04-22,3683
2016-04-23,3693
2016-04-24,3627
2016-04-25,3627
2016-04-26,3582
2016-04-27,3550
2016-04-28,3513
2016-04-29,3526
2016-04-30,3544
2016-05-01,3494
2016-05-02,3408
2016-05-03,3361
2016-05-04,3336
2016-05-05,3281
2016-05-06,3290
2016-05-07,3255
2016-05-08,3163
2016-05-09,3135
2016-05-10,3119
2016-05-11,3100
2016-05-12,3071
2016-05-13,3009
2016-05-14,2919
2016-05-15,2917
2016-05-16,2943
2016-05-17,2984
2016-05-18,2998
2016-05-19,3004
2016-05-21,3091
2016-05-22,3086
2016-05-23,3100
2016-05-24,3130
2016-05-25,3114
2016-05-26,3106
2016-05-27,3124
2016-05-28,3117
2016-05-29,3205
2016-05-30,3317
2016-05-31,3358
2016-06-01,3401
2016-06-02,3435
2016-06-03,3453
2016-06-04,3469
