date_obj,Proselyte%20cuisse price
2015-03-26,41172
2015-03-27,41172
2015-03-28,41172
2015-03-29,41172
2015-03-30,39135
2015-03-31,39135
2015-04-01,39135
2015-04-02,39135
2015-04-03,37178
2015-04-04,37178
2015-04-05,37178
2015-04-06,35339
2015-04-07,35339
2015-04-08,35339
2015-04-09,35339
2015-04-10,33572
2015-04-11,33572
2015-04-12,33572
2015-04-13,31934
2015-04-14,31934
2015-04-15,31934
2015-04-16,31934
2015-04-17,30337
2015-04-18,30337
2015-04-19,30337
2015-04-20,30337
2015-04-21,28820
2015-04-22,28820
2015-04-23,28820
2015-04-24,28820
2015-04-25,27396
2015-04-26,27396
2015-04-27,27396
2015-04-28,26063
2015-04-29,26063
2015-04-30,26063
2015-05-01,26063
2015-05-02,24759
2015-05-03,24759
2015-05-04,24759
2015-05-05,24759
2015-05-06,23540
2015-05-07,23540
2015-05-08,23540
2015-05-09,22380
2015-05-10,22380
2015-05-11,22380
2015-05-12,21291
2015-05-13,21291
2015-05-14,21291
2015-05-15,20352
2015-05-16,20352
2015-05-17,20352
2015-05-18,19348
2015-05-19,19348
2015-05-20,19348
2015-05-21,19348
2015-05-22,18396
2015-05-23,18396
2015-05-24,18396
2015-05-25,17491
2015-05-26,17491
2015-05-27,17491
2015-05-28,16616
2015-05-29,16616
2015-05-30,15786
2015-05-31,15786
2015-06-01,15123
2015-06-02,15123
2015-06-03,15123
2015-06-04,14455
2015-06-05,14455
2015-06-06,13950
2015-06-07,13950
2015-06-08,13950
2015-06-09,13448
2015-06-10,13448
2015-06-11,13448
2015-06-12,12920
2015-06-13,12920
2015-06-14,12743
2015-06-15,12743
2015-06-16,12743
2015-06-17,12114
2015-06-18,12114
2015-06-19,12113
2015-06-20,12113
2015-06-21,12113
2015-06-22,11741
2015-06-23,11741
2015-06-24,11693
2015-06-25,11693
2015-06-26,11693
2015-06-27,11216
2015-06-28,11216
2015-06-29,11216
2015-06-30,11035
2015-07-01,11035
2015-07-02,11035
2015-07-03,10621
2015-07-04,10621
2015-07-05,10621
2015-07-06,10260
2015-07-07,10260
2015-07-08,10225
2015-07-09,10225
2015-07-10,10225
2015-07-11,10288
2015-07-12,10288
2015-07-13,10288
2015-07-14,10414
2015-07-15,10414
2015-07-16,10414
2015-07-17,10470
2015-07-18,10470
2015-07-19,10470
2015-07-20,10482
2015-07-21,10482
2015-07-22,10529
2015-07-23,10529
2015-07-24,10529
2015-07-25,10200
2015-07-26,10200
2015-07-27,10200
2015-07-28,9991
2015-07-29,9991
2015-07-30,9991
2015-07-31,9906
2015-08-01,9906
2015-08-02,9649
2015-08-03,9649
2015-08-04,9649
2015-08-05,9664
2015-08-06,9664
2015-08-07,9664
2015-08-08,9556
2015-08-09,9556
2015-08-10,9480
2015-08-11,9480
2015-08-12,9480
2015-08-13,9485
2015-08-14,9485
2015-08-15,9416
2015-08-16,9416
2015-08-17,9354
2015-08-18,9354
2015-08-19,9354
2015-08-20,9266
2015-08-21,9266
2015-08-22,8919
2015-08-23,8919
2015-08-24,8877
2015-08-25,8877
2015-08-26,8877
2015-08-27,8818
2015-08-28,8818
2015-08-29,8818
2015-08-30,8737
2015-08-31,8737
2015-09-01,8754
2015-09-02,8754
2015-09-03,8754
2015-09-04,8776
2015-09-05,8776
2015-09-06,8776
2015-09-07,9017
2015-09-08,9017
2015-09-09,9017
2015-09-10,9069
2015-09-11,9069
2015-09-12,9182
2015-09-13,9182
2015-09-14,9473
