date_obj,Adamant%20cane price
2015-03-26,19437
2015-03-27,19437
2015-03-28,18547
2015-03-29,18547
2015-03-30,17682
2015-03-31,17682
2015-04-01,16904
2015-04-02,16904
2015-04-03,16117
2015-04-04,16117
2015-04-05,15415
2015-04-06,15415
2015-04-07,14738
2015-04-08,14738
2015-04-09,14738
2015-04-10,14358
2015-04-11,14358
2015-04-12,13925
2015-04-13,13925
2015-04-14,13925
2015-04-15,13294
2015-04-16,13294
2015-04-17,13048
2015-04-18,13048
2015-04-19,12519
2015-04-20,12519
2015-04-21,12519
2015-04-22,12192
2015-04-23,12192
2015-04-24,11893
2015-04-25,11893
2015-04-26,11331
2015-04-27,11331
2015-04-28,10844
2015-04-29,10844
2015-04-30,10338
2015-05-01,10338
2015-05-02,9832
2015-05-03,9832
2015-05-04,9384
2015-05-05,9384
2015-05-06,8949
2015-05-07,8546
2015-05-08,8546
2015-05-09,8146
2015-05-10,7782
2015-05-11,7782
2015-05-12,7392
2015-05-13,7392
2015-05-14,7042
2015-05-15,7042
2015-05-16,6794
2015-05-17,6794
2015-05-18,6499
2015-05-19,6499
2015-05-20,6499
2015-05-21,6499
2015-05-22,6236
2015-05-23,6236
2015-05-24,5943
2015-05-25,5943
2015-05-26,5680
2015-05-27,5680
2015-05-28,5414
2015-05-29,5414
2015-05-30,5143
2015-05-31,5143
2015-06-01,4899
2015-06-02,4899
2015-06-03,4696
2015-06-04,4696
2015-06-05,4479
2015-06-06,4479
2015-06-07,4279
2015-06-08,4279
2015-06-09,4083
2015-06-10,4083
2015-06-11,4083
2015-06-12,4019
2015-06-13,4019
2015-06-14,3877
2015-06-15,3877
2015-06-16,3877
2015-06-17,3919
2015-06-18,3919
2015-06-19,4000
2015-06-20,4000
2015-06-21,4000
2015-06-22,3951
2015-06-23,3951
2015-06-24,3951
2015-06-25,3882
2015-06-26,3882
2015-06-27,3882
2015-06-28,3775
2015-06-29,3775
2015-06-30,3775
2015-07-01,3676
2015-07-02,3676
2015-07-03,3676
2015-07-04,3593
2015-07-05,3593
2015-07-06,3593
2015-07-07,3488
2015-07-08,3488
2015-07-09,3488
2015-07-10,3423
2015-07-11,3423
2015-07-12,3423
2015-07-13,3510
2015-07-14,3510
2015-07-15,3510
2015-07-16,3566
2015-07-17,3566
2015-07-18,3566
2015-07-19,3458
2015-07-20,3458
2015-07-21,3458
2015-07-22,3435
2015-07-23,3435
2015-07-24,3435
2015-07-25,3450
2015-07-26,3450
2015-07-27,3450
2015-07-28,3492
2015-07-29,3492
2015-07-30,3525
2015-07-31,3525
2015-08-01,3525
2015-08-02,3578
2015-08-03,3578
2015-08-04,3578
2015-08-05,3488
2015-08-06,3488
2015-08-07,3488
2015-08-08,3404
2015-08-09,3404
2015-08-10,3379
2015-08-11,3379
2015-08-12,3379
2015-08-13,3323
2015-08-14,3323
2015-08-15,3366
2015-08-16,3366
2015-08-17,3366
