date_obj,Fremennik%20pink%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,9565
2015-03-09,9565
2015-03-10,9565
2015-03-11,9565
2015-03-12,9565
2015-03-13,9565
2015-03-14,9565
2015-03-15,9565
2015-03-16,9565
2015-03-17,9565
2015-03-18,9565
2015-03-19,9565
2015-03-20,9147
2015-03-21,9147
2015-03-22,9147
2015-03-23,9147
2015-03-24,9147
2015-03-25,9147
2015-03-26,9147
2015-03-27,9147
2015-03-28,9147
2015-03-29,9147
2015-03-30,9147
2015-03-31,9147
2015-04-01,8694
2015-04-02,8694
2015-04-03,8694
2015-04-04,8694
2015-04-05,8694
2015-04-06,8694
2015-04-07,8694
2015-04-08,8694
2015-04-09,8694
2015-04-10,8694
2015-04-11,8304
2015-04-12,8304
2015-04-13,8304
2015-04-14,8304
2015-04-15,8304
2015-04-16,8304
2015-04-17,8304
2015-04-18,8304
2015-04-19,8304
2015-04-20,8304
2015-04-21,8304
2015-04-22,7924
2015-04-23,7924
2015-04-24,7924
2015-04-25,7924
2015-04-26,7924
2015-04-27,7924
2015-04-28,7924
2015-04-29,7924
2015-04-30,7924
2015-05-01,7924
2015-05-02,7924
2015-05-03,7924
2015-05-04,7924
2015-05-05,7531
2015-05-06,7531
2015-05-07,7531
2015-05-08,7531
2015-05-09,7531
2015-05-10,7531
2015-05-11,7531
2015-05-12,7531
2015-05-13,7531
2015-05-14,7531
2015-05-15,7531
2015-05-16,7531
2015-05-17,7531
2015-05-18,7190
2015-05-19,7190
2015-05-20,7190
2015-05-21,7190
2015-05-22,7190
2015-05-23,7190
2015-05-24,7190
2015-05-25,7190
2015-05-26,7190
2015-05-27,7190
2015-05-28,6834
2015-05-29,6834
2015-05-30,6834
2015-05-31,6834
2015-06-01,6834
2015-06-02,6834
2015-06-03,6834
2015-06-04,6834
2015-06-05,6521
2015-06-06,6521
2015-06-07,6521
2015-06-08,6521
2015-06-09,6521
2015-06-10,6521
2015-06-11,6521
2015-06-12,6521
2015-06-13,6521
2015-06-14,6521
2015-06-15,6476
2015-06-16,6476
2015-06-17,6476
2015-06-18,6476
2015-06-19,6476
2015-06-20,6476
2015-06-21,6476
2015-06-22,6476
2015-06-23,6476
2015-06-24,6232
2015-06-25,6232
2015-06-26,6232
2015-06-27,6232
2015-06-28,6232
2015-06-29,6232
2015-06-30,6232
2015-07-01,6232
2015-07-02,6232
2015-07-03,5962
2015-07-04,5962
2015-07-05,5962
2015-07-06,5962
2015-07-07,5962
2015-07-08,5962
2015-07-09,5962
2015-07-10,5962
2015-07-11,5962
2015-07-12,5668
2015-07-13,5668
2015-07-14,5668
2015-07-15,5668
2015-07-16,5668
2015-07-17,5668
2015-07-18,5668
2015-07-19,5668
2015-07-20,5384
2015-07-21,5384
2015-07-22,5384
2015-07-23,5384
2015-07-24,5384
2015-07-25,5384
2015-07-26,5384
2015-07-27,5384
2015-07-28,5384
2015-07-29,5124
2015-07-30,5124
2015-07-31,5124
2015-08-01,5124
2015-08-02,5124
2015-08-03,5124
2015-08-04,5124
2015-08-05,5124
2015-08-06,4880
2015-08-07,4880
2015-08-08,4880
2015-08-09,4880
2015-08-10,4880
2015-08-11,4880
2015-08-12,4880
2015-08-13,4880
2015-08-14,4644
2015-08-15,4644
2015-08-16,4644
2015-08-17,4644
2015-08-18,4644
2015-08-19,4644
2015-08-20,4644
2015-08-21,4644
2015-08-22,4644
2015-08-23,4435
2015-08-24,4435
2015-08-25,4435
2015-08-26,4435
2015-08-27,4435
2015-08-28,4435
2015-08-29,4435
2015-08-30,4435
2015-08-31,4435
2015-09-02,4218
2015-09-07,4218
2015-09-08,4218
2015-09-10,4012
2015-09-14,4012
2015-09-16,4012
2015-09-22,3836
2015-09-23,3836
2015-09-24,3836
2015-09-25,3836
2015-09-27,3836
2015-09-28,3694
2015-09-29,3694
2015-09-30,3694
2015-10-05,3694
2015-10-06,3694
2015-10-07,3694
2015-10-08,3568
2015-10-09,3568
2015-10-10,3568
2015-10-11,3568
2015-10-12,3568
2015-10-13,3568
2015-10-14,3568
2015-10-15,3568
2015-10-16,3568
2015-10-17,3568
2015-10-18,3568
2015-10-19,3423
2015-10-20,3423
2015-10-22,3423
2015-10-23,3423
2015-10-24,3423
2015-10-25,3423
2015-10-26,3423
2015-10-27,3423
2015-10-29,3423
2015-10-30,3261
2015-10-31,3261
2015-11-01,3261
2015-11-02,3261
2015-11-03,3261
2015-11-04,3261
2015-11-05,3261
2015-11-06,3261
2015-11-07,3261
2015-11-08,3261
