date_obj,Rune%20thrownaxe price
2015-03-26,914
2015-03-27,914
2015-03-28,868
2015-03-29,824
2015-03-30,824
2015-03-31,782
2015-04-01,782
2015-04-02,742
2015-04-03,704
2015-04-04,669
2015-04-05,669
2015-04-06,636
2015-04-07,605
2015-04-08,605
2015-04-09,575
2015-04-10,546
2015-04-11,546
2015-04-12,518
2015-04-13,518
2015-04-14,493
2015-04-15,469
2015-04-16,469
2015-04-17,445
2015-04-18,423
2015-04-19,402
2015-04-20,402
2015-04-21,382
2015-04-22,382
2015-04-23,362
2015-04-24,362
2015-04-25,343
2015-04-26,343
2015-04-27,325
2015-04-28,308
2015-04-29,308
2015-04-30,293
2015-05-01,279
2015-05-02,266
2015-05-03,266
2015-05-04,253
2015-05-05,253
2015-05-06,240
2015-05-07,240
2015-05-08,228
2015-05-09,228
2015-05-10,219
2015-05-11,219
2015-05-12,208
2015-05-13,208
2015-05-14,203
2015-05-15,203
2015-05-16,203
2015-05-17,196
2015-05-18,196
2015-05-19,192
2015-05-20,192
2015-05-21,192
2015-05-22,185
2015-05-23,185
2015-05-24,186
2015-05-25,186
2015-05-26,191
2015-05-27,191
2015-05-28,187
2015-05-29,177
2015-05-30,168
2015-05-31,170
2015-06-01,174
2015-06-02,174
2015-06-03,173
2015-06-04,173
2015-06-05,171
2015-06-06,170
2015-06-07,175
2015-06-08,175
2015-06-09,179
2015-06-10,180
2015-06-11,180
2015-06-12,179
2015-06-13,177
2015-06-14,177
2015-06-15,181
2015-06-16,183
2015-06-17,183
2015-06-18,188
2015-06-19,188
2015-06-20,193
2015-06-21,193
2015-06-22,200
2015-06-23,200
2015-06-24,205
2015-06-25,205
2015-06-26,212
2015-06-27,212
2015-06-28,223
2015-06-29,223
2015-06-30,235
2015-07-01,247
2015-07-02,247
2015-07-03,260
2015-07-04,273
2015-07-05,273
2015-07-06,280
2015-07-07,269
2015-07-08,255
2015-07-09,255
2015-07-10,242
2015-07-11,242
2015-07-12,233
2015-07-13,229
2015-07-14,223
2015-07-15,223
2015-07-16,217
2015-07-17,208
2015-07-18,208
2015-07-19,203
2015-07-20,199
2015-07-21,199
2015-07-22,197
2015-07-23,197
2015-07-24,195
2015-07-25,195
2015-07-26,185
2015-07-27,179
2015-07-28,179
2015-07-29,175
2015-07-30,175
2015-07-31,176
2015-08-01,176
2015-08-02,174
2015-08-03,174
2015-08-04,183
2015-08-05,193
2015-08-06,202
2015-08-07,202
2015-08-08,213
2015-08-09,224
2015-08-10,229
2015-08-11,230
2015-08-12,230
2015-08-13,219
2015-08-14,208
2015-08-15,208
2015-08-16,198
2015-08-17,189
2015-08-18,189
2015-08-19,179
2015-08-20,179
2015-08-21,172
2015-08-22,169
2015-08-23,169
2015-08-24,166
2015-08-25,166
2015-08-26,166
2015-08-27,170
2015-08-28,170
2015-08-29,170
2015-08-30,170
2015-08-31,167
2015-09-01,164
2015-09-02,164
2015-09-03,165
2015-09-04,168
2015-09-05,168
2015-09-06,170
2015-09-07,172
2015-09-08,175
2015-09-09,175
2015-09-10,178
2015-09-11,179
2015-09-12,179
2015-09-13,181
2015-09-14,181
2015-09-15,187
2015-09-16,187
2015-09-17,194
2015-09-18,194
2015-09-19,202
2015-09-20,202
2015-09-21,206
2015-09-22,202
2015-09-23,202
2015-09-24,195
2015-09-25,195
2015-09-27,192
2015-09-28,186
2015-09-29,186
2015-09-30,186
2015-10-05,184
2015-10-06,178
2015-10-07,178
2015-10-08,178
2015-10-09,178
2015-10-10,178
2015-10-11,180
2015-10-12,186
2015-10-13,186
2015-10-14,186
2015-10-15,196
2015-10-16,196
2015-10-17,204
2015-10-18,204
2015-10-19,211
2015-10-20,212
2015-10-22,212
2015-10-23,213
2015-10-24,213
2015-10-25,215
2015-10-26,226
2015-10-27,226
2015-10-29,230
2015-10-30,230
2015-10-31,234
2015-11-01,234
2015-11-02,241
2015-11-03,241
2015-11-04,238
