date_obj,Staff%20of%20light price
2018-02-07,6787353
2018-02-08,7126721
2018-02-09,7482992
2018-02-10,7807986
2018-02-11,7796823
2018-02-12,7726139
2018-02-13,7449584
2018-02-14,7078572
2018-02-15,6856438
2018-02-16,6956217
2018-02-17,6895902
2018-02-18,6564005
2018-02-19,6262819
2018-02-20,5961644
2018-02-21,5956619
2018-02-22,5957744
2018-02-23,5886282
2018-02-24,5940083
2018-02-25,5893791
2018-02-26,6070314
2018-02-27,6140257
2018-02-28,6048859
2018-03-01,5976358
2018-03-02,5995636
2018-03-03,6158812
2018-03-04,6118847
2018-03-05,6181328
2018-03-06,6132603
2018-03-07,6029394
2018-03-08,6041264
2018-03-09,6014554
2018-03-10,6070546
2018-03-11,6064226
2018-03-12,6128284
2018-03-13,6195193
2018-03-14,6166518
2018-03-15,6138739
2018-03-16,6132645
2018-03-17,6140244
2018-03-18,6145610
2018-03-19,6136993
2018-03-20,6178239
2018-03-21,6194663
2018-03-23,6496128
2018-03-24,6566845
2018-03-26,6377334
2018-03-27,6324069
2018-03-28,6319465
2018-03-29,6356976
2018-03-30,6366163
2018-03-31,6449078
2018-04-01,6663246
2018-04-02,6909241
2018-04-03,6908427
2018-04-04,6846194
2018-04-05,6788342
2018-04-06,6704565
2018-04-08,6726589
2018-04-09,6683982
2018-04-10,6701230
2018-04-11,6661121
2018-04-12,6540230
2018-04-13,6478960
2018-04-14,6494570
2018-04-16,6726854
2018-04-17,6917586
2018-04-18,6833177
2018-04-19,6769858
2018-04-20,6688959
2018-04-21,6705527
2018-04-22,6897408
2018-04-23,7180830
2018-04-24,7153758
2018-04-25,7187643
2018-04-26,7177816
2018-04-27,7137242
2018-04-28,7023644
2018-04-29,7287663
2018-04-30,7566581
2018-05-01,7720150
2018-05-02,7835556
2018-05-03,7938714
2018-05-04,8067575
2018-05-05,8313057
2018-05-06,8613904
2018-05-07,8914108
2018-05-08,8827429
2018-05-09,8743348
2018-05-10,8619372
2018-05-11,8500965
2018-05-12,8464182
2018-05-13,8285334
2018-05-14,8199075
2018-05-15,8106849
2018-05-16,7978991
2018-05-17,7838364
2018-05-18,7750394
2018-05-19,7934178
2018-05-20,8289710
2018-05-21,8410253
2018-05-22,8615881
2018-05-23,8563072
2018-05-24,8727895
2018-05-25,8857975
2018-05-26,8522582
2018-05-27,8360942
2018-05-28,8319933
2018-05-29,8378877
2018-05-30,8285143
2018-05-31,8246934
2018-06-01,8177881
2018-06-02,8023857
2018-06-03,7968398
2018-06-04,7929502
2018-06-05,7924430
2018-06-06,7756398
2018-06-07,7368578
2018-06-08,7001409
2018-06-09,6651338
2018-06-10,6339600
2018-06-11,6175967
2018-06-12,6106369
2018-06-13,6141430
2018-06-14,5939926
2018-06-15,5684370
2018-06-16,5616167
2018-06-17,5698270
2018-06-18,5552119
2018-06-19,5524104
2018-06-20,5524104
2018-06-21,5315679
2018-06-22,5425842
2018-06-23,5476522
2018-06-24,5453849
2018-06-25,5547849
2018-06-26,5485518
2018-06-27,5478095
2018-06-28,5522517
2018-06-29,5452479
2018-06-30,5517035
2018-07-01,5618812
2018-07-02,5785406
2018-07-03,5873938
2018-07-04,5833322
2018-07-05,5701423
2018-07-06,5753163
2018-07-07,5867505
2018-07-08,5939118
2018-07-09,5861011
2018-07-10,5828950
2018-07-11,5896978
2018-07-12,5855378
2018-07-13,5926392
2018-07-14,5902562
2018-07-15,5880495
2018-07-16,5857509
2018-07-17,5817964
2018-07-18,5771547
2018-07-19,5764409
2018-07-20,5791047
2018-07-21,5761134
2018-07-22,5749183
2018-07-23,5736715
2018-07-24,5749649
2018-07-25,5751000
2018-07-26,5759948
2018-07-27,5771563
2018-07-28,5795041
2018-07-29,5681543
2018-07-30,5749733
2018-07-31,5735075
2018-08-01,5697621
2018-08-02,5606446
2018-08-03,5449153
2018-08-04,5434457
2018-08-05,5370495
2018-08-06,5293554
2018-08-07,5355574
2018-08-08,5372552
2018-08-09,5220790
2018-08-10,5182428
2018-08-11,5094573
2018-08-12,5059138
2018-08-14,4861365
2018-08-16,4968208
2018-08-17,4927386
2018-08-18,4849697
2018-08-19,4805293
2018-08-20,4731710
2018-08-21,4718538
2018-08-22,4811851
2018-08-23,4921886
2018-08-24,4906202
2018-08-25,5039983
2018-08-26,5101444
2018-08-27,5171575
2018-08-28,5359976
2018-08-29,5385646
2018-08-30,5390340
2018-08-31,5405536
2018-09-01,5539825
2018-09-02,5596019
2018-09-03,5618130
2018-09-04,5593700
2018-09-05,5580639
2018-09-06,5391363
2018-09-07,5335608
2018-09-08,5296280
2018-09-09,5237808
2018-09-10,5208541
2018-09-11,5087037
2018-09-12,4928987
2018-09-13,4822201
2018-09-14,4911709
2018-09-15,4881141
2018-09-16,4949289
2018-09-17,4951981
2018-09-18,4983880
2018-09-19,5072010
2018-09-20,5179977
2018-09-21,5154707
2018-09-22,5146989
2018-09-23,5220572
2018-09-24,5186058
2018-09-25,5143959
2018-09-26,5206333
2018-09-27,5268700
2018-09-28,5180067
2018-09-29,5226241
2018-09-30,5317149
2018-10-02,5461726
2018-10-03,5483778
2018-10-04,5709706
2018-10-05,5887761
2018-10-06,6060462
2018-10-07,6212645
2018-10-08,6242633
2018-10-09,6464207
2018-10-10,6401395
2018-10-11,6360287
2018-10-12,6335740
2018-10-13,6295649
2018-10-14,6260753
2018-10-15,6219984
2018-10-16,6186232
2018-10-17,6129657
2018-10-18,6119393
2018-10-19,6035581
2018-10-20,6011144
2018-10-21,6195211
2018-10-22,6441890
2018-10-23,6448578
2018-10-24,6374455
2018-10-25,6451508
2018-10-26,6444519
2018-10-27,6458572
2018-10-28,6539284
2018-10-29,6390415
2018-10-30,6374345
2018-10-31,6304801
2018-11-01,6211362
2018-11-03,6148905
2018-11-04,6172894
2018-11-05,6361236
2018-11-06,6572436
2018-11-07,6703707
