date_obj,Death%20talisman price
2015-03-26,49231
2015-03-27,49231
2015-03-28,46848
2015-03-29,46848
2015-03-30,46848
2015-03-31,46848
2015-04-01,46848
2015-04-02,46848
2015-04-03,44570
2015-04-04,44570
2015-04-05,44570
2015-04-06,44570
2015-04-07,44570
2015-04-08,44570
2015-04-09,42419
2015-04-10,42419
2015-04-11,42419
2015-04-12,42419
2015-04-13,42419
2015-04-14,42419
2015-04-15,40405
2015-04-16,40405
2015-04-17,40405
2015-04-18,40405
2015-04-19,40405
2015-04-20,40405
2015-04-21,40405
2015-04-22,38477
2015-04-23,38477
2015-04-24,38477
2015-04-25,38477
2015-04-26,38477
2015-04-27,38477
2015-04-28,38477
2015-04-29,36635
2015-04-30,36635
2015-05-01,36635
2015-05-02,36635
2015-05-03,36635
2015-05-04,36635
2015-05-05,36635
2015-05-06,34935
2015-05-07,34935
2015-05-08,34935
2015-05-09,34935
2015-05-10,34935
2015-05-11,34935
2015-05-12,34935
2015-05-13,33305
2015-05-14,33305
2015-05-15,33305
2015-05-16,33305
2015-05-17,33305
2015-05-18,33305
2015-05-19,31689
2015-05-20,31689
2015-05-21,31689
2015-05-22,31689
2015-05-23,31689
2015-05-24,31689
2015-05-25,31689
2015-05-26,30132
2015-05-27,30132
2015-05-28,30132
2015-05-29,30132
2015-05-30,28771
2015-05-31,28771
2015-06-01,28771
2015-06-02,28771
2015-06-03,28771
2015-06-04,27409
2015-06-05,27409
2015-06-06,27409
2015-06-07,27409
2015-06-08,26048
2015-06-09,26048
2015-06-10,26048
2015-06-11,26048
2015-06-12,24765
2015-06-13,24765
2015-06-14,24765
2015-06-15,24765
2015-06-16,23564
2015-06-17,23564
2015-06-18,23564
2015-06-19,23564
2015-06-20,23564
2015-06-21,22400
2015-06-22,22400
2015-06-23,22400
2015-06-24,22400
2015-06-25,22400
2015-06-26,21287
2015-06-27,21287
2015-06-28,21287
2015-06-29,21287
2015-06-30,21287
2015-07-01,20230
2015-07-02,20230
2015-07-03,20230
2015-07-04,20230
2015-07-05,20230
2015-07-06,20230
2015-07-07,19251
2015-07-08,19251
2015-07-09,19251
2015-07-10,19251
2015-07-11,19251
2015-07-12,19251
2015-07-13,18308
2015-07-14,18308
2015-07-15,18308
2015-07-16,18308
2015-07-17,18308
2015-07-18,18308
2015-07-19,17422
2015-07-20,17422
