date_obj,Blamish%20red%20shell%20(pointed) price
2016-01-04,10346
2016-01-05,10346
2016-01-06,10346
2016-01-07,10346
2016-01-08,10346
2016-01-09,9855
2016-01-10,9855
2016-01-11,9855
2016-01-12,9855
2016-01-13,9855
2016-01-14,9855
2016-01-15,9855
2016-01-16,9855
2016-01-17,9855
2016-01-18,9855
2016-01-19,9855
2016-01-20,9855
2016-01-21,9855
2016-01-22,9855
2016-01-23,9855
2016-01-24,9855
2016-01-25,9855
2016-01-26,9855
2016-01-27,9855
2016-01-28,9855
2016-01-29,9855
2016-01-30,9855
2016-01-31,9855
2016-02-01,9855
2016-02-02,9855
2016-02-03,9855
2016-02-04,9855
2016-02-05,9855
2016-02-06,9855
2016-02-07,9855
2016-02-08,9855
2016-02-09,9855
2016-02-10,9855
2016-02-11,9855
2016-02-12,9855
2016-02-13,9855
2016-02-14,9855
2016-02-15,9855
2016-02-16,9855
2016-02-17,9855
2016-02-18,9855
2016-02-19,9855
2016-02-20,9855
2016-02-21,9855
2016-02-22,9855
2016-02-23,9855
2016-02-24,9855
2016-02-25,9855
2016-02-26,9855
2016-02-27,9855
2016-02-28,9855
2016-02-29,9403
2016-03-01,9403
2016-03-02,9403
2016-03-03,9403
2016-03-04,9403
2016-03-05,9403
2016-03-06,9403
2016-03-07,9403
2016-03-08,9403
2016-03-09,9403
2016-03-10,9403
2016-03-11,9403
2016-03-12,9403
2016-03-13,9403
2016-03-14,9403
2016-03-15,9403
2016-03-16,9403
2016-03-17,9403
2016-03-18,9403
2016-03-19,9403
2016-03-20,9403
2016-03-21,9403
2016-03-22,9403
2016-03-23,9403
2016-03-24,9403
2016-03-25,9403
2016-03-26,9403
2016-03-27,9403
2016-03-28,9403
2016-03-29,9403
2016-03-30,9403
2016-03-31,9403
2016-04-01,9403
2016-04-02,9403
2016-04-03,9403
2016-04-04,9403
2016-04-05,9403
2016-04-06,9403
2016-04-07,9403
2016-04-08,9403
2016-04-09,9403
2016-04-10,9403
2016-04-11,9403
2016-04-12,9403
2016-04-13,9403
2016-04-14,9403
2016-04-15,9403
2016-04-16,9403
2016-04-17,9403
2016-04-18,9403
2016-04-19,9403
2016-04-20,9403
2016-04-21,9403
2016-04-22,9403
2016-04-23,9403
2016-04-24,8987
2016-04-25,8987
2016-04-26,8987
2016-04-27,8987
2016-04-28,8987
2016-04-29,8987
2016-04-30,8987
2016-05-01,8987
2016-05-02,8987
2016-05-03,8987
2016-05-04,8987
2016-05-05,8987
2016-05-06,8987
2016-05-07,8987
2016-05-08,8987
2016-05-09,8987
2016-05-10,8987
2016-05-11,8987
2016-05-12,8987
2016-05-13,8987
2016-05-14,8987
2016-05-15,8987
2016-05-16,8987
2016-05-17,8987
2016-05-18,8987
2016-05-19,8987
2016-05-22,8987
2016-05-23,8987
2016-05-24,8987
2016-05-25,8987
2016-05-26,8987
2016-05-27,8987
2016-05-28,8987
2016-05-29,8987
2016-05-30,8987
2016-05-31,8987
2016-06-01,8987
2016-06-02,8987
2016-06-03,8987
2016-06-04,8987
2016-06-05,8987
2016-06-06,8987
2016-06-07,8987
2016-06-08,8987
2016-06-09,8987
2016-06-10,8560
2016-06-11,8560
2016-06-12,8560
2016-06-13,8560
2016-06-14,8560
2016-06-15,8560
2016-06-16,8560
2016-06-17,8560
2016-06-18,8560
2016-06-19,8560
2016-06-20,8560
2016-06-21,8560
2016-06-22,8560
2016-06-23,8560
2016-06-24,8560
2016-06-25,8560
2016-06-26,8560
2016-06-27,8560
2016-06-28,8560
2016-06-29,8560
2016-06-30,8560
2016-07-01,8560
2016-07-02,8560
2016-07-03,8560
2016-07-04,8560
2016-07-05,8560
2016-07-06,8560
2016-07-07,8560
2016-07-08,8560
2016-07-09,8560
2016-07-10,8560
2016-07-11,8560
2016-07-12,8560
2016-07-13,8560
2016-07-14,8560
2016-07-15,8560
2016-07-16,8560
2016-07-17,8560
2016-07-18,8560
2016-07-23,8560
2016-07-24,8560
2016-07-25,8560
2016-07-26,8560
2016-07-27,8198
2016-07-28,8198
2016-07-29,8198
2016-07-30,8198
2016-07-31,8198
2016-08-01,8198
2016-08-02,8198
2016-08-03,8198
2016-08-04,8198
2016-08-05,8198
2016-08-06,8198
2016-08-07,8198
2016-08-08,8198
2016-08-09,8198
2016-08-10,8198
2016-08-11,8198
2016-08-12,8198
2016-08-13,8198
2016-08-14,8198
2016-08-15,8198
2016-08-16,8198
2016-08-17,8198
2016-08-18,8198
2016-08-19,8198
2016-08-20,8198
2016-08-21,8198
2016-08-22,8198
2016-08-23,8198
2016-08-24,8198
2016-08-25,8198
2016-08-26,8198
2016-08-28,8198
2016-08-31,8198
2016-09-01,8198
2016-09-02,8198
2016-09-03,8198
2016-09-04,8198
2016-09-05,8198
2016-09-06,8198
2016-09-07,8198
2016-09-08,8198
2016-09-09,8198
2016-09-10,8198
2016-09-11,8198
2016-09-12,8198
2016-09-13,8198
2016-09-14,8198
2016-09-15,8198
2016-09-16,8198
2016-09-17,8198
2016-09-18,8198
2016-09-19,8198
2016-09-20,8198
2016-09-21,8198
2016-09-22,8198
2016-09-23,8198
2016-09-24,8198
2016-09-25,8198
2016-09-26,8198
2016-09-27,8198
2016-09-28,8198
2016-09-29,8198
2016-09-30,8198
2016-10-01,8198
2016-10-02,8198
2016-10-03,8198
2016-10-04,8198
2016-10-05,7832
2016-10-06,7832
2016-10-07,7832
2016-10-08,7832
2016-10-09,7832
2016-10-10,7832
2016-10-11,7832
2016-10-12,7832
2016-10-13,7832
2016-10-14,7832
2016-10-15,7832
2016-10-16,7832
2016-10-17,7832
2016-10-18,7832
2016-10-19,7832
2016-10-20,7832
2016-10-21,7832
2016-10-22,7832
2016-10-23,7832
2016-10-24,7832
2016-10-25,7832
2016-10-26,7832
2016-10-27,7832
2016-10-28,7832
2016-10-29,7832
2016-10-30,7832
2016-10-31,7832
2016-11-01,7832
2016-11-02,7832
2016-11-03,7832
2016-11-04,7832
2016-11-05,7832
2016-11-06,7832
2016-11-07,7832
2016-11-08,7832
2016-11-09,7832
2016-11-10,7832
2016-11-11,7832
2016-11-12,7832
2016-11-13,7832
2016-11-14,7832
2016-11-15,7832
2016-12-07,7832
2016-12-08,7832
2016-12-09,7832
2016-12-10,7832
2016-12-11,7456
2016-12-12,7456
2016-12-13,7456
2016-12-14,7456
2016-12-15,7456
2016-12-16,7456
2016-12-17,7456
2016-12-18,7456
2016-12-19,7456
2016-12-20,7456
2016-12-21,7456
2016-12-22,7456
2016-12-23,7456
2016-12-24,7456
2016-12-25,7456
2016-12-26,7456
2016-12-27,7456
2016-12-28,7456
2016-12-29,7456
2016-12-30,7456
2016-12-31,7456
2017-01-01,7456
2017-01-02,7456
2017-01-03,7456
2017-01-04,7456
2017-01-05,7456
2017-01-06,7456
2017-01-07,7456
2017-01-08,7456
2017-01-09,7456
2017-01-10,7456
2017-01-11,7456
2017-01-12,7456
2017-01-13,7456
2017-01-14,7456
2017-01-15,7456
2017-01-16,7456
2017-01-17,7456
2017-01-18,7456
2017-01-19,7456
2017-01-20,7456
2017-01-21,7456
2017-01-22,7456
2017-01-23,7456
2017-01-27,7456
2017-01-28,7456
2017-01-29,7456
2017-01-30,7456
2017-01-31,7456
2017-02-01,7456
2017-02-02,7456
2017-02-03,7456
2017-02-04,7116
2017-02-05,7116
2017-02-06,7116
2017-02-07,7116
2017-02-08,7116
2017-02-09,7116
2017-02-10,7116
2017-02-11,7116
2017-02-12,7116
2017-02-13,7116
2017-02-14,7116
2017-02-15,7116
2017-02-16,7116
2017-02-18,7116
2017-02-19,7116
2017-02-20,7116
2017-02-21,7116
2017-02-22,7116
2017-02-23,7116
2017-02-24,7116
2017-02-25,7116
2017-02-26,7116
2017-02-27,7116
2017-02-28,7116
2017-03-01,7116
2017-03-02,7116
2017-03-03,7116
2017-03-04,7116
2017-03-05,7116
2017-03-06,7116
2017-03-07,7116
2017-03-08,7116
2017-03-09,7116
2017-03-10,7116
2017-03-11,7116
2017-03-12,7116
2017-03-13,7116
2017-03-14,7116
2017-03-15,7116
2017-03-16,7116
2017-03-17,7116
2017-03-18,7116
2017-03-19,7116
2017-03-20,7116
2017-03-21,7116
2017-03-22,7116
2017-03-23,7116
2017-03-24,7116
2017-03-25,7116
2017-03-26,7116
2017-03-27,7116
2017-03-28,6785
2017-03-29,6785
2017-03-30,6785
2017-03-31,6785
2017-04-01,6785
2017-04-02,6785
2017-04-03,6785
2017-04-04,6785
2017-04-12,6785
2017-04-13,6785
2017-04-14,6785
2017-04-15,6785
2017-04-16,6785
2017-04-17,6785
2017-04-18,6785
2017-04-19,6785
2017-04-20,6785
2017-04-21,6785
2017-04-22,6785
2017-04-23,6785
2017-04-24,6785
2017-04-25,6785
2017-04-26,6785
2017-04-27,6785
2017-04-28,6785
2017-04-29,6785
2017-04-30,6785
2017-05-01,6785
2017-05-02,6785
2017-05-03,6785
2017-05-04,6499
2017-05-05,6499
2017-05-06,6499
2017-05-07,6499
2017-05-08,6499
2017-05-09,6499
2017-05-10,6499
2017-05-11,6499
2017-05-12,6499
2017-05-13,6499
2017-05-14,6499
2017-05-15,6499
2017-05-16,6499
2017-05-17,6499
2017-05-18,6499
2017-05-19,6499
2017-05-20,6499
2017-05-21,6499
2017-05-22,6499
2017-05-23,6499
2017-05-24,6205
2017-05-25,6205
2017-05-26,6205
2017-05-27,6205
2017-05-28,6205
2017-05-29,6205
2017-05-30,6205
2017-05-31,6205
2017-06-01,6205
2017-06-02,6205
2017-06-03,6205
2017-06-04,6205
2017-06-05,6205
2017-06-06,6205
2017-06-07,6205
2017-06-08,6205
2017-06-09,6205
2017-06-10,6205
2017-06-11,6205
2017-06-12,6205
2017-06-13,6205
2017-06-14,6205
2017-06-15,6205
2017-06-16,6205
2017-06-17,6205
2017-06-18,6205
2017-06-19,6205
2017-06-20,5925
2017-06-21,5925
2017-06-22,5925
2017-06-23,5925
2017-06-24,5925
2017-06-25,5925
2017-06-26,5925
2017-06-27,5925
2017-06-28,5925
2017-06-29,5925
2017-06-30,5925
2017-07-01,5925
2017-07-02,5925
2017-07-03,5925
2017-07-04,5925
2017-07-05,5925
2017-07-06,5925
2017-07-07,5925
2017-07-08,5925
2017-07-13,5925
2017-07-14,5925
2017-07-15,5925
2017-07-16,5925
2017-07-17,5925
2017-07-18,5665
2017-07-19,5665
2017-07-20,5665
2017-07-21,5665
2017-07-22,5665
2017-07-23,5665
2017-07-24,5665
2017-07-25,5665
2017-07-26,5665
2017-07-27,5665
2017-07-28,5665
2017-07-29,5665
2017-07-30,5665
2017-07-31,5665
2017-08-01,5665
2017-08-02,5665
2017-08-03,5665
2017-08-04,5665
2017-08-05,5665
2017-08-06,5665
2017-08-09,5665
2017-08-10,5665
2017-08-11,5665
2017-08-12,5665
2017-08-13,5665
2017-08-14,5665
2017-08-15,5417
2017-08-16,5417
2017-08-17,5417
2017-08-18,5417
2017-08-19,5417
2017-08-20,5417
2017-08-21,5417
2017-08-22,5417
2017-08-23,5417
2017-08-24,5417
2017-08-25,5417
2017-08-26,5417
2017-08-27,5417
2017-08-28,5417
2017-08-29,5417
2017-08-30,5417
2017-08-31,5417
2017-09-01,5417
2017-09-02,5417
2017-09-03,5417
2017-09-04,5417
2017-09-05,5417
2017-09-06,5417
2017-09-07,5417
2017-09-08,5417
2017-09-09,5417
2017-09-10,5417
2017-09-11,5196
2017-09-12,5196
2017-09-13,5196
2017-09-14,5196
2017-09-15,5196
2017-09-16,5196
2017-09-17,5196
2017-09-18,5196
2017-09-19,5196
2017-09-20,5196
2017-09-22,5196
2017-09-23,5196
2017-09-24,5196
2017-09-25,5196
2017-09-26,5196
2017-09-27,5196
2017-09-28,5196
2017-09-29,5196
2017-09-30,5196
2017-10-01,5196
2017-10-02,5196
2017-10-03,5196
2017-10-04,5196
2017-10-05,5196
2017-10-06,5196
2017-10-07,5196
2017-10-08,5012
2017-10-09,5012
2017-10-10,5012
2017-10-11,5012
2017-10-12,5012
2017-10-13,5012
2017-10-14,5012
2017-10-15,5012
2017-10-16,5012
2017-10-17,5012
2017-10-18,5012
2017-10-19,5012
2017-10-20,5012
2017-10-21,5012
2017-10-22,5012
2017-10-23,5012
2017-10-24,5012
2017-10-25,5012
2017-10-26,5012
2017-10-27,5012
2017-10-28,5012
2017-10-29,5012
2017-10-30,5012
2017-10-31,5012
2017-11-01,5012
2017-11-02,5012
2017-11-03,5012
2017-11-04,5012
2017-11-05,5012
2017-11-06,5012
