date_obj,Guthix%20robe%20top price
2015-03-26,31706
2015-03-27,31706
2015-03-28,30958
2015-03-29,30742
2015-03-30,30983
2015-03-31,30659
2015-04-01,30315
2015-04-02,30049
2015-04-03,30510
2015-04-04,30335
2015-04-05,29363
2015-04-06,28534
2015-04-07,28407
2015-04-08,28407
2015-04-09,27882
2015-04-10,27063
2015-04-11,26466
2015-04-12,26422
2015-04-13,26693
2015-04-14,27393
2015-04-15,27415
2015-04-16,26610
2015-04-17,26408
2015-04-18,26356
2015-04-19,26772
2015-04-20,26772
2015-04-21,26662
2015-04-22,26766
2015-04-23,26959
2015-04-24,27442
2015-04-25,27781
2015-04-26,27765
2015-04-27,27795
2015-04-28,28134
2015-04-29,28134
2015-04-30,28701
2015-05-01,29077
2015-05-02,29159
2015-05-03,29159
2015-05-04,29096
2015-05-05,29435
2015-05-06,28866
2015-05-07,28230
2015-05-08,28230
2015-05-09,27920
2015-05-10,27992
2015-05-11,27992
2015-05-12,27741
2015-05-13,27820
2015-05-14,28180
2015-05-15,28180
2015-05-16,27717
2015-05-17,27382
2015-05-18,27016
2015-05-19,26640
2015-05-20,26640
2015-05-21,26183
2015-05-22,26246
2015-05-23,26246
2015-05-24,25630
2015-05-25,25425
2015-05-26,25899
2015-05-27,25899
2015-05-28,26317
2015-05-29,26599
2015-05-30,26744
2015-05-31,26744
2015-06-01,26541
2015-06-02,26541
2015-06-03,26612
2015-06-04,26164
2015-06-05,25934
2015-06-06,26141
2015-06-07,26523
2015-06-08,26523
2015-06-09,26577
2015-06-10,26524
2015-06-11,26524
2015-06-12,26794
2015-06-13,27435
2015-06-14,27968
2015-06-15,27968
2015-06-16,28057
2015-06-17,27660
2015-06-18,27499
2015-06-19,27499
2015-06-20,27701
2015-06-21,27701
2015-06-22,28171
2015-06-23,28171
2015-06-24,29095
2015-06-25,29095
2015-06-26,29688
2015-06-27,29688
2015-06-28,29505
2015-06-29,29505
2015-06-30,30568
2015-07-01,30223
2015-07-02,30223
2015-07-03,29990
2015-07-04,30535
2015-07-05,30535
2015-07-06,31094
2015-07-07,31384
2015-07-08,31582
2015-07-09,31582
2015-07-10,31930
2015-07-11,31930
2015-07-12,32611
2015-07-13,33706
2015-07-14,34677
2015-07-15,35793
2015-07-16,35793
2015-07-17,37362
2015-07-18,37362
2015-07-19,38801
2015-07-20,39347
2015-07-21,39347
2015-07-22,39969
2015-07-23,39969
2015-07-24,40425
2015-07-25,41124
2015-07-26,41701
2015-07-27,41426
2015-07-28,40779
2015-07-29,40641
2015-07-30,40641
2015-07-31,39697
2015-08-01,40193
2015-08-02,38741
2015-08-03,37775
2015-08-04,37695
2015-08-05,37335
2015-08-06,36946
2015-08-07,36946
2015-08-08,36670
2015-08-09,36882
2015-08-10,36967
2015-08-11,37410
2015-08-12,37410
2015-08-13,38034
2015-08-14,38021
2015-08-15,38021
2015-08-16,38018
2015-08-17,37766
2015-08-18,37761
2015-08-19,37664
2015-08-20,37664
2015-08-21,37361
2015-08-22,37525
2015-08-23,37525
2015-08-24,37582
2015-08-25,37582
2015-08-26,37590
2015-08-27,37623
2015-08-28,37623
2015-08-29,38331
2015-08-30,38331
2015-08-31,38665
2015-09-01,38806
2015-09-02,38806
2015-09-03,38606
2015-09-04,39674
2015-09-05,39674
2015-09-06,40328
2015-09-07,41848
2015-09-08,42559
2015-09-09,42559
2015-09-10,43251
2015-09-11,43715
2015-09-12,43715
2015-09-13,43749
2015-09-14,43749
2015-09-15,43644
2015-09-16,43644
2015-09-17,44945
2015-09-18,44945
2015-09-19,45693
2015-09-20,45693
2015-09-21,46840
2015-09-22,47032
2015-09-23,47032
2015-09-24,47785
2015-09-25,47785
2015-09-27,48336
2015-09-28,49053
2015-09-29,49053
2015-09-30,48508
2015-10-05,47363
2015-10-06,46333
2015-10-07,46333
2015-10-08,47827
2015-10-09,47799
2015-10-10,47799
2015-10-11,47525
2015-10-12,47068
2015-10-13,47068
2015-10-14,47314
2015-10-15,46011
2015-10-16,45640
2015-10-17,45640
2015-10-18,45047
2015-10-19,43648
2015-10-20,43648
2015-10-22,42421
2015-10-23,41424
2015-10-24,41424
2015-10-25,39657
2015-10-26,38550
2015-10-27,38550
2015-10-29,37163
2015-10-30,37163
2015-10-31,36664
2015-11-01,36664
2015-11-02,36352
2015-11-03,36352
2015-11-04,35864
2015-11-05,35465
2015-11-06,35465
2015-11-07,34892
2015-11-08,34892
2015-11-09,33775
2015-11-10,33775
2015-11-11,33756
2015-11-12,33756
2015-11-13,33902
2015-11-14,33902
2015-11-15,34224
2015-11-16,34224
2015-11-17,34502
2015-11-18,34502
2015-11-19,36153
2015-11-20,37729
2015-11-21,37729
2015-11-22,39607
2015-11-23,39607
2015-11-24,41371
2015-11-25,43393
2015-11-26,43393
2015-11-27,44968
2015-11-28,44968
2015-11-29,47196
2015-11-30,48468
2015-12-01,48468
2015-12-02,48050
2015-12-03,47061
2015-12-04,47061
2015-12-05,46452
2015-12-06,45682
2015-12-07,45682
2015-12-08,45565
2015-12-09,44853
2015-12-10,44853
2015-12-11,44281
2015-12-12,44281
2015-12-13,43778
2015-12-14,43778
2015-12-15,43615
2015-12-16,43438
2015-12-17,43438
2015-12-18,43277
2015-12-19,43277
2015-12-20,42957
2015-12-21,42957
2015-12-22,43138
2015-12-23,42606
2015-12-24,42606
2015-12-25,42393
2015-12-26,42393
2015-12-27,42321
2015-12-28,42602
2015-12-29,43310
2015-12-30,43527
2015-12-31,45079
2016-01-01,45079
2016-01-02,45324
2016-01-03,43987
2016-01-04,42900
2016-01-05,41437
2016-01-06,40964
2016-01-07,40113
2016-01-08,40048
2016-01-09,40048
2016-01-10,39308
2016-01-11,38961
2016-01-12,38559
2016-01-13,38559
2016-01-14,38764
2016-01-15,38797
2016-01-16,38797
2016-01-17,38328
2016-01-18,38562
2016-01-19,38562
2016-01-20,37866
2016-01-21,37866
2016-01-22,37234
2016-01-23,36460
2016-01-24,36460
2016-01-25,35823
2016-01-26,36797
2016-01-27,36430
2016-01-28,36430
2016-01-29,36246
2016-01-30,36246
2016-01-31,35756
2016-02-01,34831
2016-02-02,35004
2016-02-03,34903
2016-02-04,35321
2016-02-05,35321
2016-02-06,34870
2016-02-07,34870
2016-02-08,34713
2016-02-09,35273
2016-02-10,35165
2016-02-11,35165
2016-02-12,35195
2016-02-13,35836
2016-02-14,35836
2016-02-15,36240
2016-02-16,36240
2016-02-17,36797
2016-02-18,36797
2016-02-19,36231
2016-02-20,35522
2016-02-21,33745
2016-02-22,33745
2016-02-23,32788
2016-02-24,32788
2016-02-25,31449
2016-02-26,31449
2016-02-27,30692
2016-02-28,30692
2016-02-29,30835
2016-03-01,30301
2016-03-02,29980
2016-03-03,29435
2016-03-04,28921
2016-03-05,28990
2016-03-06,28800
2016-03-07,28800
2016-03-08,28851
2016-03-09,28840
2016-03-10,28516
2016-03-11,28516
2016-03-12,28863
2016-03-13,28863
2016-03-14,29181
2016-03-15,28730
2016-03-16,28580
2016-03-17,28297
2016-03-18,29492
2016-03-19,29492
2016-03-20,29652
2016-03-21,29652
2016-03-22,29669
2016-03-23,30106
2016-03-24,30106
2016-03-25,30759
2016-03-26,31117
2016-03-27,31117
2016-03-28,31070
2016-03-29,31434
2016-03-30,31434
2016-03-31,31542
2016-04-01,31204
2016-04-02,31591
2016-04-03,32289
2016-04-04,33102
2016-04-05,33102
2016-04-06,33473
2016-04-07,33473
2016-04-08,33771
2016-04-09,34068
2016-04-10,34332
2016-04-11,34332
2016-04-12,34182
2016-04-13,34182
2016-04-14,33588
2016-04-15,33342
2016-04-16,33812
2016-04-17,33582
2016-04-18,32829
2016-04-19,33097
2016-04-20,32880
2016-04-21,33277
2016-04-22,33277
2016-04-23,33590
2016-04-24,33274
2016-04-25,33557
2016-04-26,33936
2016-04-27,35407
2016-04-28,36886
2016-04-29,37515
2016-04-30,37830
2016-05-01,37188
2016-05-02,36458
2016-05-03,36342
2016-05-04,36342
2016-05-05,36937
2016-05-06,36937
2016-05-07,37064
2016-05-08,37064
2016-05-09,36357
2016-05-10,35756
2016-05-11,35756
2016-05-12,35220
2016-05-13,34952
2016-05-14,34952
2016-05-15,34434
2016-05-16,34434
2016-05-17,34593
2016-05-18,34276
2016-05-19,34276
2016-05-22,33204
2016-05-23,32445
2016-05-24,31905
2016-05-25,32125
2016-05-26,32125
2016-05-27,31609
2016-05-28,31609
2016-05-29,31721
2016-05-30,31721
2016-05-31,31914
2016-06-01,33251
2016-06-02,33251
2016-06-03,33673
2016-06-04,34767
2016-06-05,34767
2016-06-06,35348
2016-06-07,35348
2016-06-08,35753
2016-06-09,35176
2016-06-10,34555
2016-06-11,34555
2016-06-12,34473
2016-06-13,34473
2016-06-14,34375
2016-06-15,34855
2016-06-16,34855
2016-06-17,35475
2016-06-18,35475
2016-06-19,35748
2016-06-20,35748
2016-06-21,37010
2016-06-22,38861
2016-06-23,38861
2016-06-24,40598
2016-06-25,42101
2016-06-26,42101
2016-06-27,42773
2016-06-28,42793
2016-06-29,42793
2016-06-30,43532
2016-07-01,45619
2016-07-02,45619
2016-07-03,47665
2016-07-04,48838
2016-07-05,48838
2016-07-06,49874
2016-07-07,48601
2016-07-08,47093
2016-07-09,45915
2016-07-10,45251
2016-07-11,45334
2016-07-12,44602
2016-07-13,44508
2016-07-14,44267
2016-07-15,44504
2016-07-16,43571
2016-07-17,43571
2016-07-18,42718
2016-07-23,37683
2016-07-24,37635
2016-07-25,37635
2016-07-26,37075
2016-07-27,37566
2016-07-28,37566
2016-07-29,38004
2016-07-30,37189
2016-07-31,37189
2016-08-01,38680
2016-08-02,39347
2016-08-03,39782
2016-08-04,39782
2016-08-05,39931
2016-08-06,40030
2016-08-07,39874
2016-08-08,39874
2016-08-09,39385
2016-08-10,39385
2016-08-11,38879
2016-08-12,38879
2016-08-13,37766
2016-08-14,37766
2016-08-15,36002
2016-08-16,36002
2016-08-17,35155
2016-08-18,35155
2016-08-19,34519
2016-08-20,35720
2016-08-21,35720
2016-08-22,34831
2016-08-23,33729
2016-08-24,33729
2016-08-25,32134
2016-08-26,32134
2016-08-28,31233
2016-08-31,29547
2016-09-01,29219
2016-09-02,29219
2016-09-03,28869
2016-09-04,28164
2016-09-05,27583
2016-09-06,26712
2016-09-07,26712
2016-09-08,25839
2016-09-09,25839
2016-09-10,25223
2016-09-11,25223
2016-09-12,24896
2016-09-13,24746
2016-09-14,24746
2016-09-15,24245
2016-09-16,24245
2016-09-17,24104
2016-09-18,24104
2016-09-19,23956
2016-09-20,23956
2016-09-21,23072
2016-09-22,22674
2016-09-23,22674
2016-09-24,22163
2016-09-25,21743
2016-09-26,21743
2016-09-27,21236
2016-09-28,20212
2016-09-29,20212
2016-09-30,19695
2016-10-01,20046
2016-10-02,20046
2016-10-03,20949
2016-10-04,21700
2016-10-05,21898
2016-10-06,21898
2016-10-07,21364
2016-10-08,21815
2016-10-09,21815
2016-10-10,22308
2016-10-11,22308
2016-10-12,23207
2016-10-13,23207
2016-10-14,24209
2016-10-15,24209
2016-10-16,25131
2016-10-17,25509
2016-10-18,25509
2016-10-19,25910
2016-10-20,25910
2016-10-21,26254
2016-10-22,26254
2016-10-23,26110
2016-10-24,24917
2016-10-25,24917
2016-10-26,24471
2016-10-27,24471
2016-10-28,24009
2016-10-29,23451
2016-10-30,23451
2016-10-31,23478
2016-11-01,23478
2016-11-02,24302
2016-11-03,24302
2016-11-04,24106
2016-11-05,24106
2016-11-06,24131
2016-11-07,24131
2016-11-08,23614
2016-11-09,23614
2016-11-10,23337
2016-11-11,23337
2016-11-12,22916
2016-11-13,22916
2016-11-14,22450
2016-11-15,22450
2016-12-07,24512
2016-12-08,24677
2016-12-09,24543
2016-12-10,24543
2016-12-11,24849
2016-12-12,25389
2016-12-13,25738
2016-12-14,26167
2016-12-15,26167
2016-12-16,27227
2016-12-17,27120
2016-12-18,27120
2016-12-19,27960
2016-12-20,28041
2016-12-21,28041
2016-12-22,28353
2016-12-23,28737
2016-12-24,28737
2016-12-25,28965
2016-12-26,28965
2016-12-27,29601
2016-12-28,30241
2016-12-29,30500
2016-12-30,30500
2016-12-31,30460
2017-01-01,30850
2017-01-02,31611
2017-01-03,31611
2017-01-04,32026
2017-01-05,32026
2017-01-06,32257
2017-01-07,32069
2017-01-08,31484
2017-01-09,31964
2017-01-10,31964
2017-01-11,32391
2017-01-12,31936
2017-01-13,31936
2017-01-14,31869
2017-01-15,31817
2017-01-16,31743
2017-01-17,31838
2017-01-18,31621
2017-01-19,31621
2017-01-20,32237
2017-01-21,32357
2017-01-22,31890
2017-01-23,32079
2017-01-27,30872
2017-01-28,31261
2017-01-29,31991
2017-01-30,31991
2017-01-31,32355
2017-02-01,32383
2017-02-02,32383
2017-02-03,32634
2017-02-04,32695
2017-02-05,33339
2017-02-06,33797
2017-02-07,33171
2017-02-08,32667
2017-02-09,32667
2017-02-10,32356
2017-02-11,32764
2017-02-12,32764
2017-02-13,32702
2017-02-14,32471
2017-02-15,32471
2017-02-16,32541
2017-02-18,32287
2017-02-19,32207
2017-02-20,32208
2017-02-21,32801
2017-02-22,32801
2017-02-23,33335
2017-02-24,33335
2017-02-25,33557
2017-02-26,33167
2017-02-27,33167
2017-02-28,32589
2017-03-01,31807
