date_obj,Crushed%20nest price
2016-02-14,2367
2016-02-15,2393
2016-02-16,2459
2016-02-17,2520
2016-02-18,2432
2016-02-19,2505
2016-02-20,2396
2016-02-21,2352
2016-02-22,2356
2016-02-23,2435
2016-02-24,2453
2016-02-25,2565
2016-02-26,2533
2016-02-27,2538
2016-02-28,2536
2016-03-01,2645
2016-03-02,2683
2016-03-03,2697
2016-03-04,2810
2016-03-05,2850
2016-03-06,2767
2016-03-07,2643
2016-03-08,2599
2016-03-09,2515
2016-03-10,2474
2016-03-11,2567
2016-03-12,2545
2016-03-13,2533
2016-03-14,2515
2016-03-15,2498
2016-03-16,2466
2016-03-17,2441
2016-03-18,2465
2016-03-19,2550
2016-03-20,2539
2016-03-21,2490
2016-03-22,2553
2016-03-23,2481
2016-03-24,2477
2016-03-25,2494
2016-03-26,2467
2016-03-27,2434
2016-03-28,2413
2016-03-29,2397
2016-03-30,2394
2016-03-31,2379
2016-04-01,2366
2016-04-02,2332
2016-04-03,2314
2016-04-04,2340
2016-04-05,2331
2016-04-06,2335
2016-04-07,2385
2016-04-08,2417
2016-04-09,2440
2016-04-10,2328
2016-04-11,2278
2016-04-12,2247
2016-04-13,2254
2016-04-14,2289
2016-04-15,2243
2016-04-16,2191
2016-04-17,2150
2016-04-18,2158
2016-04-19,2214
2016-04-20,2186
2016-04-21,2198
2016-04-22,2169
2016-04-23,2245
2016-04-24,2291
2016-04-25,2229
2016-04-26,2226
2016-04-27,2198
2016-04-28,2224
2016-04-29,2246
2016-04-30,2275
2016-05-01,2313
2016-05-02,2346
2016-05-03,2344
2016-05-04,2300
2016-05-05,2273
2016-05-06,2263
2016-05-07,2230
2016-05-08,2129
2016-05-09,2177
2016-05-10,2173
2016-05-11,2158
2016-05-12,2167
2016-05-13,2149
2016-05-14,2146
2016-05-15,2115
2016-05-16,2109
2016-05-17,2085
2016-05-18,2079
2016-05-19,2145
2016-05-22,2188
2016-05-23,2176
2016-05-24,2173
2016-05-25,2140
2016-05-26,2115
2016-05-27,2123
2016-05-28,2153
2016-05-29,2130
2016-05-30,2135
2016-05-31,2131
2016-06-01,2148
2016-06-02,2161
2016-06-03,2235
2016-06-04,2323
2016-06-05,2368
2016-06-06,2413
2016-06-07,2435
2016-06-08,2498
2016-06-09,2422
2016-06-10,2310
2016-06-11,2229
2016-06-12,2246
2016-06-13,2250
2016-06-14,2298
2016-06-15,2290
2016-06-16,2279
2016-06-17,2271
2016-06-18,2281
2016-06-19,2303
2016-06-20,2318
2016-06-21,2316
2016-06-22,2267
2016-06-23,2280
2016-06-24,2321
2016-06-25,2391
2016-06-26,2329
2016-06-27,2281
2016-06-28,2316
2016-06-29,2321
2016-06-30,2382
2016-07-01,2449
2016-07-02,2557
2016-07-03,2570
2016-07-04,2532
2016-07-05,2564
2016-07-06,2556
2016-07-07,2505
2016-07-08,2549
2016-07-09,2522
2016-07-10,2478
2016-07-11,2501
2016-07-12,2584
2016-07-13,2545
2016-07-14,2634
2016-07-15,2571
2016-07-16,2645
2016-07-17,2759
2016-07-18,2737
2016-07-23,2980
2016-07-24,2888
2016-07-25,2828
2016-07-26,2944
