date_obj,Hosidius%20banner price
2016-07-06,5000000
2016-07-07,4750000
2016-07-08,4750000
2016-07-09,4512500
2016-07-10,4512500
2016-07-11,4286875
2016-07-12,4286875
2016-07-13,4077622
2016-07-14,4077622
2016-07-15,3878677
2016-07-16,3878677
2016-07-17,3689081
2016-07-18,3689081
2016-07-23,3174896
2016-07-24,3174896
2016-07-25,3018372
2016-07-26,3018372
2016-07-27,2872292
2016-07-28,2872292
2016-07-29,2732109
2016-07-30,2732109
2016-07-31,2602012
2016-08-01,2602012
2016-08-02,2473818
2016-08-03,2473818
2016-08-04,2351222
2016-08-05,2351222
2016-08-06,2351222
2016-08-07,2233942
2016-08-08,2233942
2016-08-09,2126192
2016-08-10,2126192
2016-08-11,2126192
2016-08-12,2021647
2016-08-13,2021647
2016-08-14,1925604
2016-08-15,1925604
2016-08-16,1832133
2016-08-17,1832133
2016-08-18,1832133
2016-08-19,1742657
2016-08-20,1742657
2016-08-21,1658055
2016-08-22,1658055
2016-08-23,1658055
2016-08-24,1577700
2016-08-25,1577700
2016-08-26,1577700
2016-08-28,1499808
2016-08-31,1426416
2016-09-01,1426416
2016-09-02,1426416
2016-09-03,1426416
2016-09-04,1356910
2016-09-05,1356910
2016-09-06,1356910
2016-09-07,1291866
2016-09-08,1291866
2016-09-09,1291866
2016-09-10,1291866
2016-09-11,1228703
2016-09-12,1228703
2016-09-13,1228703
2016-09-14,1228703
2016-09-15,1169490
2016-09-16,1169490
2016-09-17,1169490
2016-09-18,1169490
2016-09-19,1111690
2016-09-20,1111690
2016-09-21,1111690
2016-09-22,1111690
2016-09-23,1058728
2016-09-24,1058728
2016-09-25,1058728
2016-09-26,1058728
2016-09-27,1058728
2016-09-28,1006948
2016-09-29,1006948
2016-09-30,1006948
2016-10-01,1006948
2016-10-02,960412
2016-10-03,960412
2016-10-04,960412
2016-10-05,960412
2016-10-06,960412
2016-10-07,914158
2016-10-08,914158
2016-10-09,914158
2016-10-10,869893
2016-10-11,869893
2016-10-12,869893
2016-10-13,869893
2016-10-14,828422
2016-10-15,828422
2016-10-16,828422
2016-10-17,828422
2016-10-18,788354
2016-10-19,788354
2016-10-20,788354
2016-10-21,788354
2016-10-22,788354
2016-10-23,749482
2016-10-24,749482
2016-10-25,749482
2016-10-26,749482
2016-10-27,712292
2016-10-28,712292
2016-10-29,712292
2016-10-30,712292
2016-10-31,677524
2016-11-01,677524
2016-11-02,677524
2016-11-03,677524
2016-11-04,677524
2016-11-05,644639
2016-11-06,644639
2016-11-07,644639
2016-11-08,644639
2016-11-09,613679
2016-11-10,613679
2016-11-11,613679
2016-11-12,613679
2016-11-13,584043
2016-11-14,584043
2016-11-15,584043
2016-12-07,414007
2016-12-08,414007
2016-12-09,394038
2016-12-10,394038
2016-12-11,394038
2016-12-12,375140
2016-12-13,375140
2016-12-14,375140
2016-12-15,356979
2016-12-16,356979
2016-12-17,356979
2016-12-18,356979
2016-12-19,339701
2016-12-20,339701
2016-12-21,339701
2016-12-22,323174
2016-12-23,323174
2016-12-24,323174
2016-12-25,307576
2016-12-26,307576
2016-12-27,307576
2016-12-28,292820
2016-12-29,292820
2016-12-30,292820
2016-12-31,278777
2017-01-01,278777
2017-01-02,278777
2017-01-03,265509
2017-01-04,265509
2017-01-05,252801
2017-01-06,252801
2017-01-07,240833
2017-01-08,240833
2017-01-09,240833
2017-01-10,229303
2017-01-11,229303
2017-01-12,229303
2017-01-13,218121
2017-01-14,218121
2017-01-15,218121
2017-01-16,207583
2017-01-17,207583
2017-01-18,197577
2017-01-19,197577
2017-01-20,197577
2017-01-21,188115
2017-01-22,188115
2017-01-23,188115
2017-01-27,179257
2017-01-28,170725
2017-01-29,170725
2017-01-30,170725
2017-01-31,170725
2017-02-01,162556
2017-02-02,162556
2017-02-03,162556
2017-02-04,162556
2017-02-05,154789
2017-02-06,154789
2017-02-07,154789
2017-02-08,154789
2017-02-09,147344
2017-02-10,147344
2017-02-11,140207
2017-02-12,140207
2017-02-13,140207
2017-02-14,133399
2017-02-15,133399
2017-02-16,133399
2017-02-18,126869
2017-02-19,126869
2017-02-20,126869
2017-02-21,120655
2017-02-22,120655
2017-02-23,120655
2017-02-24,120655
2017-02-25,114868
2017-02-26,114868
2017-02-27,114868
2017-02-28,109266
2017-03-01,109266
2017-03-02,109266
2017-03-03,104024
2017-03-04,104024
2017-03-05,104024
2017-03-06,99170
2017-03-07,99170
2017-03-08,99170
2017-03-09,99170
2017-03-10,94398
2017-03-11,94398
2017-03-12,94398
2017-03-13,89807
2017-03-14,89807
2017-03-15,89807
2017-03-16,89807
2017-03-17,85423
2017-03-18,85423
2017-03-19,85423
2017-03-20,81309
2017-03-21,81309
