date_obj,Bandos%20robe%20legs price
2015-03-26,47110
2015-03-27,47110
2015-03-28,44877
2015-03-29,44877
2015-03-30,43408
2015-03-31,41418
2015-04-01,41418
2015-04-02,40825
2015-04-03,40825
2015-04-04,40320
2015-04-05,40320
2015-04-06,38926
2015-04-07,38926
2015-04-08,37737
2015-04-09,37737
2015-04-10,36593
2015-04-11,36593
2015-04-12,35940
2015-04-13,35940
2015-04-14,35646
2015-04-15,35646
2015-04-16,34490
2015-04-17,34490
2015-04-18,33565
2015-04-19,33565
2015-04-20,32721
2015-04-21,33144
2015-04-22,33144
2015-04-23,33175
2015-04-24,33175
2015-04-25,33252
2015-04-26,33252
2015-04-27,32944
2015-04-28,32656
2015-04-29,32656
2015-04-30,32673
2015-05-01,32432
2015-05-02,32432
2015-05-03,32316
2015-05-04,32316
2015-05-05,32217
2015-05-06,32217
2015-05-07,32027
2015-05-08,32027
2015-05-09,31452
2015-05-10,31452
2015-05-11,30839
2015-05-12,30652
2015-05-13,30652
2015-05-14,30900
2015-05-15,30900
2015-05-16,30886
2015-05-17,31495
2015-05-18,31495
2015-05-19,31903
2015-05-20,31903
2015-05-21,31903
2015-05-22,31447
2015-05-23,31447
2015-05-24,31270
2015-05-25,31028
2015-05-26,31028
2015-05-27,31096
2015-05-28,31096
2015-05-29,31201
2015-05-30,31385
2015-05-31,31385
2015-06-01,30993
2015-06-02,30993
2015-06-03,31700
2015-06-04,31700
2015-06-05,32760
2015-06-06,32760
2015-06-07,33146
2015-06-08,33146
2015-06-09,32667
2015-06-10,33309
2015-06-11,33309
2015-06-12,33857
2015-06-13,34029
2015-06-14,34029
2015-06-15,35054
2015-06-16,35054
2015-06-17,36269
2015-06-18,37925
2015-06-19,37925
2015-06-20,39460
2015-06-21,39460
2015-06-22,40415
2015-06-23,40415
2015-06-24,41306
2015-06-25,41306
2015-06-26,41577
2015-06-27,41577
2015-06-28,41940
2015-06-29,41940
2015-06-30,43981
2015-07-01,43981
2015-07-02,45953
2015-07-03,45953
2015-07-04,46097
2015-07-05,46097
2015-07-06,46157
2015-07-07,46157
2015-07-08,46829
2015-07-09,46829
2015-07-10,48717
2015-07-11,48717
2015-07-12,48717
2015-07-13,49722
2015-07-14,49722
2015-07-15,49697
2015-07-16,49697
2015-07-17,49526
2015-07-18,49526
2015-07-19,49220
2015-07-20,49220
2015-07-21,49426
2015-07-22,49622
2015-07-23,49622
2015-07-24,48955
2015-07-25,48955
2015-07-26,49505
2015-07-27,49505
2015-07-28,47705
2015-07-29,47249
2015-07-30,47249
2015-07-31,47249
2015-08-01,46435
2015-08-02,45902
2015-08-03,45902
2015-08-04,44950
2015-08-05,43357
2015-08-06,43357
2015-08-07,41400
2015-08-08,40945
2015-08-09,40945
2015-08-10,40209
2015-08-11,40117
2015-08-12,40117
2015-08-13,39906
2015-08-14,39879
2015-08-15,39879
2015-08-16,39637
2015-08-17,40651
2015-08-18,40651
2015-08-19,41077
2015-08-20,41077
2015-08-21,41470
2015-08-22,42542
2015-08-23,42542
2015-08-24,43021
2015-08-25,43021
2015-08-26,44294
2015-08-27,45080
2015-08-28,45080
2015-08-29,45997
2015-08-30,45997
2015-08-31,47272
2015-09-01,47272
2015-09-02,48752
2015-09-03,48752
2015-09-04,49296
2015-09-05,49296
2015-09-06,50507
2015-09-07,50507
2015-09-08,49851
2015-09-09,49851
2015-09-10,50624
2015-09-11,50624
2015-09-12,50598
2015-09-13,50598
2015-09-14,49266
2015-09-15,49512
2015-09-16,49512
2015-09-17,48772
2015-09-18,48772
2015-09-19,50645
2015-09-20,50645
2015-09-21,50933
2015-09-22,50933
2015-09-23,51345
2015-09-24,51345
2015-09-25,51345
2015-09-27,52245
2015-09-28,52369
2015-09-29,52369
2015-09-30,52944
2015-10-05,53104
2015-10-06,53104
2015-10-07,52830
2015-10-08,52830
2015-10-09,52342
2015-10-10,52342
2015-10-11,51943
2015-10-12,51943
2015-10-13,51288
2015-10-14,51288
2015-10-15,49780
2015-10-16,49780
2015-10-17,49780
2015-10-18,48581
2015-10-19,48581
2015-10-20,46551
2015-10-22,46551
2015-10-23,44747
2015-10-24,44747
2015-10-25,43350
2015-10-26,43350
2015-10-27,41947
2015-10-28,41947
2015-10-29,40402
2015-10-30,40402
2015-10-31,40969
2015-11-01,40969
2015-11-02,40172
2015-11-03,40172
2015-11-04,40172
2015-11-05,39128
2015-11-06,39128
2015-11-07,39128
2015-11-08,38096
2015-11-09,38096
2015-11-10,37917
2015-11-11,37917
2015-11-12,37785
2015-11-13,37785
2015-11-14,37785
2015-11-15,37126
2015-11-16,37126
2015-11-17,38064
2015-11-18,38064
2015-11-19,37890
2015-11-20,37890
2015-11-21,38228
2015-11-22,39884
2015-11-23,39884
2015-11-24,41828
2015-11-25,41828
2015-11-26,43858
2015-11-27,43858
2015-11-28,45883
2015-11-29,45883
2015-11-30,47729
2015-12-01,47729
2015-12-02,47919
2015-12-03,47919
2015-12-04,48807
2015-12-05,48807
2015-12-06,49638
2015-12-07,49638
2015-12-08,49767
2015-12-09,49767
2015-12-10,49617
2015-12-11,49617
2015-12-12,48903
2015-12-13,48903
2015-12-14,48903
2015-12-15,47379
2015-12-16,47379
2015-12-17,46520
2015-12-18,46520
2015-12-19,45478
2015-12-20,45569
2015-12-21,45569
2015-12-22,46106
2015-12-23,46106
2015-12-24,46060
2015-12-25,46060
2015-12-26,48280
2015-12-27,48280
2015-12-28,48263
2015-12-29,47123
2015-12-30,47123
2015-12-31,45497
2016-01-01,45497
2016-01-02,44469
2016-01-03,43357
2016-01-04,41962
2016-01-05,41962
2016-01-06,41103
2016-01-07,41103
2016-01-08,40485
2016-01-09,40485
2016-01-10,40760
2016-01-11,40760
2016-01-12,39798
2016-01-13,39798
2016-01-14,38560
2016-01-15,38560
2016-01-16,37251
2016-01-17,37251
2016-01-18,35525
2016-01-19,35525
2016-01-20,34903
2016-01-21,34903
2016-01-22,35367
2016-01-23,35367
2016-01-24,34352
2016-01-25,34644
2016-01-26,34644
2016-01-27,35091
2016-01-28,35091
2016-01-29,35846
2016-01-30,35846
2016-01-31,34919
2016-02-01,34919
2016-02-02,34847
2016-02-03,34847
2016-02-04,36537
2016-02-05,36537
2016-02-06,37861
2016-02-07,37861
2016-02-08,37861
2016-02-09,38089
2016-02-10,38089
2016-02-11,38511
2016-02-12,38511
2016-02-13,38608
