date_obj,Tin%20ore price
2015-03-26,16
2015-03-27,16
2015-03-28,15
2015-03-29,15
2015-03-30,16
2015-03-31,17
2015-04-01,18
2015-04-02,18
2015-04-03,19
2015-04-04,20
2015-04-05,21
2015-04-06,22
2015-04-07,24
2015-04-08,26
2015-04-09,28
2015-04-10,29
2015-04-11,30
2015-04-12,29
2015-04-13,28
2015-04-14,26
2015-04-15,24
2015-04-16,22
2015-04-17,21
2015-04-18,19
2015-04-19,18
2015-04-20,17
2015-04-21,16
2015-04-22,17
2015-04-23,18
2015-04-24,19
2015-04-25,19
2015-04-26,19
2015-04-27,20
2015-04-28,21
2015-04-29,21
2015-04-30,23
2015-05-01,24
2015-05-02,26
2015-05-03,26
2015-05-04,25
2015-05-05,24
2015-05-06,25
2015-05-07,27
2015-05-08,28
2015-05-09,30
2015-05-10,31
2015-05-11,31
2015-05-12,31
2015-05-13,31
2015-05-14,30
2015-05-15,31
2015-05-16,31
2015-05-17,30
2015-05-18,28
2015-05-19,27
2015-05-20,27
2015-05-21,25
2015-05-22,24
2015-05-23,25
2015-05-24,25
2015-05-25,24
2015-05-26,23
2015-05-27,23
2015-05-28,24
2015-05-29,25
2015-05-30,24
2015-05-31,25
2015-06-01,24
2015-06-02,24
2015-06-03,25
2015-06-04,25
2015-06-05,26
2015-06-06,26
2015-06-07,25
2015-06-08,24
2015-06-09,22
2015-06-10,21
2015-06-11,22
2015-06-12,22
2015-06-13,23
2015-06-14,24
2015-06-15,25
2015-06-16,26
2015-06-17,27
2015-06-18,27
2015-06-19,27
2015-06-20,27
2015-06-21,26
2015-06-22,26
2015-06-23,26
2015-06-24,25
2015-06-25,25
2015-06-26,26
2015-06-27,26
2015-06-28,27
2015-06-29,27
2015-06-30,26
2015-07-01,25
2015-07-02,25
2015-07-03,26
2015-07-04,26
2015-07-05,27
2015-07-06,28
2015-07-07,28
2015-07-08,29
2015-07-09,29
2015-07-10,28
2015-07-11,28
2015-07-12,28
2015-07-13,28
2015-07-14,27
2015-07-15,27
2015-07-16,26
2015-07-17,26
2015-07-18,27
2015-07-19,27
2015-07-20,27
2015-07-21,27
2015-07-22,27
2015-07-23,27
2015-07-24,27
2015-07-25,29
2015-07-26,30
2015-07-27,30
2015-07-28,31
2015-07-29,32
2015-07-30,33
2015-07-31,33
2015-08-01,34
2015-08-02,34
2015-08-03,34
2015-08-04,33
2015-08-05,33
2015-08-06,32
2015-08-07,32
2015-08-08,31
2015-08-09,31
2015-08-10,31
2015-08-11,31
2015-08-12,31
2015-08-13,30
2015-08-14,30
2015-08-15,30
2015-08-16,30
2015-08-17,29
2015-08-18,28
2015-08-19,28
2015-08-20,28
2015-08-21,28
2015-08-22,27
2015-08-23,26
2015-08-24,26
2015-08-25,26
2015-08-26,26
2015-08-27,26
2015-08-28,26
2015-08-29,26
2015-08-30,26
2015-08-31,27
2015-09-01,28
2015-09-02,30
2015-09-03,31
2015-09-04,33
2015-09-05,33
2015-09-06,33
2015-09-07,33
2015-09-08,32
2015-09-09,31
2015-09-10,30
2015-09-11,29
2015-09-12,28
2015-09-13,27
2015-09-14,25
2015-09-15,24
2015-09-16,23
2015-09-17,24
2015-09-18,25
2015-09-19,26
2015-09-20,25
2015-09-21,26
2015-09-22,26
2015-09-23,25
2015-09-24,25
2015-09-25,23
2015-09-27,25
2015-09-28,25
2015-09-29,27
2015-09-30,28
2015-10-05,25
2015-10-06,26
2015-10-07,28
2015-10-08,30
2015-10-09,31
2015-10-10,31
2015-10-11,32
2015-10-12,34
2015-10-13,34
2015-10-14,36
2015-10-15,38
2015-10-16,37
2015-10-17,37
2015-10-18,36
2015-10-19,34
2015-10-20,33
2015-10-22,31
2015-10-23,29
2015-10-24,27
2015-10-25,26
2015-10-26,25
2015-10-27,24
2015-10-29,22
2015-10-30,24
2015-10-31,22
2015-11-01,22
2015-11-02,20
2015-11-03,21
2015-11-04,22
2015-11-05,24
2015-11-06,25
2015-11-07,25
2015-11-08,24
2015-11-09,25
2015-11-10,27
2015-11-11,29
