date_obj,Ankou%20socks price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5000000
2016-07-11,5000000
2016-07-12,5000000
2016-07-13,5000000
2016-07-14,5000000
2016-07-15,5000000
2016-07-16,5000000
2016-07-17,5000000
2016-07-18,5000000
2016-07-23,5172211
2016-07-24,5172211
2016-07-25,5172211
2016-07-26,5172211
2016-07-27,5172211
2016-07-28,5172211
2016-07-29,5172211
2016-07-30,5172211
2016-07-31,5172211
2016-08-01,5172211
2016-08-02,5172211
2016-08-03,5172211
2016-08-04,5172211
2016-08-05,5172211
2016-08-06,5172211
2016-08-07,5172211
2016-08-08,5172211
2016-08-09,5172211
2016-08-10,5172211
2016-08-11,5172211
2016-08-12,5172211
2016-08-13,5172211
2016-08-14,5172211
2016-08-15,5172211
2016-08-16,5172211
2016-08-17,5172211
2016-08-18,5172211
2016-08-19,5172211
2016-08-20,5172211
2016-08-21,5172211
2016-08-22,5172211
2016-08-23,5172211
2016-08-24,5172211
2016-08-25,5297842
2016-08-26,5297842
2016-08-28,5297842
2016-08-31,5297842
2016-09-01,5297842
2016-09-02,5297842
2016-09-03,5297842
2016-09-04,5297842
2016-09-05,5297842
2016-09-06,5297842
2016-09-07,5297842
2016-09-08,5297842
2016-09-09,5297842
2016-09-10,5297842
2016-09-11,5297842
2016-09-12,5297842
2016-09-13,5297842
2016-09-14,5297842
2016-09-15,5297842
2016-09-16,5297842
2016-09-17,5297842
2016-09-18,5297842
2016-09-19,5297842
2016-09-20,5297842
2016-09-21,5297842
2016-09-22,5297842
2016-09-23,5297842
2016-09-24,5297842
2016-09-25,5297842
2016-09-26,5297842
2016-09-27,5297842
2016-09-28,5297842
2016-09-29,5297842
2016-09-30,5297842
2016-10-01,5297842
2016-10-02,5297842
2016-10-03,5330196
2016-10-04,5330196
2016-10-05,5330196
2016-10-06,5330196
2016-10-07,5330196
2016-10-08,5330196
2016-10-09,5330196
2016-10-10,5330196
2016-10-11,5330196
2016-10-12,5330196
2016-10-13,5330196
2016-10-14,5330196
2016-10-15,5330196
2016-10-16,5330196
2016-10-17,5330196
2016-10-18,5330196
2016-10-19,5330196
2016-10-20,5330196
2016-10-21,5330196
2016-10-22,5330196
2016-10-23,5330196
2016-10-24,5330196
2016-10-25,5330196
2016-10-26,5578498
2016-10-27,5578498
2016-10-28,5578498
2016-10-29,5578498
2016-10-30,5578498
2016-10-31,5578498
2016-11-01,5578498
2016-11-02,5578498
2016-11-03,5578498
2016-11-04,5578498
2016-11-05,5578498
2016-11-06,5578498
2016-11-07,5578498
2016-11-08,5578498
2016-11-09,5578498
2016-11-10,5578498
2016-11-11,5578498
2016-11-12,5578498
2016-11-13,5578498
2016-11-14,5578498
2016-11-15,5578498
2016-12-07,5835983
2016-12-08,5835983
2016-12-09,5835983
2016-12-10,5835983
2016-12-11,5835983
2016-12-12,5835983
2016-12-13,5835983
2016-12-14,5835983
2016-12-15,5835983
2016-12-16,5835983
2016-12-17,5835983
2016-12-18,5835983
2016-12-19,5944022
2016-12-20,5944022
2016-12-21,5944022
2016-12-22,5944022
2016-12-23,5944022
2016-12-24,5944022
2016-12-25,5944022
2016-12-26,5944022
2016-12-27,5944022
2016-12-28,5944022
2016-12-29,5944022
2016-12-30,5944022
2016-12-31,5944022
2017-01-01,5944022
2017-01-02,5944022
2017-01-03,5944022
2017-01-04,5944022
2017-01-05,5944022
2017-01-06,5944022
2017-01-07,5944022
2017-01-08,5944022
2017-01-09,5944022
2017-01-10,5944022
2017-01-11,5944022
2017-01-12,5944022
2017-01-13,5944022
2017-01-14,5944022
2017-01-15,5944022
2017-01-16,5973093
2017-01-17,5973093
2017-01-18,5973093
2017-01-19,5973093
2017-01-20,5973093
2017-01-21,5973093
2017-01-22,5973093
2017-01-23,5973093
2017-01-27,5973093
2017-01-28,5973093
2017-01-29,5973093
2017-01-30,5973093
2017-01-31,5973093
2017-02-01,5973093
2017-02-02,5973093
2017-02-03,5973093
2017-02-04,5973093
2017-02-05,5973093
2017-02-06,5973093
2017-02-07,5973093
2017-02-08,5973093
2017-02-09,5973093
2017-02-10,6244672
2017-02-11,6244672
2017-02-12,6244672
2017-02-13,6244672
2017-02-14,6244672
2017-02-15,6244672
2017-02-16,6244672
2017-02-17,6244672
2017-02-18,6244672
2017-02-19,6244672
2017-02-20,6244672
2017-02-21,6244672
2017-02-22,6244672
2017-02-23,6244672
2017-02-24,6244672
2017-02-25,6244672
2017-02-26,6244672
2017-02-27,6244672
2017-02-28,6244672
2017-03-01,6244672
2017-03-02,6244672
2017-03-03,6244672
2017-03-04,6244672
2017-03-05,6244672
2017-03-06,6244672
2017-03-07,6244672
2017-03-08,6334394
2017-03-09,6334394
2017-03-10,6334394
2017-03-11,6334394
2017-03-12,6334394
2017-03-13,6334394
2017-03-14,6334394
2017-03-15,6334394
2017-03-16,6334394
2017-03-17,6334394
2017-03-18,6334394
2017-03-19,6334394
2017-03-20,6334394
2017-03-21,6334394
2017-03-22,6334394
2017-03-23,6334394
2017-03-24,6334394
2017-03-25,6334394
2017-03-26,6334394
2017-03-27,6334394
2017-03-28,6334394
2017-03-29,6317120
2017-03-30,6317120
2017-03-31,6317120
2017-04-01,6317120
2017-04-02,6317120
2017-04-03,6317120
2017-04-04,6317120
2017-04-05,6317120
2017-04-12,6317120
2017-04-13,6317120
2017-04-14,6317120
2017-04-15,6317120
2017-04-16,6013949
2017-04-17,6013949
2017-04-18,6013949
2017-04-19,6013949
2017-04-20,6013949
2017-04-21,6013949
2017-04-22,6013949
2017-04-23,6013949
2017-04-24,6013949
2017-04-25,6013949
2017-04-26,6013949
2017-04-27,6013949
2017-04-28,6013949
2017-04-29,6013949
2017-04-30,6013949
2017-05-01,6013949
2017-05-02,6013949
2017-05-03,6013949
2017-05-04,6013949
2017-05-05,5724823
2017-05-06,5724823
2017-05-07,5724823
2017-05-08,5724823
2017-05-09,5724823
2017-05-10,5724823
2017-05-11,5724823
2017-05-12,5724823
2017-05-13,5724823
2017-05-14,5724823
2017-05-15,5724823
2017-05-16,5724823
2017-05-17,5724823
2017-05-18,5724823
2017-05-19,5724823
2017-05-20,5724823
2017-05-21,5724823
2017-05-22,5724823
2017-05-23,5724823
2017-05-24,5724823
2017-05-25,5724823
2017-05-26,5724823
2017-05-27,5724823
2017-05-28,5438581
2017-05-29,5438581
2017-05-30,5438581
2017-05-31,5438581
2017-06-01,5438581
2017-06-02,5438581
2017-06-03,5438581
2017-06-04,5438581
2017-06-05,5438581
2017-06-06,5438581
2017-06-07,5438581
2017-06-08,5438581
2017-06-09,5438581
2017-06-10,5438581
2017-06-11,5438581
