date_obj,Magic%20seed price
2015-03-05,88298
2015-03-06,88440
2015-03-07,85669
2015-03-08,82939
2015-03-09,84533
2015-03-10,85826
2015-03-11,87807
2015-03-12,92197
2015-03-13,95022
2015-03-14,93875
2015-03-15,92921
2015-03-16,92657
2015-03-17,90431
2015-03-18,89936
2015-03-19,93334
2015-03-20,92411
2015-03-21,88471
2015-03-22,88643
2015-03-23,89277
2015-03-24,89936
2015-03-25,89964
2015-03-26,90593
2015-03-27,91177
2015-03-28,90971
2015-03-29,91328
2015-03-30,90795
2015-03-31,88698
2015-04-01,86567
2015-04-02,87012
2015-04-03,86514
2015-04-04,84676
2015-04-05,81618
2015-04-06,81263
2015-04-07,81637
2015-04-08,80229
2015-04-09,79394
2015-04-10,78572
2015-04-11,78818
2015-04-12,79889
2015-04-13,80453
2015-04-14,81961
2015-04-15,83595
2015-04-16,82707
2015-04-17,83597
2015-04-18,85138
2015-04-19,86531
2015-04-20,85796
2015-04-21,86149
2015-04-22,85820
2015-04-23,86015
2015-04-24,86357
2015-04-25,84150
2015-04-26,84581
2015-04-27,85112
2015-04-28,86673
2015-04-29,88562
2015-04-30,90169
2015-05-01,90519
2015-05-02,90527
2015-05-03,86983
2015-05-04,86431
2015-05-05,87712
2015-05-06,87697
2015-05-07,84324
2015-05-08,83107
2015-05-09,81828
2015-05-10,82550
2015-05-11,82295
2015-05-12,81730
2015-05-13,82140
2015-05-14,82032
2015-05-15,81379
2015-05-16,79474
2015-05-17,79916
2015-05-18,80445
2015-05-19,78737
2015-05-20,80228
2015-05-21,82178
2015-05-22,83289
2015-05-23,83853
2015-05-24,84140
2015-05-25,84412
2015-05-26,84056
2015-05-27,84349
2015-05-28,82540
2015-05-29,81016
2015-05-30,80520
2015-05-31,81852
2015-06-01,81243
2015-06-02,78989
2015-06-03,78575
2015-06-04,78571
2015-06-05,79925
2015-06-06,81484
2015-06-07,81390
2015-06-08,81890
2015-06-09,82439
2015-06-10,82887
2015-06-11,82133
2015-06-12,82792
2015-06-13,83327
2015-06-14,81969
2015-06-15,81496
2015-06-16,80289
2015-06-17,80764
2015-06-18,78923
2015-06-19,78318
2015-06-20,79998
2015-06-21,78511
2015-06-22,79318
2015-06-23,79789
2015-06-24,78905
2015-06-25,77917
2015-06-26,76241
2015-06-27,74393
2015-06-28,72188
2015-06-29,73254
2015-06-30,74792
2015-07-01,73964
2015-07-02,74550
2015-07-03,74418
2015-07-04,74290
2015-07-05,74261
2015-07-06,73339
2015-07-07,73180
2015-07-08,72322
2015-07-09,71660
2015-07-10,72556
2015-07-11,72509
2015-07-12,69662
2015-07-13,69438
2015-07-14,67967
2015-07-15,66758
2015-07-16,68578
2015-07-17,69198
2015-07-18,68469
2015-07-19,67144
2015-07-20,66766
2015-07-21,66540
2015-07-22,67627
2015-07-23,68002
2015-07-24,70839
2015-07-25,73672
2015-07-26,75038
2015-07-27,75136
2015-07-28,74031
2015-07-29,76069
2015-07-30,74843
2015-07-31,76962
2015-08-01,76197
2015-08-02,76176
2015-08-03,74307
2015-08-04,74842
2015-08-05,76242
2015-08-06,78992
2015-08-07,77846
2015-08-08,78928
2015-08-09,81006
2015-08-10,83260
2015-08-11,83765
2015-08-12,82635
2015-08-13,82169
2015-08-14,82585
2015-08-15,79321
2015-08-16,81767
2015-08-17,83215
2015-08-18,84321
2015-08-19,84455
2015-08-20,86010
2015-08-21,87536
2015-08-22,89238
2015-08-23,86713
2015-08-24,88610
2015-08-25,90009
2015-08-26,91161
2015-08-27,91417
2015-08-28,92429
2015-08-29,90395
2015-08-30,87116
2015-08-31,87116
2015-09-02,84208
2015-09-07,87854
2015-09-08,89452
2015-09-10,89646
2015-09-14,95163
2015-09-16,103519
2015-09-22,103254
2015-09-23,105916
2015-09-24,107811
2015-09-25,107197
2015-09-27,106985
2015-09-28,107752
2015-09-29,107438
2015-09-30,103614
2015-10-05,93960
2015-10-06,98460
2015-10-07,96914
2015-10-08,98353
2015-10-09,98650
2015-10-10,96782
2015-10-11,94815
2015-10-12,95266
2015-10-13,96109
2015-10-14,97818
2015-10-15,101622
2015-10-16,101949
2015-10-17,101279
2015-10-18,103181
2015-10-19,105181
2015-10-20,106731
2015-10-22,108850
2015-10-23,106177
2015-10-24,106104
2015-10-25,105421
2015-10-26,101338
2015-10-27,99310
2015-10-29,95716
2015-10-30,96771
2015-10-31,98102
2015-11-01,98322
2015-11-02,99901
2015-11-03,98797
2015-11-04,99934
2015-11-05,99695
2015-11-06,102519
2015-11-07,102887
2015-11-08,100781
2015-11-09,99849
2015-11-10,101347
2015-11-11,100776
2015-11-12,101534
2015-11-13,102860
2015-11-14,102983
2015-11-15,102393
2015-11-16,100975
2015-11-17,103249
