date_obj,Yew%20stock price
2015-03-26,145
2015-03-27,145
2015-03-28,145
2015-03-29,145
2015-03-30,145
2015-03-31,145
2015-04-01,145
2015-04-02,145
2015-04-03,145
2015-04-04,145
2015-04-05,145
2015-04-06,145
2015-04-07,145
2015-04-08,145
2015-04-09,145
2015-04-10,145
2015-04-11,145
2015-04-12,145
2015-04-13,145
2015-04-14,145
2015-04-15,145
2015-04-16,145
2015-04-17,145
2015-04-18,145
2015-04-19,145
2015-04-20,145
2015-04-21,145
2015-04-22,145
2015-04-23,145
2015-04-24,145
2015-04-25,145
2015-04-26,144
2015-04-27,144
2015-04-28,144
2015-04-29,144
2015-04-30,144
2015-05-01,144
2015-05-02,144
2015-05-03,144
2015-05-04,144
2015-05-05,144
2015-05-06,144
2015-05-07,144
2015-05-08,144
2015-05-09,144
2015-05-10,144
2015-05-11,144
2015-05-12,144
2015-05-13,144
2015-05-14,144
2015-05-15,144
2015-05-16,144
2015-05-17,144
2015-05-18,144
2015-05-19,144
2015-05-20,144
2015-05-21,144
2015-05-22,144
2015-05-23,144
2015-05-24,144
2015-05-25,144
2015-05-26,144
2015-05-27,144
2015-05-28,139
2015-05-29,139
2015-05-30,139
2015-05-31,139
2015-06-01,139
2015-06-02,139
2015-06-03,139
2015-06-04,139
2015-06-05,139
2015-06-06,139
2015-06-07,139
2015-06-08,139
2015-06-09,139
2015-06-10,139
2015-06-11,139
2015-06-12,139
2015-06-13,139
2015-06-14,139
2015-06-15,139
2015-06-16,139
2015-06-17,139
2015-06-18,139
2015-06-19,139
2015-06-20,139
2015-06-21,139
2015-06-22,139
2015-06-23,139
2015-06-24,139
2015-06-25,139
2015-06-26,139
2015-06-27,139
2015-06-28,139
2015-06-29,139
2015-06-30,142
2015-07-01,142
2015-07-02,142
2015-07-03,142
2015-07-04,142
2015-07-05,142
2015-07-06,142
2015-07-07,142
2015-07-08,142
2015-07-09,142
2015-07-10,142
2015-07-11,142
2015-07-12,142
2015-07-13,142
2015-07-14,142
2015-07-15,142
2015-07-16,142
2015-07-17,142
2015-07-18,142
2015-07-19,142
2015-07-20,142
2015-07-21,142
2015-07-22,142
2015-07-23,142
2015-07-24,142
2015-07-25,142
2015-07-26,142
2015-07-27,142
2015-07-28,142
2015-07-29,142
2015-07-30,142
2015-07-31,142
2015-08-01,141
2015-08-02,141
2015-08-03,141
2015-08-04,141
2015-08-05,141
2015-08-06,141
2015-08-07,141
2015-08-08,141
2015-08-09,141
2015-08-10,141
2015-08-11,141
2015-08-12,141
2015-08-13,141
2015-08-14,141
2015-08-15,141
2015-08-16,141
2015-08-17,141
2015-08-18,141
2015-08-19,141
2015-08-20,141
2015-08-21,141
2015-08-22,141
2015-08-23,141
2015-08-24,141
2015-08-25,141
2015-08-26,141
2015-08-27,141
2015-08-28,141
2015-08-29,141
2015-08-30,141
2015-08-31,141
2015-09-01,141
