date_obj,Mud%20rune price
2015-03-26,356
2015-03-27,356
2015-03-28,338
2015-03-29,338
2015-03-30,321
2015-03-31,321
2015-04-01,321
2015-04-02,304
2015-04-03,304
2015-04-04,301
2015-04-05,301
2015-04-06,301
2015-04-07,304
2015-04-08,304
2015-04-09,304
2015-04-10,302
2015-04-11,302
2015-04-12,302
2015-04-13,294
2015-04-14,294
2015-04-15,294
2015-04-16,280
2015-04-17,280
2015-04-18,280
2015-04-19,266
2015-04-20,266
2015-04-21,266
2015-04-22,266
2015-04-23,252
2015-04-24,252
2015-04-25,252
2015-04-26,239
2015-04-27,239
2015-04-28,239
2015-04-29,227
2015-04-30,227
2015-05-01,215
2015-05-02,215
2015-05-03,215
2015-05-04,204
2015-05-05,204
2015-05-06,204
2015-05-07,193
2015-05-08,193
2015-05-09,193
2015-05-10,186
2015-05-11,186
2015-05-12,186
2015-05-13,180
2015-05-14,180
2015-05-15,180
2015-05-16,178
2015-05-17,178
2015-05-18,179
2015-05-19,179
2015-05-20,179
2015-05-21,179
2015-05-22,187
2015-05-23,187
2015-05-24,187
2015-05-25,190
2015-05-26,190
2015-05-27,190
2015-05-28,180
2015-05-29,180
2015-05-30,171
2015-05-31,171
2015-06-01,165
2015-06-02,165
2015-06-03,165
2015-06-04,170
2015-06-05,170
2015-06-06,177
2015-06-07,177
2015-06-08,177
2015-06-09,185
2015-06-10,185
2015-06-11,185
2015-06-12,188
2015-06-13,188
2015-06-14,188
2015-06-15,192
2015-06-16,192
2015-06-17,192
2015-06-18,190
2015-06-19,190
2015-06-20,190
2015-06-21,184
2015-06-22,184
2015-06-23,184
2015-06-24,185
2015-06-25,185
2015-06-26,185
2015-06-27,176
2015-06-28,176
2015-06-29,167
2015-06-30,167
2015-07-01,167
2015-07-02,160
2015-07-03,160
2015-07-04,152
2015-07-05,152
2015-07-06,152
2015-07-07,144
2015-07-08,144
2015-07-09,144
2015-07-10,136
2015-07-11,136
2015-07-12,136
2015-07-13,138
2015-07-14,138
2015-07-15,138
2015-07-16,141
2015-07-17,141
2015-07-18,141
2015-07-19,141
2015-07-20,141
2015-07-21,141
2015-07-22,146
2015-07-23,146
2015-07-24,146
2015-07-25,139
2015-07-26,139
2015-07-27,139
2015-07-28,141
2015-07-29,141
2015-07-30,139
2015-07-31,139
2015-08-01,139
2015-08-02,134
2015-08-03,134
2015-08-04,134
2015-08-05,135
2015-08-06,135
2015-08-07,135
2015-08-08,141
2015-08-09,141
2015-08-10,140
2015-08-11,140
2015-08-12,140
2015-08-13,140
2015-08-14,135
2015-08-15,135
2015-08-16,135
2015-08-17,135
2015-08-18,133
2015-08-19,133
2015-08-20,133
2015-08-21,130
2015-08-22,130
2015-08-23,130
2015-08-24,125
2015-08-25,125
2015-08-26,125
2015-08-27,125
2015-08-28,121
2015-08-29,121
2015-08-30,121
2015-08-31,121
2015-09-01,116
2015-09-02,116
2015-09-03,116
2015-09-04,116
2015-09-05,110
2015-09-06,110
2015-09-07,110
2015-09-08,110
2015-09-09,104
2015-09-10,104
2015-09-11,104
2015-09-12,101
2015-09-13,101
2015-09-14,101
2015-09-15,102
2015-09-16,102
2015-09-17,102
2015-09-18,102
2015-09-19,98
2015-09-20,98
2015-09-21,98
2015-09-22,98
2015-09-23,97
2015-09-24,97
2015-09-25,97
2015-09-27,97
2015-09-28,101
2015-09-29,101
2015-09-30,101
2015-10-05,107
2015-10-06,107
2015-10-07,107
2015-10-08,110
2015-10-09,110
2015-10-10,110
2015-10-11,110
2015-10-12,114
2015-10-13,114
2015-10-14,114
2015-10-15,114
2015-10-16,120
2015-10-17,120
2015-10-18,120
2015-10-19,120
2015-10-20,126
2015-10-22,126
2015-10-23,126
2015-10-24,126
2015-10-25,132
2015-10-26,132
2015-10-27,132
2015-10-29,137
2015-10-30,137
2015-10-31,137
2015-11-01,137
2015-11-02,137
2015-11-03,144
2015-11-04,144
2015-11-05,144
2015-11-06,144
2015-11-07,152
2015-11-08,152
2015-11-09,152
2015-11-10,152
2015-11-11,152
2015-11-12,152
2015-11-13,160
2015-11-14,160
2015-11-15,160
2015-11-16,160
2015-11-17,160
2015-11-18,167
2015-11-19,167
2015-11-20,167
2015-11-21,167
2015-11-22,172
2015-11-23,172
2015-11-24,172
2015-11-25,172
2015-11-26,172
2015-11-27,181
2015-11-28,181
2015-11-29,181
2015-11-30,181
2015-12-01,190
2015-12-02,190
2015-12-03,190
2015-12-04,190
2015-12-05,200
2015-12-06,200
2015-12-07,200
2015-12-08,200
2015-12-09,210
2015-12-10,210
2015-12-11,210
2015-12-12,210
2015-12-13,221
2015-12-14,221
2015-12-15,221
2015-12-16,221
2015-12-17,222
2015-12-18,222
2015-12-19,222
2015-12-20,210
2015-12-21,210
2015-12-22,210
2015-12-23,199
2015-12-24,199
2015-12-25,199
2015-12-26,199
2015-12-27,203
2015-12-28,203
2015-12-29,203
2015-12-30,198
2015-12-31,198
2016-01-01,198
2016-01-02,198
2016-01-03,195
2016-01-04,195
2016-01-05,195
2016-01-06,202
2016-01-07,202
2016-01-08,202
2016-01-09,202
2016-01-10,212
