date_obj,Emerald%20amulet price
2015-03-26,13604
2015-03-27,13604
2015-03-28,12935
2015-03-29,12935
2015-03-30,12935
2015-03-31,12935
2015-04-01,12935
2015-04-02,12310
2015-04-03,12310
2015-04-04,12310
2015-04-05,12310
2015-04-06,12310
2015-04-07,11708
2015-04-08,11708
2015-04-09,11708
2015-04-10,11708
2015-04-11,11708
2015-04-12,11147
2015-04-13,11147
2015-04-14,11147
2015-04-15,11147
2015-04-16,11147
2015-04-17,10600
2015-04-18,10600
2015-04-19,10600
2015-04-20,10600
2015-04-21,10600
2015-04-22,10600
2015-04-23,10089
2015-04-24,10089
2015-04-25,10089
2015-04-26,10089
2015-04-27,10089
2015-04-28,9593
2015-04-29,9593
2015-04-30,9593
2015-05-01,9593
2015-05-02,9113
2015-05-03,9113
2015-05-04,9113
2015-05-05,9113
2015-05-06,8657
2015-05-07,8657
2015-05-08,8657
2015-05-09,8657
2015-05-10,8224
2015-05-11,8224
2015-05-12,8224
2015-05-13,8224
2015-05-14,7827
2015-05-15,7827
2015-05-16,7827
2015-05-17,7827
2015-05-18,7827
2015-05-19,7445
2015-05-20,7445
2015-05-21,7445
2015-05-22,7445
2015-05-23,7445
2015-05-24,7096
2015-05-25,7096
2015-05-26,7096
2015-05-27,7096
2015-05-28,6755
2015-05-29,6755
2015-05-30,6755
2015-05-31,6429
2015-06-01,6429
2015-06-02,6429
2015-06-03,6429
2015-06-04,6429
2015-06-05,6122
2015-06-06,6122
2015-06-07,6122
2015-06-08,6122
2015-06-09,6122
2015-06-10,5821
2015-06-11,5821
2015-06-12,5821
2015-06-13,5821
2015-06-14,5821
2015-06-15,5821
2015-06-16,5536
2015-06-17,5536
2015-06-18,5536
2015-06-19,5536
2015-06-20,5536
2015-06-21,5264
2015-06-22,5264
2015-06-23,5264
2015-06-24,5264
2015-06-25,5264
2015-06-26,5014
2015-06-27,5014
2015-06-28,5014
2015-06-29,5014
2015-06-30,5014
2015-07-01,4766
2015-07-02,4766
2015-07-03,4766
2015-07-04,4766
2015-07-05,4766
2015-07-06,4766
2015-07-07,4539
2015-07-08,4539
2015-07-09,4539
2015-07-10,4539
2015-07-11,4539
2015-07-12,4539
2015-07-13,4318
2015-07-14,4318
2015-07-15,4318
2015-07-16,4318
2015-07-17,4318
2015-07-18,4115
2015-07-19,4115
2015-07-20,4115
2015-07-21,4115
2015-07-22,4115
2015-07-23,3916
2015-07-24,3916
2015-07-25,3916
2015-07-26,3916
2015-07-27,3916
2015-07-28,3721
2015-07-29,3721
2015-07-30,3721
2015-07-31,3721
2015-08-01,3721
2015-08-02,3541
2015-08-03,3541
2015-08-04,3541
2015-08-05,3541
2015-08-06,3541
2015-08-07,3366
2015-08-08,3366
2015-08-09,3366
2015-08-10,3366
2015-08-11,3199
2015-08-12,3199
2015-08-13,3199
2015-08-14,3199
2015-08-15,3199
2015-08-16,3199
2015-08-17,3199
2015-08-18,3199
2015-08-19,3045
2015-08-20,3045
2015-08-21,3045
2015-08-22,3045
2015-08-23,3045
2015-08-24,3045
2015-08-25,3045
2015-08-26,3045
