date_obj,Bottled%20dragonbreath price
2019-01-10,35005
2019-01-10,35002
2019-01-11,36480
2019-01-12,37632
2019-01-13,35976
2019-01-14,34177
2019-01-15,33423
2019-01-16,34666
2019-01-17,35826
2019-01-18,35174
2019-01-19,33420
2019-01-20,31800
2019-01-21,30210
2019-01-22,28699
2019-01-23,27264
2019-01-24,25900
2019-01-25,24605
2019-01-26,23374
2019-01-27,22442
2019-01-28,22452
2019-01-29,21403
2019-01-30,20332
2019-01-31,19315
2019-02-01,18349
2019-02-02,17431
2019-02-03,16559
2019-02-04,15731
2019-02-05,14945
2019-02-06,14248
2019-02-07,13535
2019-02-08,12858
2019-02-09,12215
2019-02-10,11604
2019-02-11,11023
2019-02-12,10487
2019-02-13,9978
2019-02-14,9600
2019-02-15,9781
2019-02-16,10182
2019-02-17,10215
2019-02-18,10032
2019-02-19,9833
2019-02-20,9591
2019-02-21,9839
2019-02-22,10331
2019-02-23,10711
2019-02-24,10983
2019-02-25,10785
2019-02-26,10308
2019-02-27,10214
2019-02-28,9912
2019-03-01,9788
2019-03-02,9492
2019-03-03,9249
2019-03-04,8981
2019-03-05,8545
2019-03-06,8117
2019-03-07,7860
2019-03-08,8110
2019-03-09,8449
2019-03-10,8641
2019-03-11,8951
2019-03-12,9119
2019-03-13,9575
2019-03-14,10052
2019-03-15,10487
2019-03-16,10782
2019-03-17,11176
2019-03-18,11711
2019-03-19,12183
2019-03-20,11889
2019-03-21,11654
2019-03-22,12092
2019-03-23,12094
2019-03-24,11753
2019-03-25,11810
2019-03-26,11922
2019-03-27,12345
2019-03-28,11785
2019-03-29,11394
2019-03-30,11031
2019-03-31,11052
2019-04-01,10963
2019-04-02,10835
2019-04-03,10525
2019-04-04,10317
2019-04-05,9956
2019-04-06,10088
2019-04-07,10370
2019-04-08,10777
2019-04-09,11222
2019-04-10,11282
2019-04-11,11607
2019-04-12,11328
2019-04-13,11407
2019-04-14,10969
2019-04-15,10800
2019-04-16,10291
2019-04-17,9789
2019-04-18,9299
2019-04-19,8847
2019-04-20,8404
2019-04-21,7986
2019-04-22,7760
2019-04-23,7372
2019-04-24,7189
2019-04-25,6889
2019-04-26,7165
2019-04-27,7522
2019-04-28,7815
2019-04-29,7947
2019-04-30,8109
2019-05-01,7892
2019-05-02,8195
2019-05-03,8478
2019-05-04,8379
2019-05-05,8595
2019-05-06,8805
2019-05-07,8903
2019-05-08,9263
2019-05-09,9273
2019-05-10,9158
2019-05-11,9586
2019-05-12,9952
2019-05-13,10418
2019-05-14,10912
2019-05-15,10713
2019-05-16,10361
2019-05-17,10259
2019-05-18,10716
2019-05-19,10475
2019-05-20,10214
2019-05-21,10080
2019-05-22,9842
2019-05-23,9559
2019-05-24,9440
2019-05-25,9710
2019-05-26,9949
2019-05-27,9745
2019-05-28,9845
2019-05-29,9755
2019-05-30,9562
2019-05-31,9914
2019-06-01,10154
2019-06-02,9832
2019-06-03,10172
2019-06-04,10585
2019-06-05,11115
2019-06-06,11525
2019-06-07,11566
2019-06-08,11657
2019-06-09,11650
2019-06-10,11112
2019-06-11,11485
2019-06-12,11734
2019-06-13,12093
2019-06-14,12542
2019-06-15,13151
2019-06-16,13285
2019-06-17,13459
2019-06-18,13821
2019-06-19,13423
2019-06-20,12827
2019-06-21,12185
2019-06-22,11575
2019-06-23,11145
2019-06-24,11317
2019-06-25,10794
2019-06-26,10304
2019-06-27,9852
2019-06-28,9657
2019-06-29,9498
2019-06-30,9095
2019-07-01,8971
2019-07-02,8651
2019-07-03,8409
2019-07-04,8317
2019-07-05,8107
2019-07-06,8297
2019-07-07,8617
2019-07-08,8978
2019-07-09,8818
2019-07-10,9185
2019-07-11,9609
2019-07-12,9902
2019-07-13,10181
2019-07-14,10327
2019-07-15,10842
2019-07-16,11385
2019-07-17,11955
2019-07-18,12553
2019-07-19,13096
2019-07-20,13067
2019-07-21,12483
2019-07-22,12391
2019-07-23,12473
2019-07-24,13028
2019-07-25,13566
