date_obj,Magic%20longbow price
2015-03-26,1369
2015-03-27,1369
2015-03-28,1366
2015-03-29,1371
2015-03-30,1371
2015-03-31,1378
2015-04-01,1380
2015-04-02,1379
2015-04-03,1381
2015-04-04,1381
2015-04-05,1382
2015-04-06,1385
2015-04-07,1390
2015-04-08,1389
2015-04-09,1383
2015-04-10,1381
2015-04-11,1377
2015-04-12,1370
2015-04-13,1367
2015-04-14,1361
2015-04-15,1374
2015-04-16,1373
2015-04-17,1382
2015-04-18,1377
2015-04-19,1379
2015-04-20,1393
2015-04-21,1397
2015-04-22,1400
2015-04-23,1395
2015-04-24,1389
2015-04-25,1386
2015-04-26,1386
2015-04-27,1390
2015-04-28,1389
2015-04-29,1393
2015-04-30,1401
2015-05-01,1391
2015-05-02,1388
2015-05-03,1388
2015-05-04,1388
2015-05-05,1386
2015-05-06,1391
2015-05-07,1383
2015-05-08,1370
2015-05-09,1356
2015-05-10,1353
2015-05-11,1355
2015-05-12,1374
2015-05-13,1390
2015-05-14,1382
2015-05-15,1378
2015-05-16,1373
2015-05-17,1380
2015-05-18,1391
2015-05-19,1398
2015-05-20,1393
2015-05-21,1386
2015-05-22,1384
2015-05-23,1390
2015-05-24,1388
2015-05-25,1388
2015-05-26,1381
2015-05-27,1378
2015-05-28,1381
2015-05-29,1383
2015-05-30,1390
2015-05-31,1387
2015-06-01,1383
2015-06-02,1384
2015-06-03,1395
2015-06-04,1414
2015-06-05,1441
2015-06-06,1458
2015-06-07,1470
2015-06-08,1449
2015-06-09,1446
2015-06-10,1464
2015-06-11,1462
2015-06-12,1455
2015-06-13,1453
2015-06-14,1432
2015-06-15,1415
2015-06-16,1424
2015-06-17,1430
2015-06-18,1427
2015-06-19,1421
2015-06-20,1415
2015-06-21,1411
2015-06-22,1420
2015-06-23,1420
2015-06-24,1427
2015-06-25,1431
2015-06-26,1447
2015-06-27,1439
2015-06-28,1427
2015-06-29,1418
2015-06-30,1418
2015-07-01,1430
2015-07-02,1444
2015-07-03,1443
2015-07-04,1440
2015-07-05,1422
2015-07-06,1412
2015-07-07,1411
2015-07-08,1402
2015-07-09,1398
2015-07-10,1404
2015-07-11,1398
2015-07-12,1367
2015-07-13,1367
2015-07-14,1379
2015-07-15,1393
2015-07-16,1388
2015-07-17,1391
2015-07-18,1403
2015-07-19,1393
2015-07-20,1386
2015-07-21,1390
2015-07-22,1416
2015-07-23,1413
2015-07-24,1419
2015-07-25,1431
2015-07-26,1426
2015-07-27,1421
2015-07-28,1440
2015-07-29,1447
2015-07-30,1452
2015-07-31,1459
2015-08-01,1458
2015-08-02,1425
2015-08-03,1408
2015-08-04,1415
2015-08-05,1428
2015-08-06,1458
2015-08-07,1470
2015-08-08,1445
2015-08-09,1433
2015-08-10,1443
2015-08-11,1431
2015-08-12,1422
2015-08-13,1415
2015-08-14,1409
2015-08-15,1408
2015-08-16,1412
2015-08-17,1403
2015-08-18,1393
2015-08-19,1416
2015-08-20,1427
2015-08-21,1436
2015-08-22,1429
2015-08-23,1428
2015-08-24,1424
2015-08-25,1425
2015-08-26,1426
2015-08-27,1437
2015-08-28,1443
2015-08-29,1446
2015-08-30,1457
2015-08-31,1435
2015-09-01,1431
2015-09-02,1429
2015-09-03,1415
2015-09-04,1421
2015-09-05,1423
2015-09-06,1422
2015-09-07,1419
2015-09-08,1417
2015-09-09,1422
2015-09-10,1431
2015-09-11,1442
2015-09-12,1438
2015-09-13,1427
2015-09-14,1423
2015-09-15,1421
2015-09-16,1423
2015-09-17,1439
2015-09-18,1443
2015-09-19,1439
2015-09-20,1437
2015-09-21,1434
2015-09-22,1445
2015-09-23,1441
2015-09-24,1454
2015-09-25,1467
2015-09-27,1440
2015-09-28,1442
2015-09-29,1455
2015-09-30,1479
2015-10-05,1441
2015-10-06,1446
2015-10-07,1474
2015-10-08,1463
2015-10-09,1468
2015-10-10,1440
2015-10-11,1441
2015-10-12,1437
2015-10-13,1439
2015-10-14,1435
2015-10-15,1437
2015-10-16,1440
2015-10-17,1440
2015-10-18,1444
2015-10-19,1443
2015-10-20,1454
2015-10-22,1475
2015-10-23,1480
2015-10-24,1459
2015-10-25,1443
2015-10-26,1422
2015-10-27,1422
2015-10-29,1438
