date_obj,Volcanic%20whip%20mix price
2015-03-26,141742
2015-03-27,141742
2015-03-28,141742
2015-03-29,143774
2015-03-30,143774
2015-03-31,143774
2015-04-01,140663
2015-04-02,140663
2015-04-03,142894
2015-04-04,142894
2015-04-05,142894
2015-04-06,142104
2015-04-07,142104
2015-04-08,142104
2015-04-09,140200
2015-04-10,140200
2015-04-11,140200
2015-04-12,133743
2015-04-13,133743
2015-04-14,133743
2015-04-15,130976
2015-04-16,130976
2015-04-17,130976
2015-04-18,129311
2015-04-19,129311
2015-04-20,129311
2015-04-21,131215
2015-04-22,131215
2015-04-23,131215
2015-04-24,133240
2015-04-25,133240
2015-04-26,133240
2015-04-27,131720
2015-04-28,131720
2015-04-29,131720
2015-04-30,131573
2015-05-01,131573
2015-05-02,130242
2015-05-03,130242
2015-05-04,130242
2015-05-05,133134
2015-05-06,133134
2015-05-07,133134
2015-05-08,136332
2015-05-09,136332
2015-05-10,141612
2015-05-11,141612
2015-05-12,141612
2015-05-13,147717
2015-05-14,147717
2015-05-15,147717
2015-05-16,149508
2015-05-17,149508
2015-05-18,147306
2015-05-19,147306
2015-05-20,147306
2015-05-21,147306
2015-05-22,144149
2015-05-23,144149
2015-05-24,144149
2015-05-25,145138
2015-05-26,145138
2015-05-27,145138
2015-05-28,147758
2015-05-29,147758
2015-05-30,145790
2015-05-31,145790
2015-06-01,142241
2015-06-02,142241
2015-06-03,142422
2015-06-04,142422
2015-06-05,144715
2015-06-06,145905
2015-06-07,145905
2015-06-08,148237
2015-06-09,148237
2015-06-10,150397
2015-06-11,150397
2015-06-12,154356
2015-06-13,154356
2015-06-14,155419
2015-06-15,155419
2015-06-16,151883
2015-06-17,151883
2015-06-18,147632
2015-06-19,147632
2015-06-20,140272
2015-06-21,140272
2015-06-22,133258
2015-06-23,133258
2015-06-24,128224
2015-06-25,128224
2015-06-26,128382
2015-06-27,128382
2015-06-28,127719
2015-06-29,127719
2015-06-30,127073
2015-07-01,127073
2015-07-02,126949
2015-07-03,126923
2015-07-04,126923
2015-07-05,126307
2015-07-06,126307
2015-07-07,127899
2015-07-08,127899
2015-07-09,130364
2015-07-10,130364
2015-07-11,133479
2015-07-12,133479
2015-07-13,137844
2015-07-14,137844
2015-07-15,136136
2015-07-16,136136
2015-07-17,133662
2015-07-18,133662
2015-07-19,134392
2015-07-20,134392
2015-07-21,135883
2015-07-22,134615
2015-07-23,134615
2015-07-24,137872
2015-07-25,137872
2015-07-26,134422
2015-07-27,134422
2015-07-28,128453
2015-07-29,123366
2015-07-30,123366
2015-07-31,120528
2015-08-01,120528
2015-08-02,120053
2015-08-03,120053
2015-08-04,120407
2015-08-05,121116
2015-08-06,121116
2015-08-07,124278
2015-08-08,129330
2015-08-09,133889
2015-08-10,133889
2015-08-11,132265
2015-08-12,132265
2015-08-13,136080
2015-08-14,141468
2015-08-15,141468
2015-08-16,143854
2015-08-17,143854
2015-08-18,141743
2015-08-19,141743
2015-08-20,138693
2015-08-21,142997
2015-08-22,142997
2015-08-23,143307
2015-08-24,144356
2015-08-25,144356
2015-08-26,146006
2015-08-27,151523
2015-08-28,151523
2015-08-29,149207
2015-08-30,149207
2015-08-31,142585
2015-09-01,142585
2015-09-02,135653
2015-09-03,135653
2015-09-04,129590
2015-09-05,129590
2015-09-06,129460
2015-09-07,129460
2015-09-08,133926
2015-09-09,133926
2015-09-10,138022
2015-09-11,138022
2015-09-12,142562
2015-09-13,146120
2015-09-14,146120
2015-09-15,146174
2015-09-16,146174
2015-09-17,146629
2015-09-18,146629
2015-09-19,143202
2015-09-20,143202
2015-09-21,147333
2015-09-22,147333
2015-09-23,147869
2015-09-24,147869
2015-09-25,146690
2015-09-27,145260
2015-09-28,145260
2015-09-29,144870
2015-09-30,144870
2015-10-05,140666
2015-10-06,140666
2015-10-07,141717
2015-10-08,141717
2015-10-09,137280
2015-10-10,137280
2015-10-11,134075
2015-10-12,134075
2015-10-13,132878
2015-10-14,132878
2015-10-15,133836
2015-10-16,133836
2015-10-17,136648
2015-10-18,136648
2015-10-19,138065
2015-10-20,138065
2015-10-22,136708
2015-10-23,133534
2015-10-24,133534
2015-10-25,130522
2015-10-26,130522
2015-10-27,132980
2015-10-29,131322
2015-10-30,131322
2015-10-31,130997
2015-11-01,130997
2015-11-02,133379
2015-11-03,133379
2015-11-04,130902
2015-11-05,130902
2015-11-06,132502
2015-11-07,132502
2015-11-08,133050
2015-11-09,133050
2015-11-10,133050
2015-11-11,135800
2015-11-12,135800
2015-11-13,135800
2015-11-14,137799
2015-11-15,137799
2015-11-16,136535
2015-11-17,136535
2015-11-18,136535
2015-11-19,139838
2015-11-20,139838
2015-11-21,144550
2015-11-22,145973
2015-11-23,145973
2015-11-24,145973
2015-11-25,147645
2015-11-26,147645
2015-11-27,149992
2015-11-28,149992
2015-11-29,152099
2015-11-30,152099
2015-12-01,154569
2015-12-02,154569
2015-12-03,153740
