date_obj,Grey%20robe%20top price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,10000
2015-03-09,10000
2015-03-10,10000
2015-03-11,10000
2015-03-12,10000
2015-03-13,10000
2015-03-14,10000
2015-03-15,10000
2015-03-16,10000
2015-03-17,10000
2015-03-18,10000
2015-03-19,10000
2015-03-20,10000
2015-03-21,10000
2015-03-22,10000
2015-03-23,10000
2015-03-24,9545
2015-03-25,9545
2015-03-26,9545
2015-03-27,9545
2015-03-28,9545
2015-03-29,9545
2015-03-30,9545
2015-03-31,9545
2015-04-01,9545
2015-04-02,9545
2015-04-03,9545
2015-04-04,9545
2015-04-05,9545
2015-04-06,9545
2015-04-07,9545
2015-04-08,9545
2015-04-09,9545
2015-04-10,9545
2015-04-11,9545
2015-04-12,9545
2015-04-13,9545
2015-04-14,9545
2015-04-15,9545
2015-04-16,9545
2015-04-17,9545
2015-04-18,9545
2015-04-19,9545
2015-04-20,9154
2015-04-21,9154
2015-04-22,9154
2015-04-23,9154
2015-04-24,9154
2015-04-25,9154
2015-04-26,9154
2015-04-27,9154
2015-04-28,9154
2015-04-29,9154
2015-04-30,9154
2015-05-01,9154
2015-05-02,9154
2015-05-03,9154
2015-05-04,9154
2015-05-05,9154
2015-05-06,9154
2015-05-07,9154
2015-05-08,9154
2015-05-09,9154
2015-05-10,9154
2015-05-11,9154
2015-05-12,9154
2015-05-13,9154
2015-05-14,9154
2015-05-15,9154
2015-05-16,9154
2015-05-17,9154
2015-05-18,9154
2015-05-19,9154
2015-05-20,8770
2015-05-21,8770
2015-05-22,8770
2015-05-23,8770
2015-05-24,8770
2015-05-25,8770
2015-05-26,8770
2015-05-27,8770
2015-05-28,8770
2015-05-29,8770
2015-05-30,8770
2015-05-31,8770
2015-06-01,8770
2015-06-02,8770
2015-06-03,8770
2015-06-04,8770
2015-06-05,8770
2015-06-06,8770
2015-06-07,8770
2015-06-08,8770
2015-06-09,8770
2015-06-10,8338
2015-06-11,8338
2015-06-12,8338
2015-06-13,8338
2015-06-14,8338
2015-06-15,8338
2015-06-16,8338
2015-06-17,8338
2015-06-18,8338
2015-06-19,8338
2015-06-20,8338
2015-06-21,8338
2015-06-22,8338
2015-06-23,8338
2015-06-24,8338
2015-06-25,8338
2015-06-26,8338
2015-06-27,8338
2015-06-28,8338
2015-06-29,8338
2015-06-30,8338
2015-07-01,8338
2015-07-02,8338
2015-07-03,7955
2015-07-04,7955
2015-07-05,7955
2015-07-06,7955
2015-07-07,7955
2015-07-08,7955
2015-07-09,7955
2015-07-10,7955
2015-07-11,7955
2015-07-12,7955
2015-07-13,7955
2015-07-14,7955
2015-07-15,7955
2015-07-16,7955
2015-07-17,7955
2015-07-18,7955
2015-07-19,7955
2015-07-20,7955
2015-07-21,7955
2015-07-22,7563
2015-07-23,7563
2015-07-24,7563
2015-07-25,7563
2015-07-26,7563
2015-07-27,7563
2015-07-28,7563
2015-07-29,7563
2015-07-30,7563
2015-07-31,7563
2015-08-01,7563
2015-08-02,7563
2015-08-03,7563
2015-08-04,7563
2015-08-05,7563
2015-08-06,7563
2015-08-07,7563
2015-08-08,7563
2015-08-09,7201
2015-08-10,7201
2015-08-11,7201
2015-08-12,7201
2015-08-13,7201
2015-08-14,7201
2015-08-15,7201
2015-08-16,7201
2015-08-17,7201
2015-08-18,7201
2015-08-19,7201
2015-08-20,7201
2015-08-21,7201
2015-08-22,7201
2015-08-23,7201
2015-08-24,7201
2015-08-25,7201
2015-08-26,6847
2015-08-27,6847
2015-08-28,6847
2015-08-29,6847
2015-08-30,6847
2015-08-31,6847
2015-09-02,6847
2015-09-07,6847
2015-09-08,6847
2015-09-10,6847
2015-09-14,6525
2015-09-16,6525
2015-09-22,6525
2015-09-23,6525
2015-09-24,6525
2015-09-25,6525
2015-09-27,6525
2015-09-28,6525
2015-09-29,6525
2015-09-30,6525
2015-10-05,6236
2015-10-06,6236
2015-10-07,6236
2015-10-08,6236
2015-10-09,6236
2015-10-10,6236
2015-10-11,6236
2015-10-12,6236
2015-10-13,6236
2015-10-14,6236
2015-10-15,6236
2015-10-16,6236
2015-10-17,6236
2015-10-18,6236
2015-10-19,6236
2015-10-20,6236
2015-10-22,6236
2015-10-23,5949
2015-10-24,5949
2015-10-25,5949
2015-10-26,5949
2015-10-27,5949
2015-10-29,5949
2015-10-30,5949
2015-10-31,5949
2015-11-01,5949
2015-11-02,5949
2015-11-03,5949
2015-11-04,5949
2015-11-05,5949
2015-11-06,5949
2015-11-07,5949
2015-11-08,5949
