date_obj,Amulet%20of%20defence price
2015-03-26,2629
2015-03-27,2629
2015-03-28,2503
2015-03-29,2503
2015-03-30,2387
2015-03-31,2387
2015-04-01,2387
2015-04-02,2276
2015-04-03,2276
2015-04-04,2166
2015-04-05,2166
2015-04-06,2071
2015-04-07,2071
2015-04-08,2071
2015-04-09,1975
2015-04-10,1975
2015-04-11,1889
2015-04-12,1889
2015-04-13,1889
2015-04-14,1803
2015-04-15,1803
2015-04-16,1717
2015-04-17,1717
2015-04-18,1717
2015-04-19,1635
2015-04-20,1635
2015-04-21,1635
2015-04-22,1557
2015-04-23,1557
2015-04-24,1557
2015-04-25,1479
2015-04-26,1479
2015-04-27,1479
2015-04-28,1405
2015-04-29,1405
2015-04-30,1405
2015-05-01,1338
2015-05-02,1338
2015-05-03,1338
2015-05-04,1274
2015-05-05,1274
2015-05-06,1274
2015-05-07,1217
2015-05-08,1217
2015-05-09,1217
2015-05-10,1164
2015-05-11,1164
2015-05-12,1164
2015-05-13,1164
2015-05-14,1105
2015-05-15,1105
2015-05-16,1105
2015-05-17,1053
2015-05-18,1053
2015-05-19,1053
2015-05-20,1053
2015-05-21,1004
2015-05-22,1004
2015-05-23,1004
2015-05-24,960
2015-05-25,960
2015-05-26,960
2015-05-27,942
2015-05-28,942
2015-05-29,915
2015-05-30,915
2015-05-31,908
2015-06-01,908
2015-06-02,908
2015-06-03,915
2015-06-04,915
2015-06-05,908
2015-06-06,908
2015-06-07,913
2015-06-08,913
2015-06-09,913
2015-06-10,910
2015-06-11,910
2015-06-12,910
2015-06-13,921
2015-06-14,921
2015-06-15,921
2015-06-16,921
2015-06-17,921
2015-06-18,914
2015-06-19,914
2015-06-20,918
2015-06-21,918
2015-06-22,921
2015-06-23,921
2015-06-24,926
2015-06-25,926
2015-06-26,920
2015-06-27,920
2015-06-28,920
2015-06-29,900
2015-06-30,900
2015-07-01,914
2015-07-02,914
2015-07-03,914
2015-07-04,911
2015-07-05,911
2015-07-06,911
2015-07-07,915
2015-07-08,915
2015-07-09,915
2015-07-10,912
2015-07-11,912
2015-07-12,912
2015-07-13,923
2015-07-14,923
2015-07-15,911
2015-07-16,911
2015-07-17,911
2015-07-18,903
2015-07-19,903
2015-07-20,917
2015-07-21,917
2015-07-22,918
2015-07-23,918
2015-07-24,918
2015-07-25,915
2015-07-26,915
2015-07-27,920
2015-07-28,920
2015-07-29,909
2015-07-30,909
2015-07-31,909
2015-08-01,926
2015-08-02,926
2015-08-03,926
2015-08-04,926
2015-08-05,935
2015-08-06,935
2015-08-07,935
2015-08-08,930
2015-08-09,930
2015-08-10,933
2015-08-11,933
2015-08-12,933
2015-08-13,924
2015-08-14,924
2015-08-15,928
2015-08-16,928
2015-08-17,924
2015-08-18,924
2015-08-19,929
2015-08-20,929
2015-08-21,936
2015-08-22,936
2015-08-23,936
2015-08-24,931
2015-08-25,931
2015-08-26,931
2015-08-27,923
2015-08-28,923
2015-08-29,923
2015-08-30,920
2015-08-31,920
2015-09-01,919
2015-09-02,919
2015-09-03,919
2015-09-04,923
2015-09-05,923
2015-09-06,923
2015-09-07,927
2015-09-08,927
2015-09-09,927
2015-09-10,936
2015-09-11,936
2015-09-12,936
2015-09-13,946
2015-09-14,946
2015-09-15,946
2015-09-16,982
2015-09-17,982
2015-09-18,982
2015-09-19,990
2015-09-20,990
2015-09-21,990
2015-09-22,994
2015-09-23,994
2015-09-24,994
2015-09-25,1002
2015-09-27,1002
2015-09-28,1003
2015-09-29,1003
2015-09-30,1003
2015-10-05,1019
2015-10-06,1019
2015-10-07,1019
2015-10-08,1011
2015-10-09,1011
2015-10-10,1011
2015-10-11,1012
2015-10-12,1012
2015-10-13,1012
2015-10-14,1012
2015-10-15,1018
2015-10-16,1018
2015-10-17,1018
2015-10-18,1018
2015-10-19,1032
2015-10-20,1032
2015-10-22,1032
2015-10-23,1042
2015-10-24,1042
2015-10-25,1042
2015-10-26,1045
2015-10-27,1045
2015-10-28,1045
2015-10-29,1063
2015-10-30,1063
2015-10-31,1063
2015-11-01,1053
2015-11-02,1053
2015-11-03,1053
2015-11-04,1052
2015-11-05,1052
2015-11-06,1052
2015-11-07,1035
2015-11-08,1035
2015-11-09,1035
2015-11-10,1035
2015-11-11,1028
2015-11-12,1028
2015-11-13,1028
2015-11-14,985
2015-11-15,985
2015-11-16,955
2015-11-17,955
2015-11-18,955
2015-11-19,964
2015-11-20,964
2015-11-21,964
2015-11-22,924
2015-11-23,924
2015-11-24,924
2015-11-25,887
2015-11-26,887
2015-11-27,887
2015-11-28,920
2015-11-29,920
2015-11-30,896
2015-12-01,896
2015-12-02,896
2015-12-03,856
2015-12-04,856
2015-12-05,856
2015-12-06,813
2015-12-07,813
2015-12-08,813
2015-12-09,772
2015-12-10,772
2015-12-11,772
2015-12-12,749
2015-12-13,749
2015-12-14,749
2015-12-15,759
2015-12-16,759
2015-12-17,759
2015-12-18,769
2015-12-19,769
2015-12-20,769
2015-12-21,774
2015-12-22,774
2015-12-23,774
2015-12-24,782
2015-12-25,782
2015-12-26,782
2015-12-27,753
2015-12-28,753
2015-12-29,753
2015-12-30,729
2015-12-31,729
2016-01-01,729
2016-01-02,737
2016-01-03,737
2016-01-04,741
2016-01-05,741
2016-01-06,741
2016-01-07,755
2016-01-08,755
2016-01-09,755
2016-01-10,768
2016-01-11,768
2016-01-12,773
2016-01-13,773
2016-01-14,768
2016-01-15,768
2016-01-16,768
2016-01-17,773
2016-01-18,773
2016-01-19,773
2016-01-20,785
2016-01-21,785
2016-01-22,785
2016-01-23,791
2016-01-24,791
2016-01-25,796
2016-01-26,796
2016-01-27,796
2016-01-28,804
2016-01-29,804
2016-01-30,804
2016-01-31,817
2016-02-01,817
2016-02-02,817
2016-02-03,826
2016-02-04,826
2016-02-05,826
2016-02-06,838
2016-02-07,838
2016-02-08,838
2016-02-09,838
2016-02-10,848
2016-02-11,848
2016-02-12,848
2016-02-13,853
2016-02-14,853
2016-02-15,853
2016-02-16,866
2016-02-17,866
2016-02-18,866
2016-02-19,885
2016-02-20,885
2016-02-21,899
2016-02-22,899
2016-02-23,899
2016-02-24,912
2016-02-25,912
2016-02-26,912
2016-02-27,935
2016-02-28,935
2016-02-29,935
2016-03-01,945
