date_obj,Cabbage%20round%20shield price
2016-07-06,1491813
2016-07-07,1491813
2016-07-08,1417222
2016-07-09,1417222
2016-07-10,1346360
2016-07-11,1279646
2016-07-12,1279646
2016-07-13,1215663
2016-07-14,1215663
2016-07-15,1215663
2016-07-16,1154879
2016-07-17,1154879
2016-07-18,1098218
2016-07-23,993177
2016-07-24,944639
2016-07-25,944639
2016-07-26,898533
2016-07-27,898533
2016-07-28,855254
2016-07-29,855254
2016-07-30,814187
2016-07-31,814187
2016-08-01,814187
2016-08-02,773477
2016-08-03,773477
2016-08-04,773477
2016-08-05,735524
2016-08-06,735524
2016-08-07,699958
2016-08-08,699958
2016-08-09,666163
2016-08-10,666163
2016-08-11,666163
2016-08-12,633716
2016-08-13,633716
2016-08-14,633716
2016-08-15,602980
2016-08-16,602980
2016-08-17,602980
2016-08-18,602980
2016-08-19,574539
2016-08-20,574539
2016-08-21,574539
2016-08-22,574539
2016-08-23,546221
2016-08-24,546221
2016-08-25,546221
2016-08-26,546221
2016-08-28,519627
2016-08-31,494032
2016-09-01,494032
2016-09-02,494032
2016-09-03,494032
2016-09-04,469718
2016-09-05,469718
2016-09-06,469718
2016-09-07,469718
2016-09-08,469718
2016-09-09,446868
2016-09-10,446868
2016-09-11,446868
2016-09-12,446868
2016-09-13,425241
2016-09-14,425241
2016-09-15,425241
2016-09-16,425241
2016-09-17,425241
2016-09-18,404448
2016-09-19,404448
2016-09-20,404448
2016-09-21,404448
2016-09-22,385180
2016-09-23,385180
2016-09-24,385180
2016-09-25,385180
2016-09-26,385180
2016-09-27,366356
2016-09-28,366356
2016-09-29,366356
2016-09-30,366356
2016-10-01,348826
2016-10-02,348826
2016-10-03,348826
2016-10-04,348826
2016-10-05,348826
2016-10-06,333521
2016-10-07,333521
2016-10-08,333521
2016-10-09,333521
2016-10-10,317324
2016-10-11,317324
2016-10-12,317324
2016-10-13,317324
2016-10-14,301872
2016-10-15,301872
2016-10-16,301872
2016-10-17,301872
2016-10-18,301872
2016-10-19,287355
2016-10-20,287355
2016-10-21,287355
2016-10-22,287355
2016-10-23,287355
2016-10-24,273576
2016-10-25,273576
2016-10-26,273576
2016-10-27,273576
2016-10-28,273576
2016-10-29,273576
2016-10-30,260374
2016-10-31,260374
2016-11-01,260374
2016-11-02,260374
2016-11-03,260374
2016-11-04,247812
2016-11-05,247812
2016-11-06,247812
2016-11-07,247812
2016-11-08,247812
2016-11-09,235597
2016-11-10,235597
2016-11-11,235597
2016-11-12,235597
2016-11-13,235597
2016-11-14,235597
2016-11-15,224204
2016-12-07,166973
2016-12-08,166973
2016-12-09,158776
2016-12-10,158776
2016-12-11,158776
2016-12-12,151155
2016-12-13,151155
2016-12-14,151155
2016-12-15,143892
2016-12-16,143892
2016-12-17,143892
2016-12-18,143892
2016-12-19,136789
2016-12-20,136789
2016-12-21,130121
2016-12-22,130121
2016-12-23,130121
2016-12-24,123862
2016-12-25,123862
2016-12-26,123862
2016-12-27,123862
2016-12-28,117791
2016-12-29,117791
2016-12-30,117791
2016-12-31,112003
2017-01-01,112003
2017-01-02,106554
2017-01-03,106554
2017-01-04,106554
2017-01-05,101378
2017-01-06,101378
2017-01-07,101378
2017-01-08,96581
2017-01-09,96581
2017-01-10,96581
2017-01-11,91938
2017-01-12,91938
2017-01-13,91938
2017-01-14,87531
2017-01-15,87531
2017-01-16,87531
2017-01-17,83287
2017-01-18,83287
2017-01-19,83287
2017-01-20,79379
2017-01-21,79379
2017-01-22,79379
2017-01-23,75603
2017-01-27,71926
2017-01-28,68502
2017-01-29,68502
2017-01-30,68502
2017-01-31,65216
2017-02-01,65216
2017-02-02,65216
2017-02-03,62041
2017-02-04,62041
2017-02-05,62041
2017-02-06,59107
2017-02-07,59107
2017-02-08,59107
2017-02-09,59107
2017-02-10,56218
2017-02-11,56218
2017-02-12,56218
2017-02-13,53557
2017-02-14,53557
2017-02-15,53557
2017-02-16,50939
2017-02-18,50939
2017-02-19,48547
2017-02-20,48547
2017-02-21,48547
2017-02-22,48547
2017-02-23,46187
2017-02-24,46187
2017-02-25,46187
2017-02-26,46187
2017-02-27,43932
2017-02-28,43932
2017-03-01,43932
2017-03-02,41815
2017-03-03,41815
2017-03-04,41815
2017-03-05,41815
2017-03-06,40458
2017-03-07,40458
2017-03-08,40458
2017-03-09,40458
2017-03-10,39796
2017-03-11,39796
2017-03-12,39796
2017-03-13,39796
2017-03-14,37878
2017-03-15,37878
2017-03-16,37878
2017-03-17,37878
2017-03-18,35984
2017-03-19,35984
2017-03-20,35984
2017-03-21,34255
2017-03-22,34255
2017-03-23,34255
2017-03-24,32578
2017-03-25,32578
2017-03-26,32578
2017-03-27,32578
2017-03-28,30984
2017-03-29,30984
2017-03-30,29562
2017-03-31,29562
2017-04-01,28129
2017-04-02,28129
2017-04-03,27130
2017-04-04,27130
2017-04-12,25335
2017-04-13,25335
2017-04-14,24252
2017-04-15,24252
2017-04-16,24252
2017-04-17,24232
2017-04-18,24232
2017-04-19,24232
2017-04-20,24232
2017-04-21,23846
2017-04-22,23846
2017-04-23,23846
2017-04-24,23846
2017-04-25,22712
2017-04-26,22712
2017-04-27,22712
2017-04-28,22712
2017-04-29,21776
2017-04-30,21776
2017-05-01,21776
2017-05-02,21776
2017-05-03,20716
2017-05-04,20716
2017-05-05,20716
2017-05-06,20716
2017-05-07,19718
2017-05-08,19718
2017-05-09,19718
2017-05-10,19718
2017-05-11,18778
2017-05-12,18778
2017-05-13,18778
2017-05-14,18253
2017-05-15,18253
2017-05-16,18253
2017-05-17,18253
2017-05-18,17350
2017-05-19,17350
2017-05-20,17350
2017-05-21,17350
2017-05-22,16482
2017-05-23,16482
2017-05-24,16482
2017-05-25,16482
2017-05-26,15763
2017-05-27,15763
2017-05-28,15763
2017-05-29,15763
2017-05-30,14979
2017-05-31,14979
2017-06-01,14979
2017-06-02,14311
2017-06-03,14311
2017-06-04,14311
2017-06-05,14311
2017-06-06,13871
2017-06-07,13871
2017-06-08,13871
2017-06-09,13855
2017-06-10,13855
2017-06-11,13855
2017-06-12,13730
2017-06-13,13730
2017-06-14,13730
2017-06-15,13730
2017-06-16,13730
2017-06-17,13677
2017-06-18,13677
2017-06-19,13677
2017-06-20,13677
2017-06-21,13873
2017-06-22,13873
2017-06-23,13873
2017-06-24,13873
2017-06-25,13873
2017-06-26,13873
2017-06-27,13516
2017-06-28,13516
2017-06-29,13516
2017-06-30,13516
2017-07-01,13516
2017-07-02,13516
2017-07-03,12840
2017-07-04,12840
2017-07-05,12840
2017-07-06,12840
2017-07-07,12211
2017-07-08,12211
2017-07-13,11736
2017-07-14,11736
2017-07-15,11736
2017-07-16,11736
2017-07-17,11555
2017-07-18,11555
2017-07-19,11555
2017-07-20,11555
2017-07-21,11355
2017-07-22,11355
2017-07-23,11355
2017-07-24,11355
2017-07-25,11355
2017-07-26,11519
