date_obj,Mithril%20gold-trimmed%20set%20(sk) price
2015-03-26,105000
2015-03-27,105000
2015-03-28,105000
2015-03-29,105000
2015-03-30,105000
2015-03-31,105000
2015-04-01,105000
2015-04-02,105000
2015-04-03,105000
2015-04-04,108276
2015-04-05,108276
2015-04-06,108276
2015-04-07,108276
2015-04-08,108276
2015-04-09,108276
2015-04-10,108276
2015-04-11,108276
2015-04-12,108276
2015-04-13,108276
2015-04-14,108276
2015-04-15,108276
2015-04-16,108276
2015-04-17,108276
2015-04-18,108276
2015-04-19,108276
2015-04-20,108276
2015-04-21,108276
2015-04-22,108276
2015-04-23,108276
2015-04-24,108276
2015-04-25,108276
2015-04-26,108276
2015-04-27,108276
2015-04-28,108276
2015-04-29,108276
2015-04-30,108276
2015-05-01,108276
2015-05-02,108276
2015-05-03,108276
2015-05-04,108276
2015-05-05,108276
2015-05-06,108276
2015-05-07,108276
2015-05-08,108276
2015-05-09,108276
2015-05-10,108276
2015-05-11,108276
2015-05-12,108276
2015-05-13,108276
2015-05-14,108276
2015-05-15,108276
2015-05-16,108276
2015-05-17,108276
2015-05-18,108276
2015-05-19,108276
2015-05-20,108276
2015-05-21,108276
2015-05-22,108276
2015-05-23,108276
2015-05-24,108276
2015-05-25,110573
2015-05-26,110573
2015-05-27,110573
2015-05-28,110573
2015-05-29,110573
2015-05-30,110573
2015-05-31,110573
2015-06-01,110573
2015-06-02,110573
2015-06-03,110573
2015-06-04,110573
2015-06-05,110573
2015-06-06,110573
2015-06-07,110573
2015-06-08,110573
2015-06-09,110573
2015-06-10,110573
2015-06-11,110573
2015-06-12,110573
2015-06-13,110573
2015-06-14,110573
2015-06-15,110573
2015-06-16,110573
2015-06-17,110573
2015-06-18,110573
2015-06-19,110573
2015-06-20,110573
2015-06-21,110573
2015-06-22,110573
2015-06-23,110573
2015-06-24,110573
2015-06-25,110573
2015-06-26,110573
2015-06-27,110573
2015-06-28,110573
2015-06-29,110573
2015-06-30,110573
2015-07-01,113323
2015-07-02,113323
2015-07-03,113323
2015-07-04,113323
2015-07-05,113323
2015-07-06,113323
2015-07-07,113323
2015-07-08,113323
2015-07-09,113323
2015-07-10,113323
2015-07-11,113323
2015-07-12,113323
2015-07-13,113323
2015-07-14,113323
2015-07-15,113323
2015-07-16,113323
2015-07-17,113323
2015-07-18,113323
2015-07-19,113323
2015-07-20,113323
2015-07-21,113323
2015-07-22,113323
2015-07-23,113323
2015-07-24,113323
2015-07-25,113323
2015-07-26,113323
2015-07-27,113323
2015-07-28,113323
2015-07-29,113323
2015-07-30,113323
2015-07-31,113323
2015-08-01,113323
2015-08-02,113323
2015-08-03,113323
2015-08-04,113323
2015-08-05,113323
2015-08-06,113323
2015-08-07,116475
2015-08-08,116475
2015-08-09,116475
2015-08-10,116475
2015-08-11,116475
2015-08-12,116475
2015-08-13,116475
2015-08-14,116475
2015-08-15,116475
2015-08-16,116475
2015-08-17,116475
2015-08-18,116475
2015-08-19,116475
2015-08-20,116475
2015-08-21,116475
2015-08-22,116475
2015-08-23,116475
2015-08-24,116475
2015-08-25,116475
2015-08-26,116475
2015-08-27,116475
2015-08-28,116475
2015-08-29,116475
2015-08-30,116475
2015-08-31,116475
2015-09-01,116475
2015-09-02,116475
2015-09-03,116475
2015-09-04,116475
2015-09-05,116475
2015-09-06,116475
2015-09-07,116475
2015-09-08,116475
2015-09-09,116475
2015-09-10,116475
2015-09-11,116282
2015-09-12,116282
2015-09-13,116282
2015-09-14,116282
2015-09-15,116282
