date_obj,Holy%20blessing price
2016-07-06,971862
2016-07-07,923268
2016-07-08,877104
2016-07-09,833248
2016-07-10,791585
2016-07-11,752005
2016-07-12,714404
2016-07-13,678683
2016-07-14,644748
2016-07-15,612510
2016-07-16,581884
2016-07-17,552789
2016-07-18,525149
2016-07-23,406627
2016-07-24,386295
2016-07-25,366980
2016-07-26,349208
2016-07-27,331747
2016-07-28,315159
2016-07-29,299401
2016-07-30,284430
2016-07-31,284430
2016-08-01,270208
2016-08-02,256697
2016-08-03,243862
2016-08-04,231668
2016-08-05,220084
2016-08-06,209307
2016-08-07,198898
2016-08-08,191814
2016-08-09,187880
2016-08-10,179256
2016-08-11,173592
2016-08-12,173463
2016-08-13,179198
2016-08-14,173517
2016-08-15,166820
2016-08-16,161240
2016-08-17,156570
2016-08-18,150883
2016-08-19,148192
2016-08-20,149610
2016-08-21,153640
2016-08-22,156874
2016-08-23,152503
2016-08-24,148251
2016-08-25,144269
2016-08-26,144269
2016-08-28,148776
2016-08-31,155289
2016-09-01,157174
2016-09-02,157174
2016-09-03,157309
2016-09-04,154070
2016-09-05,156275
2016-09-06,154913
2016-09-07,149933
2016-09-08,149933
2016-09-09,149267
2016-09-10,145624
2016-09-11,145624
2016-09-12,142133
2016-09-13,139318
2016-09-14,139318
2016-09-15,132891
2016-09-16,132891
2016-09-17,130863
2016-09-18,129308
2016-09-19,125621
2016-09-20,125621
2016-09-21,122637
2016-09-22,119260
2016-09-23,114576
2016-09-24,114576
2016-09-25,111631
2016-09-26,111631
2016-09-27,108940
2016-09-28,105643
2016-09-29,105643
2016-09-30,102915
2016-10-01,98986
2016-10-02,98986
2016-10-03,94572
2016-10-04,90385
2016-10-05,90196
2016-10-06,91421
2016-10-07,93737
2016-10-08,96671
2016-10-09,96671
2016-10-10,100962
2016-10-11,104209
2016-10-12,106805
2016-10-13,105889
2016-10-14,105452
2016-10-15,104248
2016-10-16,104083
2016-10-17,105832
2016-10-18,107090
2016-10-19,107969
2016-10-20,108946
2016-10-21,110601
2016-10-22,110601
2016-10-23,114926
2016-10-24,117248
2016-10-25,117248
2016-10-26,112681
2016-10-27,109065
2016-10-28,106546
2016-10-29,106259
2016-10-30,106255
2016-10-31,105092
2016-11-01,105092
2016-11-02,105751
2016-11-03,105447
2016-11-04,104702
2016-11-05,104702
2016-11-06,103135
2016-11-07,101365
2016-11-08,99537
2016-11-09,98966
2016-11-10,96289
2016-11-11,92983
2016-11-12,89129
2016-11-13,86943
2016-11-14,84948
2016-11-15,83665
2016-12-07,70333
2016-12-08,69813
2016-12-09,69724
2016-12-10,69998
2016-12-11,70810
2016-12-12,72440
2016-12-13,73081
2016-12-14,74539
2016-12-15,74539
2016-12-16,75193
2016-12-17,77078
2016-12-18,78870
2016-12-19,79962
2016-12-20,82676
2016-12-21,85493
2016-12-22,87612
2016-12-23,88488
2016-12-24,87646
2016-12-25,88334
2016-12-26,89546
2016-12-27,91055
2016-12-28,92383
2016-12-29,93905
2016-12-30,94855
2016-12-31,95791
2017-01-01,93765
2017-01-02,93360
2017-01-03,92038
2017-01-04,90789
2017-01-05,89291
2017-01-06,87569
2017-01-07,85531
2017-01-08,84314
2017-01-09,82902
2017-01-10,80299
2017-01-11,78866
2017-01-12,77525
2017-01-13,78791
2017-01-14,78682
2017-01-15,78469
2017-01-16,77958
2017-01-17,77856
2017-01-18,76982
2017-01-19,75488
2017-01-20,75050
2017-01-21,75164
2017-01-22,75150
2017-01-23,74861
2017-01-27,69172
2017-01-28,65865
2017-01-29,63563
2017-01-30,62541
2017-01-31,60660
2017-02-01,59293
2017-02-02,58251
2017-02-03,57910
2017-02-04,56845
2017-02-05,56520
2017-02-06,56237
2017-02-07,54934
2017-02-08,54434
2017-02-09,54434
2017-02-10,54180
2017-02-11,53895
2017-02-12,53418
2017-02-13,53097
2017-02-14,52942
2017-02-15,53079
2017-02-16,52394
2017-02-18,51549
2017-02-19,50704
2017-02-20,49828
2017-02-21,49370
2017-02-22,48049
2017-02-23,47434
2017-02-24,46702
2017-02-25,46282
2017-02-26,46073
2017-02-27,46009
2017-02-28,45565
2017-03-01,45144
2017-03-02,44758
2017-03-03,44572
2017-03-04,44195
2017-03-05,43994
2017-03-06,43908
2017-03-07,43662
2017-03-08,43606
2017-03-09,43841
2017-03-10,43552
2017-03-11,43378
2017-03-12,42967
2017-03-13,42561
2017-03-14,42218
2017-03-15,42114
2017-03-16,41113
2017-03-17,40827
2017-03-18,40942
2017-03-19,40485
2017-03-20,40152
2017-03-21,39067
2017-03-22,38362
2017-03-23,37433
2017-03-24,37198
2017-03-25,37056
2017-03-26,36514
2017-03-27,36000
2017-03-28,35887
2017-03-29,35724
2017-03-30,35567
2017-03-31,35367
2017-04-01,35250
2017-04-02,35051
2017-04-03,34777
2017-04-04,34697
2017-04-12,32650
2017-04-13,32870
2017-04-14,33039
2017-04-15,32848
2017-04-16,32056
2017-04-17,31525
2017-04-18,31312
2017-04-19,31061
2017-04-20,30823
2017-04-21,31132
2017-04-22,31892
2017-04-23,31748
2017-04-24,31649
2017-04-25,32151
2017-04-26,32470
2017-04-27,32653
2017-04-28,33577
2017-04-29,34383
2017-04-30,35620
2017-05-01,36339
2017-05-02,37640
2017-05-03,38732
2017-05-04,38306
2017-05-05,38177
2017-05-06,37537
2017-05-07,36855
2017-05-08,35951
2017-05-09,35357
2017-05-10,34594
2017-05-11,34442
2017-05-12,34208
2017-05-13,33795
2017-05-14,34128
2017-05-15,34510
2017-05-16,34027
2017-05-17,34096
2017-05-18,33252
2017-05-19,32303
2017-05-20,32070
2017-05-21,32070
2017-05-22,32068
