date_obj,Bandos%20tassets price
2015-03-26,19678147
2015-03-27,19678147
2015-03-28,19634055
2015-03-29,19629441
2015-03-30,19809807
2015-03-31,20230964
2015-04-01,20588029
2015-04-02,20860506
2015-04-03,20796701
2015-04-04,20714963
2015-04-05,20621965
2015-04-06,20504799
2015-04-07,20476200
2015-04-08,20476200
2015-04-09,20413002
2015-04-10,20429718
2015-04-11,20517657
2015-04-12,20570217
2015-04-13,20581707
2015-04-14,20476765
2015-04-15,20448592
2015-04-16,20521171
2015-04-17,21059160
2015-04-18,21697795
2015-04-19,21680636
2015-04-20,21680636
2015-04-21,21657253
2015-04-22,21615837
2015-04-23,21677166
2015-04-24,21968643
2015-04-25,22207100
2015-04-26,22460635
2015-04-27,22519191
2015-04-28,22108256
2015-04-29,22108256
2015-04-30,21562675
2015-05-01,20829624
2015-05-02,20751575
2015-05-03,20751575
2015-05-04,20647856
2015-05-05,20461033
2015-05-06,20475231
2015-05-07,20883611
2015-05-08,21295623
2015-05-09,21559559
2015-05-10,21585731
2015-05-11,21585731
2015-05-12,21603651
2015-05-13,21652275
2015-05-14,21787694
2015-05-15,22140035
2015-05-16,22647626
2015-05-17,22696786
2015-05-18,22679566
2015-05-19,22729633
2015-05-20,22729633
2015-05-21,22803558
2015-05-22,22815351
2015-05-23,23082558
2015-05-24,23089538
2015-05-25,23142392
2015-05-26,23157883
2015-05-27,23257413
2015-05-28,23312065
2015-05-29,23463446
2015-05-30,23738450
2015-05-31,23669102
2015-06-01,23668292
2015-06-02,23787050
2015-06-03,23955092
2015-06-04,23928850
2015-06-05,23995766
2015-06-06,24130358
2015-06-07,24212945
2015-06-08,24210059
2015-06-09,24254463
2015-06-10,24320941
2015-06-11,24135706
2015-06-12,23628839
2015-06-13,22727336
2015-06-14,22204747
2015-06-15,21963217
2015-06-16,21788005
2015-06-17,21765049
2015-06-18,21942018
2015-06-19,21959496
2015-06-20,21965503
2015-06-21,22228067
2015-06-22,22352585
2015-06-23,22517589
2015-06-24,22358760
2015-06-25,22001452
2015-06-26,21843641
2015-06-27,21736494
2015-06-28,21669160
2015-06-29,21582146
2015-06-30,21908584
2015-07-01,22131558
2015-07-02,22333521
2015-07-03,22752906
2015-07-04,22573169
2015-07-05,22597475
2015-07-06,22641717
2015-07-07,22956271
2015-07-08,22882460
2015-07-09,22865442
2015-07-10,22848847
2015-07-11,22889888
2015-07-12,22957006
2015-07-13,22994905
2015-07-14,23046765
2015-07-15,23102679
2015-07-16,23116914
2015-07-17,23182344
2015-07-18,23217594
2015-07-19,23225603
2015-07-20,23205261
2015-07-21,23113787
2015-07-22,23034151
2015-07-23,23175858
2015-07-24,23212113
2015-07-25,23405230
2015-07-26,23426781
2015-07-27,23423975
2015-07-28,23289688
2015-07-29,23128708
2015-07-30,23150047
2015-07-31,23363387
2015-08-01,23606365
2015-08-02,23635546
2015-08-03,23687855
2015-08-04,23745853
2015-08-05,23946848
2015-08-06,23911262
2015-08-07,24039524
2015-08-08,24285910
2015-08-09,24242945
2015-08-10,24280489
2015-08-11,24279440
2015-08-12,24324316
2015-08-13,24306849
2015-08-14,24431752
2015-08-15,24631531
2015-08-16,24794686
2015-08-17,24757372
2015-08-18,24639824
2015-08-19,24379604
2015-08-20,24385218
2015-08-21,24705179
2015-08-22,24793771
2015-08-23,24864407
2015-08-24,24756005
2015-08-25,24716609
2015-08-26,24650590
2015-08-27,25422505
2015-08-28,26139867
2015-08-29,26330204
2015-08-30,25375265
2015-08-31,24865111
2015-09-01,24310463
2015-09-02,24268497
2015-09-03,24298379
2015-09-04,24844171
2015-09-05,24876854
2015-09-06,25038255
2015-09-07,25205240
2015-09-08,25070156
2015-09-09,25070375
2015-09-10,25349273
2015-09-11,25678660
2015-09-12,25782325
2015-09-13,25803104
2015-09-14,25777101
2015-09-15,25395188
2015-09-16,25138690
2015-09-17,24510512
2015-09-18,24834024
2015-09-19,25016790
2015-09-20,25128695
2015-09-21,25287832
2015-09-22,25248154
2015-09-23,25066277
2015-09-24,24568485
2015-09-25,23604090
2015-09-27,23563103
2015-09-28,23962300
2015-09-29,24274393
2015-09-30,24690982
2015-10-05,24927368
2015-10-06,24369880
2015-10-07,23966385
2015-10-08,23646239
2015-10-09,23598590
2015-10-10,23504404
2015-10-11,23615305
2015-10-12,23536690
2015-10-13,23543205
2015-10-14,23622869
2015-10-15,23514248
2015-10-16,23554153
2015-10-17,23737970
2015-10-18,23966011
2015-10-19,24024998
2015-10-20,24056468
2015-10-22,24238030
2015-10-23,24292529
2015-10-24,24335786
2015-10-25,24526767
2015-10-26,24889207
2015-10-27,24976549
2015-10-28,25233841
2015-10-29,25190902
2015-10-30,25076726
2015-10-31,24917612
2015-11-01,24814447
2015-11-02,24249382
2015-11-03,23950521
2015-11-04,23724917
2015-11-05,23513498
2015-11-06,23428242
2015-11-07,23446406
2015-11-08,23407391
2015-11-09,23412718
2015-11-10,23104452
2015-11-11,22746419
2015-11-12,22512987
2015-11-13,22532024
2015-11-14,22811794
2015-11-15,22850255
2015-11-16,22923280
2015-11-17,22980450
2015-11-18,23185600
2015-11-19,23318609
2015-11-20,23377809
2015-11-21,23381899
2015-11-22,23401386
2015-11-23,23634133
2015-11-24,23632919
2015-11-25,23912704
2015-11-26,23917557
2015-11-27,24136098
2015-11-28,24380840
2015-11-29,24456816
2015-11-30,24630976
2015-12-01,24613752
2015-12-02,24606968
2015-12-03,24594617
2015-12-04,24601558
2015-12-05,24650454
2015-12-06,24736491
2015-12-07,24812475
2015-12-08,24804978
2015-12-09,24647481
2015-12-10,24580656
2015-12-11,24651023
2015-12-12,24683362
2015-12-13,24785131
2015-12-14,24768262
2015-12-15,24833715
2015-12-16,24829127
2015-12-17,24832503
2015-12-18,24953497
2015-12-19,25199591
2015-12-20,25283040
2015-12-21,25196517
2015-12-22,25295847
2015-12-23,25378915
2015-12-24,25449084
2015-12-25,25609449
2015-12-26,25982750
2015-12-27,26086042
2015-12-28,25874948
2015-12-29,25443238
2015-12-30,25165490
2015-12-31,25298318
2016-01-01,25457608
2016-01-02,25796168
2016-01-03,25813524
2016-01-04,25948857
2016-01-05,26073119
2016-01-06,26140145
2016-01-07,26271121
2016-01-08,26385949
2016-01-09,26627806
2016-01-10,26679797
2016-01-11,26757391
2016-01-12,26833783
2016-01-13,26723305
2016-01-14,26514908
2016-01-15,26425145
2016-01-16,26391971
2016-01-17,26321331
2016-01-18,26301416
2016-01-19,26253695
2016-01-20,26266080
2016-01-21,26491253
2016-01-22,26610532
2016-01-23,26622919
2016-01-24,26646672
2016-01-25,26733943
2016-01-26,26766475
2016-01-27,26748103
2016-01-28,26765863
2016-01-29,26747350
2016-01-30,26731144
2016-01-31,26679446
2016-02-01,26659090
2016-02-02,26605431
2016-02-03,26633146
2016-02-04,26570466
2016-02-05,26534635
2016-02-06,26431474
2016-02-07,26457578
2016-02-08,26439130
2016-02-09,26399529
2016-02-10,26362951
2016-02-11,26354675
2016-02-12,26318695
2016-02-13,26376897
2016-02-14,26427837
2016-02-15,26449161
2016-02-16,26441444
2016-02-17,26357910
2016-02-18,26182714
2016-02-19,25972577
2016-02-20,25807913
2016-02-21,25323430
2016-02-22,25029684
2016-02-23,24279498
2016-02-24,23731360
2016-02-25,24777102
2016-02-26,25321175
2016-02-27,25434496
2016-02-28,25508028
2016-02-29,25329005
2016-03-01,25332691
2016-03-02,25168488
2016-03-03,25176473
2016-03-04,25174445
2016-03-05,25229210
2016-03-06,25205558
2016-03-07,25243612
2016-03-08,25262010
2016-03-09,25279216
2016-03-10,25182360
2016-03-11,25136690
2016-03-12,25098720
2016-03-13,25170031
2016-03-14,25020695
2016-03-15,24901493
2016-03-16,24644638
2016-03-17,24374445
2016-03-18,24297379
2016-03-19,24302471
2016-03-20,24383472
2016-03-21,24499442
2016-03-22,24413595
2016-03-23,24388625
2016-03-24,24458367
2016-03-25,24553302
2016-03-26,24753817
2016-03-27,24731661
2016-03-28,24747538
2016-03-29,24647442
2016-03-30,24217878
2016-03-31,23814371
2016-04-01,23471472
2016-04-02,23611904
2016-04-03,23828963
2016-04-04,23944919
2016-04-05,24056010
2016-04-06,24039475
2016-04-07,24082344
2016-04-08,24267333
2016-04-09,24455736
2016-04-10,24577337
2016-04-11,24464870
