date_obj,Initiate%20cuisse price
2015-03-26,4932
2015-03-27,4932
2015-03-28,4795
2015-03-29,4795
2015-03-30,4675
2015-03-31,4675
2015-04-01,4652
2015-04-02,4652
2015-04-03,4697
2015-04-04,4637
2015-04-05,4637
2015-04-06,4617
2015-04-07,4617
2015-04-08,4624
2015-04-09,4624
2015-04-10,4640
2015-04-11,4640
2015-04-12,4627
2015-04-13,4627
2015-04-14,4624
2015-04-15,4624
2015-04-16,4646
2015-04-17,4646
2015-04-18,4625
2015-04-19,4625
2015-04-20,4566
2015-04-21,4566
2015-04-22,4547
2015-04-23,4547
2015-04-24,4650
2015-04-25,4650
2015-04-26,4590
2015-04-27,4590
2015-04-28,4705
2015-04-29,4705
2015-04-30,4773
2015-05-01,4773
2015-05-02,4689
2015-05-03,4689
2015-05-04,4551
2015-05-05,4551
2015-05-06,4459
2015-05-07,4459
2015-05-08,4535
2015-05-09,4535
2015-05-10,4620
2015-05-11,4620
2015-05-12,4614
2015-05-13,4614
2015-05-14,4602
2015-05-15,4602
2015-05-16,4602
2015-05-17,4627
2015-05-18,4627
2015-05-19,4644
2015-05-20,4644
2015-05-21,4644
2015-05-22,4649
2015-05-23,4649
2015-05-24,4604
2015-05-25,4604
2015-05-26,4658
2015-05-27,4658
2015-05-28,4683
2015-05-29,4683
2015-05-30,4668
2015-05-31,4668
2015-06-01,4658
2015-06-02,4658
2015-06-03,4642
2015-06-04,4642
2015-06-05,4638
2015-06-06,4641
2015-06-07,4641
2015-06-08,4647
2015-06-09,4647
2015-06-10,4648
2015-06-11,4648
2015-06-12,4812
2015-06-13,4850
2015-06-14,4850
2015-06-15,4710
2015-06-16,4710
2015-06-17,4705
2015-06-18,4811
2015-06-19,4811
2015-06-20,4843
2015-06-21,4843
2015-06-22,4808
2015-06-23,4808
2015-06-24,4683
2015-06-25,4683
2015-06-26,4594
2015-06-27,4594
2015-06-28,4592
2015-06-29,4592
2015-06-30,4588
2015-07-01,4666
2015-07-02,4666
2015-07-03,4663
2015-07-04,4663
2015-07-05,4638
2015-07-06,4638
2015-07-07,4651
2015-07-08,4651
2015-07-09,4640
2015-07-10,4640
2015-07-11,4692
2015-07-12,4692
2015-07-13,4724
2015-07-14,4724
2015-07-15,4716
2015-07-16,4716
2015-07-17,4669
2015-07-18,4669
2015-07-19,4619
2015-07-20,4619
2015-07-21,4666
2015-07-22,4659
2015-07-23,4659
2015-07-24,4699
2015-07-25,4699
2015-07-26,4747
2015-07-27,4747
2015-07-28,4672
2015-07-29,4649
2015-07-30,4649
2015-07-31,4687
2015-08-01,4687
2015-08-02,4686
2015-08-03,4686
2015-08-04,4653
