date_obj,Bucket%20helm%20(g) price
2016-07-06,150000000
2016-07-07,156314616
2016-07-08,156314616
2016-07-09,156314616
2016-07-10,156314616
2016-07-11,156314616
2016-07-12,156314616
2016-07-13,156314616
2016-07-14,163034449
2016-07-15,163034449
2016-07-16,163034449
2016-07-17,163034449
2016-07-18,163034449
2016-07-23,163034449
2016-07-24,163034449
2016-07-25,163034449
2016-07-26,163034449
2016-07-27,163034449
2016-07-28,163034449
2016-07-29,163034449
2016-07-30,154938903
2016-07-31,154938903
2016-08-01,154938903
2016-08-02,154938903
2016-08-03,154938903
2016-08-04,154938903
2016-08-05,154938903
2016-08-06,154938903
2016-08-07,154938903
2016-08-08,154938903
2016-08-09,154938903
2016-08-10,154938903
2016-08-11,154938903
2016-08-12,154938903
2016-08-13,154938903
2016-08-14,154938903
2016-08-15,154938903
2016-08-16,154938903
2016-08-17,154938903
2016-08-18,147250646
2016-08-19,147250646
2016-08-20,147250646
2016-08-21,147250646
2016-08-22,147250646
2016-08-23,147250646
2016-08-24,147250646
2016-08-25,147250646
2016-08-26,147250646
2016-08-28,147250646
2016-08-31,139888113
2016-09-01,139888113
2016-09-02,139888113
2016-09-03,139888113
2016-09-04,139888113
2016-09-05,139888113
2016-09-06,139888113
2016-09-07,139888113
2016-09-08,139888113
2016-09-09,139888113
2016-09-10,139888113
2016-09-11,139888113
2016-09-12,139888113
2016-09-13,132893707
2016-09-14,132893707
2016-09-15,132893707
2016-09-16,132893707
2016-09-17,132893707
2016-09-18,132893707
2016-09-19,132893707
2016-09-20,132893707
2016-09-21,132893707
2016-09-22,132893707
2016-09-23,132893707
2016-09-24,132893707
2016-09-25,126249021
2016-09-26,126249021
2016-09-27,126249021
2016-09-28,126249021
2016-09-29,126249021
2016-09-30,126249021
2016-10-01,126249021
2016-10-02,126249021
2016-10-03,126249021
2016-10-04,126249021
2016-10-05,126249021
2016-10-06,126249021
2016-10-07,126249021
2016-10-08,119936569
2016-10-09,119936569
2016-10-10,119936569
2016-10-11,119936569
2016-10-12,119936569
2016-10-13,119936569
2016-10-14,119936569
2016-10-15,119936569
2016-10-16,119936569
2016-10-17,119936569
2016-10-18,119936569
2016-10-19,119936569
2016-10-20,113939740
2016-10-21,113939740
2016-10-22,113939740
2016-10-23,113939740
2016-10-24,113939740
2016-10-25,113939740
2016-10-26,113939740
2016-10-27,113939740
2016-10-28,113939740
2016-10-29,108242753
2016-10-30,108242753
2016-10-31,108242753
2016-11-01,108242753
2016-11-02,108242753
2016-11-03,108242753
2016-11-04,108242753
2016-11-05,108242753
2016-11-06,108242753
2016-11-07,108242753
2016-11-08,108242753
2016-11-09,108242753
2016-11-10,102860029
2016-11-11,102860029
2016-11-12,102860029
2016-11-13,102860029
2016-11-14,102860029
2016-11-15,102860029
2016-12-07,92893406
2016-12-08,88248735
2016-12-09,88248735
2016-12-10,88248735
2016-12-11,88248735
2016-12-12,88248735
2016-12-13,88248735
2016-12-14,83872466
2016-12-15,83872466
2016-12-16,83872466
2016-12-17,83872466
2016-12-18,83872466
2016-12-19,83872466
2016-12-20,83872466
2016-12-21,79709347
2016-12-22,79709347
2016-12-23,79709347
2016-12-24,79709347
2016-12-25,79709347
2016-12-26,75755763
2016-12-27,75755763
2016-12-28,75755763
2016-12-29,75755763
2016-12-30,71997111
2016-12-31,71997111
2017-01-01,71997111
2017-01-02,68408012
2017-01-03,68408012
2017-01-04,68408012
2017-01-05,68408012
2017-01-06,64987611
2017-01-07,64987611
2017-01-08,64987611
2017-01-09,61738230
2017-01-10,61738230
2017-01-11,61738230
2017-01-12,58651318
2017-01-13,58651318
2017-01-14,58651318
2017-01-15,58651318
2017-01-16,55734594
2017-01-17,55734594
2017-01-18,55734594
2017-01-19,52947864
2017-01-20,52947864
2017-01-21,52947864
2017-01-22,50317016
2017-01-23,50317016
2017-01-27,45411106
2017-01-28,45411106
2017-01-29,43140550
2017-01-30,43140550
2017-01-31,43140550
2017-02-01,43140550
2017-02-02,40997088
2017-02-03,40997088
2017-02-04,40997088
2017-02-05,38961085
2017-02-06,38961085
2017-02-07,38961085
2017-02-08,37013030
2017-02-09,37013030
2017-02-10,37013030
2017-02-11,35162378
2017-02-12,35162378
2017-02-13,35162378
2017-02-14,35162378
2017-02-15,35162378
2017-02-16,33404259
2017-02-18,33404259
2017-02-19,31746699
2017-02-20,31746699
2017-02-21,31746699
2017-02-22,31746699
2017-02-23,30207103
2017-02-24,30207103
2017-02-25,30207103
2017-02-26,30207103
2017-02-27,28743946
2017-02-28,28743946
2017-03-01,28743946
2017-03-02,27369274
2017-03-03,27369274
2017-03-04,27369274
2017-03-05,27369274
2017-03-06,27369274
2017-03-07,26000810
2017-03-08,26000810
2017-03-09,26000810
2017-03-10,26000810
2017-03-11,26000810
2017-03-12,24700769
2017-03-13,24700769
2017-03-14,24700769
2017-03-15,23465730
2017-03-16,23465730
2017-03-17,23465730
2017-03-18,23465730
2017-03-19,22299554
2017-03-20,22299554
2017-03-21,22299554
2017-03-22,22299554
2017-03-23,22299554
2017-03-24,22299554
