date_obj,Dragonstone%20dragon%20bolts price
2018-01-03,2100
2018-01-04,2190
2018-01-05,2290
2018-01-06,2290
2018-01-07,2405
2018-01-08,2405
2018-01-09,2335
2018-01-10,2335
2018-01-11,2218
2018-01-12,2218
2018-01-13,2141
2018-01-14,2141
2018-01-15,2033
2018-01-16,2033
2018-01-17,2033
2018-01-18,1936
2018-01-19,1936
2018-01-20,1936
2018-01-21,1936
2018-01-22,1839
2018-01-23,1839
2018-01-25,1752
2018-01-26,1752
2018-01-27,1665
2018-01-28,1665
2018-01-29,1620
2018-01-30,1620
2018-01-31,1620
2018-02-01,1544
2018-02-02,1544
2018-02-03,1502
2018-02-04,1502
2018-02-05,1502
2018-02-06,1477
2018-02-07,1477
2018-02-08,1477
2018-02-09,1419
2018-02-10,1419
2018-02-11,1349
2018-02-12,1349
2018-02-13,1281
2018-02-14,1281
2018-02-15,1258
2018-02-16,1258
2018-02-17,1287
2018-02-18,1287
2018-02-19,1349
2018-02-20,1349
2018-02-21,1403
2018-02-22,1403
2018-02-23,1473
2018-02-24,1473
2018-02-25,1515
2018-02-26,1515
2018-02-27,1576
2018-02-28,1576
2018-03-01,1576
2018-03-02,1648
2018-03-03,1648
2018-03-04,1648
2018-03-05,1721
2018-03-06,1721
2018-03-07,1773
2018-03-09,1773
2018-03-10,1832
2018-03-11,1832
2018-03-12,1832
2018-03-13,1881
2018-03-14,1881
2018-03-15,1881
2018-03-16,1881
2018-03-17,1846
2018-03-18,1846
2018-03-20,1846
2018-03-21,1846
2018-03-23,1849
2018-03-24,1849
2018-03-25,1864
2018-03-26,1864
2018-03-27,1864
2018-03-28,1864
2018-03-29,1946
2018-03-30,1946
2018-03-31,1946
2018-04-01,1946
2018-04-02,1995
2018-04-03,1995
2018-04-04,1995
2018-04-05,1995
2018-04-06,1995
2018-04-07,1995
2018-04-08,2040
2018-04-09,2040
2018-04-10,2040
2018-04-11,2040
2018-04-12,2127
2018-04-13,2127
2018-04-14,2127
2018-04-15,2127
2018-04-16,2127
2018-04-17,2180
2018-04-18,2180
2018-04-19,2180
2018-04-20,2180
2018-04-21,2244
2018-04-22,2244
2018-04-23,2244
2018-04-24,2244
2018-04-25,2244
2018-04-26,2310
2018-04-27,2310
2018-04-28,2310
2018-04-29,2310
2018-04-30,2319
2018-05-01,2319
2018-05-03,2319
2018-05-04,2315
2018-05-05,2315
2018-05-07,2315
2018-05-08,2271
2018-05-09,2271
2018-05-10,2271
2018-05-11,2271
2018-05-12,2364
2018-05-13,2364
2018-05-14,2364
2018-05-15,2364
2018-05-16,2455
2018-05-17,2455
2018-05-18,2455
2018-05-19,2497
2018-05-20,2497
2018-05-21,2379
2018-05-22,2379
2018-05-23,2379
2018-05-24,2322
2018-05-25,2322
2018-05-26,2420
2018-05-27,2420
2018-05-28,2420
2018-05-29,2420
2018-05-30,2300
2018-05-31,2300
2018-06-01,2300
2018-06-02,2185
2018-06-03,2185
2018-06-04,2185
2018-06-05,2185
2018-06-06,2075
2018-06-07,2075
