date_obj,Leather%20chaps%20(g) price
2019-04-11,40000
2019-04-11,41882
2019-04-12,43977
2019-04-13,46087
2019-04-14,48392
2019-04-15,47973
2019-04-16,47815
2019-04-17,46481
2019-04-18,45097
2019-04-19,43375
2019-04-20,42577
2019-04-21,43948
2019-04-22,45862
2019-04-23,48154
2019-04-24,50475
2019-04-25,52810
2019-04-26,55405
2019-04-27,57881
2019-04-28,59907
2019-04-29,62574
2019-04-30,64497
2019-05-01,64497
2019-05-02,65314
2019-05-03,65624
2019-05-04,66701
2019-05-05,69560
2019-05-06,72769
2019-05-07,75936
2019-05-08,78159
2019-05-09,81146
2019-05-10,85077
2019-05-11,85077
2019-05-12,89314
2019-05-13,92867
2019-05-14,96876
2019-05-15,96876
2019-05-16,100118
2019-05-17,100118
2019-05-18,103293
2019-05-19,103293
2019-05-20,108071
2019-05-21,108071
2019-05-22,112784
2019-05-23,117793
2019-05-24,117793
2019-05-25,123683
2019-05-26,123683
2019-05-27,129072
2019-05-28,129072
2019-05-29,134838
2019-05-30,134838
2019-05-31,141493
2019-06-01,141493
2019-06-02,148568
2019-06-03,148568
2019-06-04,155997
2019-06-05,162116
2019-06-06,162116
2019-06-07,165484
2019-06-08,171050
2019-06-09,171050
2019-06-10,178423
2019-06-11,178423
2019-06-12,185273
2019-06-13,185273
2019-06-14,185580
2019-06-15,185580
2019-06-16,178753
2019-06-17,171246
2019-06-18,171246
2019-06-19,163622
2019-06-20,155440
2019-06-21,155440
2019-06-22,147679
2019-06-23,141938
2019-06-24,141938
2019-06-25,134853
2019-06-26,134853
2019-06-27,129332
2019-06-28,129332
2019-06-29,124263
2019-06-30,118525
2019-07-01,118525
2019-07-02,112637
2019-07-03,107921
2019-07-04,107921
2019-07-05,102602
2019-07-06,102602
2019-07-07,98516
2019-07-08,98516
2019-07-09,93800
2019-07-10,89719
2019-07-11,89719
2019-07-12,85720
2019-07-13,85720
2019-07-14,82948
2019-07-15,82948
2019-07-16,82325
2019-07-17,81186
2019-07-18,81186
2019-07-19,78411
2019-07-20,78411
2019-07-21,79490
2019-07-22,79490
2019-07-23,83387
2019-07-24,83387
2019-07-25,83953
2019-07-26,83953
2019-07-27,79805
2019-07-28,79805
2019-07-29,75923
2019-07-30,72818
2019-07-31,69636
2019-08-01,69636
2019-08-02,66626
2019-08-03,65958
2019-08-04,65958
2019-08-05,67962
2019-08-06,67962
2019-08-07,67513
2019-08-08,67513
2019-08-09,67011
2019-08-10,67872
2019-08-11,67872
2019-08-12,69486
2019-08-13,69486
2019-08-14,67895
2019-08-15,67895
2019-08-16,66334
2019-08-17,66334
2019-08-18,64784
2019-08-19,64101
2019-08-20,64101
2019-08-21,62804
2019-08-22,62353
2019-08-23,62353
2019-08-24,61796
2019-08-24,61796
2019-08-25,61796
2019-08-25,61796
2019-08-26,60206
2019-08-26,60206
2019-08-27,60206
2019-08-27,60206
2019-08-28,58120
2019-08-29,58120
2019-08-30,56960
2019-08-31,56960
2019-09-01,56773
2019-09-02,56773
2019-09-03,56499
2019-09-04,56499
2019-09-05,55824
2019-09-06,55824
2019-09-07,55095
2019-09-08,55095
2019-09-09,54618
2019-09-10,54618
2019-09-11,56997
2019-09-12,56997
2019-09-13,55099
2019-09-14,55099
2019-09-15,54082
2019-09-16,54095
2019-09-17,54095
2019-09-18,52578
2019-09-19,52578
2019-09-20,51985
2019-09-21,51985
2019-09-22,52632
2019-09-23,52632
2019-09-24,53784
2019-09-25,53784
2019-09-26,54557
2019-09-27,54557
2019-09-28,55920
2019-09-29,55920
2019-09-30,55324
2019-10-01,54000
2019-10-02,54000
2019-10-03,52248
2019-10-04,52248
2019-10-05,50311
2019-10-06,50115
2019-10-07,50115
2019-10-08,50311
2019-10-09,50311
2019-10-10,49919
2019-10-11,49919
2019-10-12,48439
2019-10-13,47697
2019-10-14,47697
2019-10-15,47513
2019-10-16,47513
2019-10-17,47626
2019-10-18,48639
2019-10-19,48639
2019-10-20,48846
2019-10-21,48846
2019-10-22,49595
2019-10-23,49595
2019-10-24,51103
2019-10-25,51103
2019-10-26,51865
2019-10-27,51865
2019-10-28,52570
2019-10-29,52570
2019-10-30,53307
2019-10-31,53307
2019-11-01,52856
2019-11-02,52856
2019-11-03,53879
2019-11-04,53879
2019-11-05,54602
2019-11-06,54602
2019-11-07,55483
2019-11-08,55483
2019-11-09,55993
2019-11-10,56602
2019-11-11,56602
2019-11-12,56693
2019-11-13,56693
2019-11-14,57741
2019-11-15,57741
2019-11-16,56766
2019-11-17,56766
2019-11-18,55639
2019-11-19,55639
2019-11-20,55025
2019-11-21,55025
2019-11-22,54073
2019-11-23,54073
2019-11-24,52672
2019-11-25,52672
2019-11-26,54095
2019-11-27,54095
2019-11-28,56448
2019-11-29,56448
2019-11-30,58670
2019-12-01,58670
2019-12-02,60044
2019-12-03,60044
2019-12-04,61103
2019-12-05,61103
2019-12-06,62599
2019-12-07,62599
2019-12-08,63612
2019-12-09,63612
2019-12-10,63345
2019-12-11,63345
2019-12-12,62998
2019-12-13,62998
2019-12-14,62606
2019-12-15,62606
2019-12-16,63864
2019-12-17,63864
2019-12-18,65670
2019-12-19,65670
2019-12-20,67066
2019-12-21,67066
2019-12-22,68963
2019-12-23,68963
2019-12-24,71532
2019-12-25,71532
2019-12-26,73737
2019-12-27,73737
2019-12-28,75546
2019-12-29,75546
2019-12-30,77228
2019-12-31,77228
2020-01-01,77753
2020-01-02,77753
2020-01-03,78022
2020-01-04,78022
2020-01-05,79528
2020-01-06,79528
2020-01-07,80603
2020-01-08,80603
2020-01-09,80603
2020-01-10,79147
2020-01-11,79147
2020-01-12,77358
2020-01-13,77358
2020-01-14,77358
2020-01-15,76322
2020-01-16,76322
2020-01-17,75003
2020-01-18,75003
2020-01-19,73180
2020-01-20,73180
2020-01-21,70251
