date_obj,Orange%20slices price
2015-03-26,9501
2015-03-27,9501
2015-03-28,9025
2015-03-29,9025
2015-03-30,9025
2015-03-31,9025
2015-04-01,9025
2015-04-02,9025
2015-04-03,9025
2015-04-04,9025
2015-04-05,9025
2015-04-06,8573
2015-04-07,8573
2015-04-08,8573
2015-04-09,8573
2015-04-10,8573
2015-04-11,8573
2015-04-12,8573
2015-04-13,8573
2015-04-14,8573
2015-04-15,8157
2015-04-16,8157
2015-04-17,8157
2015-04-18,8157
2015-04-19,8157
2015-04-20,8157
2015-04-21,8157
2015-04-22,8157
2015-04-23,8157
2015-04-24,8157
2015-04-25,8157
2015-04-26,7751
2015-04-27,7751
2015-04-28,7751
2015-04-29,7751
2015-04-30,7751
2015-05-01,7751
2015-05-02,7751
2015-05-03,7751
2015-05-04,7751
2015-05-05,7751
2015-05-06,7364
2015-05-07,7364
2015-05-08,7364
2015-05-09,7364
2015-05-10,7364
2015-05-11,7364
2015-05-12,7364
2015-05-13,7364
2015-05-14,7364
2015-05-15,7364
2015-05-16,7364
2015-05-17,7005
2015-05-18,7005
2015-05-19,7005
2015-05-20,7005
2015-05-21,7005
2015-05-22,7005
2015-05-23,7005
2015-05-24,7005
2015-05-25,7005
2015-05-26,7005
2015-05-27,7005
2015-05-28,6654
2015-05-29,6654
2015-05-30,6654
2015-05-31,6654
2015-06-01,6654
2015-06-02,6654
2015-06-03,6654
2015-06-04,6654
2015-06-05,6654
2015-06-06,6323
2015-06-07,6323
2015-06-08,6323
2015-06-09,6323
2015-06-10,6323
2015-06-11,6323
2015-06-12,6323
2015-06-13,6323
2015-06-14,6323
2015-06-15,6323
2015-06-16,6007
2015-06-17,6007
2015-06-18,6007
2015-06-19,6007
2015-06-20,6007
2015-06-21,6007
2015-06-22,6007
2015-06-23,6007
2015-06-24,5707
2015-06-25,5707
2015-06-26,5707
2015-06-27,5707
2015-06-28,5707
2015-06-29,5707
2015-06-30,5707
2015-07-01,5707
2015-07-02,5707
2015-07-03,5707
2015-07-04,5423
2015-07-05,5423
2015-07-06,5423
2015-07-07,5423
2015-07-08,5423
2015-07-09,5423
2015-07-10,5423
2015-07-11,5423
2015-07-12,5423
2015-07-13,5172
2015-07-14,5172
2015-07-15,5172
2015-07-16,5172
2015-07-17,5172
2015-07-18,5172
2015-07-19,5172
2015-07-20,5172
2015-07-21,5172
2015-07-22,4915
2015-07-23,4915
2015-07-24,4915
2015-07-25,4915
2015-07-26,4915
2015-07-27,4915
2015-07-28,4915
2015-07-29,4915
2015-07-30,4687
2015-07-31,4687
2015-08-01,4687
2015-08-02,4687
2015-08-03,4687
2015-08-04,4687
2015-08-05,4687
2015-08-06,4687
2015-08-07,4454
2015-08-08,4454
2015-08-09,4454
2015-08-10,4454
2015-08-11,4454
2015-08-12,4454
2015-08-13,4454
2015-08-14,4454
2015-08-15,4454
2015-08-16,4454
2015-08-17,4454
2015-08-18,4454
2015-08-19,4454
2015-08-20,4237
2015-08-21,4237
2015-08-22,4237
2015-08-23,4237
2015-08-24,4237
2015-08-25,4237
2015-08-26,4237
2015-08-27,4237
2015-08-28,4237
2015-08-29,4237
2015-08-30,4237
2015-08-31,4237
2015-09-01,4237
2015-09-02,4237
2015-09-03,4237
2015-09-04,4028
2015-09-05,4028
2015-09-06,4028
2015-09-07,4028
2015-09-08,4028
2015-09-09,4028
2015-09-10,4028
2015-09-11,4028
2015-09-12,4028
2015-09-13,4028
2015-09-14,4028
2015-09-15,4028
2015-09-16,4028
2015-09-17,4028
2015-09-18,4028
2015-09-19,3834
2015-09-20,3834
2015-09-21,3834
2015-09-22,3834
2015-09-23,3834
2015-09-24,3834
2015-09-25,3834
2015-09-27,3834
2015-09-28,3834
2015-09-29,3834
2015-09-30,3834
2015-10-05,3644
2015-10-06,3644
2015-10-07,3644
2015-10-08,3644
2015-10-09,3644
2015-10-10,3644
2015-10-11,3644
2015-10-12,3644
2015-10-13,3644
2015-10-14,3644
2015-10-15,3644
2015-10-16,3644
2015-10-17,3644
2015-10-18,3644
2015-10-19,3644
2015-10-20,3644
2015-10-22,3480
2015-10-23,3480
2015-10-24,3480
2015-10-25,3480
2015-10-26,3480
2015-10-27,3480
2015-10-29,3480
2015-10-30,3480
2015-10-31,3480
2015-11-01,3480
2015-11-02,3480
2015-11-03,3480
2015-11-04,3480
2015-11-05,3480
2015-11-06,3480
2015-11-07,3307
2015-11-08,3307
2015-11-09,3307
2015-11-10,3307
2015-11-11,3307
2015-11-12,3307
2015-11-13,3307
2015-11-14,3307
2015-11-15,3307
2015-11-16,3307
2015-11-17,3307
2015-11-18,3307
2015-11-19,3307
2015-11-20,3307
2015-11-21,3307
2015-11-22,3307
2015-11-23,3307
2015-11-24,3307
2015-11-25,3142
2015-11-26,3142
2015-11-27,3142
2015-11-28,3142
2015-11-29,3142
2015-11-30,3142
2015-12-01,3142
2015-12-02,3142
2015-12-03,3142
2015-12-04,3142
2015-12-05,3142
2015-12-06,3142
2015-12-07,3142
2015-12-08,3142
2015-12-09,3142
2015-12-10,3142
2015-12-11,2987
2015-12-12,2987
2015-12-13,2987
2015-12-14,2987
2015-12-15,2987
2015-12-16,2987
2015-12-17,2987
2015-12-18,2987
2015-12-19,2987
2015-12-20,2987
2015-12-21,2987
2015-12-22,2987
2015-12-23,2987
2015-12-24,2987
2015-12-25,2841
2015-12-26,2841
2015-12-27,2841
2015-12-28,2841
2015-12-29,2841
2015-12-30,2841
2015-12-31,2841
2016-01-01,2841
2016-01-02,2841
2016-01-03,2841
2016-01-04,2841
2016-01-05,2707
2016-01-06,2707
2016-01-07,2707
2016-01-08,2707
2016-01-09,2707
2016-01-10,2707
2016-01-11,2707
2016-01-12,2707
2016-01-13,2707
2016-01-14,2707
2016-01-15,2707
2016-01-16,2707
2016-01-17,2574
2016-01-18,2574
2016-01-19,2574
2016-01-20,2574
2016-01-21,2574
2016-01-22,2574
2016-01-23,2574
2016-01-24,2574
2016-01-25,2574
2016-01-26,2574
2016-01-27,2446
2016-01-28,2446
2016-01-29,2446
2016-01-30,2446
2016-01-31,2446
2016-02-01,2446
2016-02-02,2446
2016-02-03,2446
2016-02-04,2446
2016-02-05,2446
2016-02-06,2446
2016-02-07,2328
2016-02-08,2328
2016-02-09,2328
2016-02-10,45
2016-02-11,45
2016-02-12,45
2016-02-13,45
2016-02-14,45
2016-02-15,45
2016-02-16,45
2016-02-17,45
2016-02-18,45
2016-02-19,45
2016-02-20,45
2016-02-21,44
2016-02-22,44
2016-02-23,44
2016-02-24,44
2016-02-25,44
2016-02-26,44
2016-02-27,44
