date_obj,Zamorak%20armour%20set%20(lg) price
2015-03-26,582127
2015-03-27,582127
2015-03-28,554754
2015-03-29,554754
2015-03-30,529020
2015-03-31,529020
2015-04-01,529020
2015-04-02,503856
2015-04-03,503856
2015-04-04,503856
2015-04-05,481066
2015-04-06,481066
2015-04-07,481066
2015-04-08,459180
2015-04-09,459180
2015-04-10,459180
2015-04-11,440540
2015-04-12,440540
2015-04-13,440540
2015-04-14,440540
2015-04-15,421956
2015-04-16,421956
2015-04-17,421956
2015-04-18,421956
2015-04-19,403193
2015-04-20,403193
2015-04-21,403193
2015-04-22,403193
2015-04-23,390925
2015-04-24,390925
2015-04-25,390925
2015-04-26,390925
2015-04-27,375969
2015-04-28,375969
2015-04-29,375969
2015-04-30,375969
2015-05-01,363841
2015-05-02,363841
2015-05-03,363841
2015-05-04,363841
2015-05-05,351919
2015-05-06,351919
2015-05-07,351919
2015-05-08,342486
2015-05-09,342486
2015-05-10,342486
2015-05-11,342486
2015-05-12,342560
2015-05-13,342560
2015-05-14,342560
2015-05-15,342560
2015-05-16,336682
2015-05-17,336682
2015-05-18,336682
2015-05-19,327959
2015-05-20,327959
2015-05-21,327959
2015-05-22,327959
2015-05-23,325939
2015-05-24,325939
2015-05-25,325939
2015-05-26,328533
2015-05-27,328533
2015-05-28,326588
2015-05-29,326588
2015-05-30,321629
2015-05-31,321629
2015-06-01,324664
2015-06-02,324664
2015-06-03,324664
2015-06-04,332523
2015-06-05,332523
2015-06-06,334019
2015-06-07,334019
2015-06-08,337644
2015-06-09,337644
2015-06-10,344833
2015-06-11,344833
2015-06-12,344833
2015-06-13,352303
2015-06-14,352303
2015-06-15,352303
2015-06-16,356289
2015-06-17,356289
2015-06-18,360208
2015-06-19,360208
2015-06-20,359808
2015-06-21,359808
2015-06-22,357836
2015-06-23,357836
2015-06-24,359579
2015-06-25,359579
2015-06-26,359579
2015-06-27,364690
2015-06-28,364690
2015-06-29,368610
2015-06-30,368610
2015-07-01,366392
2015-07-02,366392
2015-07-03,363430
2015-07-04,363430
2015-07-05,363430
2015-07-06,363338
2015-07-07,363338
2015-07-08,369628
2015-07-09,369628
2015-07-10,378250
2015-07-11,378250
2015-07-12,378250
2015-07-13,388994
2015-07-14,388994
2015-07-15,401995
2015-07-16,401995
