date_obj,Ancient%20medallion price
2018-02-07,4000000
2018-02-08,4000000
2018-02-09,3907784
2018-02-10,3907784
2018-02-11,3940317
2018-02-12,3937901
2018-02-13,3926123
2018-02-14,3957860
2018-02-15,3942977
2018-02-16,3892041
2018-02-17,3940178
2018-02-18,3950540
2018-02-19,3942510
2018-02-20,3923063
2018-02-21,3933151
2018-02-22,3933151
2018-02-23,3917280
2018-02-24,3917280
2018-02-25,3918644
2018-02-26,3918644
2018-02-27,3921443
2018-02-28,3921443
2018-03-01,3929365
2018-03-02,3917046
2018-03-03,3917046
2018-03-04,3925350
2018-03-05,3933214
2018-03-06,3933214
2018-03-07,3947526
2018-03-08,3947526
2018-03-09,3962205
2018-03-10,3962205
2018-03-11,3939260
2018-03-12,3939260
2018-03-13,3936247
2018-03-14,3936247
2018-03-15,3955231
2018-03-16,3955231
2018-03-17,3950133
2018-03-18,3950133
2018-03-19,3925335
2018-03-20,3950208
2018-03-21,3950208
2018-03-22,3970975
2018-03-23,3970975
2018-03-24,3931134
2018-03-25,3931134
2018-03-26,3961220
2018-03-27,3971386
2018-03-28,3971386
2018-03-29,3965271
2018-03-30,3965271
2018-03-31,3962848
2018-04-01,3962848
2018-04-02,3959759
2018-04-03,3940815
2018-04-04,3940815
2018-04-05,3941790
2018-04-06,3946921
2018-04-07,3946921
2018-04-08,3951009
2018-04-09,3951009
2018-04-10,3960076
2018-04-11,3962176
2018-04-12,3962176
2018-04-13,3949661
2018-04-14,3949661
2018-04-15,3957383
2018-04-16,3957383
2018-04-17,3973654
2018-04-18,3973654
2018-04-19,3965442
2018-04-20,3965442
2018-04-21,3968676
2018-04-22,3968676
2018-04-23,3976975
2018-04-24,3976975
2018-04-25,3980694
2018-04-26,3980694
2018-04-27,3950204
2018-04-28,3963330
2018-04-29,3963330
2018-04-30,3899811
2018-05-01,3899811
2018-05-02,3918735
2018-05-03,3918735
2018-05-04,3928796
2018-05-05,3935953
2018-05-06,3935953
2018-05-07,3945443
2018-05-08,3945443
2018-05-09,3941597
2018-05-10,3948526
2018-05-11,3948526
2018-05-12,3948006
2018-05-13,3948006
2018-05-14,3950848
2018-05-15,3950848
2018-05-16,3952159
2018-05-17,3952159
2018-05-18,3956524
2018-05-19,3956818
2018-05-20,3956818
2018-05-21,3957427
2018-05-22,3957427
2018-05-23,3936602
2018-05-24,3936602
2018-05-25,3921304
2018-05-26,3916038
2018-05-27,3916038
2018-05-28,3925384
2018-05-29,3925384
2018-05-30,3928776
2018-05-31,3928776
2018-06-01,3932457
2018-06-02,3943013
2018-06-03,3943013
2018-06-04,3960878
2018-06-05,3944766
2018-06-06,3948023
2018-06-07,3948023
2018-06-08,3950193
2018-06-09,3950193
2018-06-10,3958631
2018-06-11,3958631
2018-06-12,3967508
2018-06-13,3969225
2018-06-14,3969100
2018-06-15,3969100
2018-06-16,3936032
2018-06-17,3955938
2018-06-18,3968222
2018-06-19,3956686
2018-06-20,3956686
2018-06-21,3957052
2018-06-22,3980116
2018-06-23,3980116
2018-06-24,3962199
2018-06-25,3961221
2018-06-26,3964972
2018-06-27,3964972
2018-06-28,3972624
2018-06-29,3961332
2018-06-30,3958580
2018-07-01,3969277
2018-07-02,3969277
2018-07-03,3886134
2018-07-04,3896531
2018-07-05,3896531
2018-07-06,3916685
2018-07-07,3916685
2018-07-08,3935076
2018-07-09,3940268
2018-07-10,3941759
2018-07-11,3956657
2018-07-12,3956657
2018-07-13,3985949
2018-07-14,3965477
2018-07-15,3965477
2018-07-16,3924103
2018-07-17,3985161
2018-07-18,3986278
2018-07-19,3986278
2018-07-20,3990468
2018-07-21,3946743
2018-07-22,3949757
2018-07-23,3955909
2018-07-24,3955909
2018-07-25,3956608
2018-07-26,3957842
2018-07-27,3955103
2018-07-28,3950561
2018-07-29,3965771
2018-07-30,3978118
2018-07-31,3977359
2018-08-01,3977359
2018-08-02,3978203
2018-08-03,3978272
2018-08-04,3958745
2018-08-05,3836398
2018-08-06,3900174
2018-08-07,3935635
2018-08-08,3956119
2018-08-09,3956119
2018-08-10,3963420
2018-08-11,3967739
2018-08-12,3969188
2018-08-14,3960631
2018-08-16,3959760
2018-08-17,3953772
2018-08-18,3953772
2018-08-19,3964705
2018-08-20,3978150
2018-08-21,3978150
2018-08-22,3968056
2018-08-23,3970120
2018-08-24,3971032
2018-08-25,3972796
2018-08-26,3972796
2018-08-27,3974015
2018-08-28,3969260
2018-08-29,3971808
2018-08-30,3973696
2018-08-31,3974419
2018-09-01,3976271
2018-09-02,3976271
2018-09-03,3973853
2018-09-04,3973858
2018-09-05,3975815
2018-09-06,3975815
2018-09-07,3955339
2018-09-08,3841083
2018-09-09,3841083
2018-09-10,3870577
2018-09-11,3870577
2018-09-12,3878696
2018-09-13,3897870
2018-09-14,3943571
2018-09-15,3967830
2018-09-16,3967830
2018-09-17,3972475
2018-09-18,3989472
2018-09-19,3992955
2018-09-20,3994014
2018-09-21,3999605
2018-09-22,3929438
2018-09-23,3919318
2018-09-24,3934940
2018-09-25,3934940
2018-09-26,3938051
2018-09-27,3938051
2018-09-28,3940601
2018-09-29,3940601
2018-09-30,3945324
2018-10-02,3947514
2018-10-03,3948251
2018-10-04,3948251
2018-10-05,3950137
2018-10-06,3951207
2018-10-07,3951207
2018-10-08,3953692
2018-10-09,3976202
2018-10-10,3961791
2018-10-11,3965180
2018-10-12,3962645
2018-10-13,3964537
2018-10-14,3964212
2018-10-15,3963772
2018-10-16,3963409
2018-10-17,3921616
2018-10-18,3883635
2018-10-19,3928887
2018-10-20,3928887
2018-10-21,3936840
2018-10-22,3957834
2018-10-23,3957834
2018-10-24,3988502
2018-10-25,3981156
2018-10-26,3996552
2018-10-27,3997857
2018-10-28,3999470
2018-10-29,4006009
2018-10-30,4002583
2018-10-31,3927584
2018-11-01,3958218
2018-11-03,3930765
2018-11-04,3950467
2018-11-05,3983246
2018-11-06,3966627
2018-11-07,3918459
2018-11-08,3919784
2018-11-09,3922580
2018-11-10,3935521
2018-11-11,3988332
2018-11-12,3967123
2018-11-13,3996297
2018-11-14,3996297
2018-11-15,3999263
2018-11-16,3936587
2018-11-17,3938481
2018-11-18,3942677
2018-11-19,3943776
2018-11-20,3969603
2018-11-21,3969603
2018-11-22,3966803
2018-11-23,3918256
2018-11-24,3914582
2018-11-25,3962143
2018-11-26,3962143
2018-11-27,3944015
2018-11-28,3962380
2018-11-29,3941709
2018-12-01,3943354
2018-12-02,3990520
2018-12-03,3990520
2018-12-04,3990821
2018-12-05,3920945
2018-12-07,3931488
2018-12-09,3960223
2018-12-10,3961199
2018-12-11,3989773
2018-12-12,3988316
2018-12-13,3960103
2018-12-14,3937969
2018-12-15,3944070
2018-12-16,3947214
2018-12-17,3950105
2018-12-18,3951231
2018-12-19,3956287
2018-12-20,3975789
2018-12-21,3940993
2018-12-22,3869946
2018-12-23,3946503
2018-12-24,3937694
2018-12-25,3950576
2018-12-26,3923369
2018-12-27,3984043
2018-12-28,3984043
2018-12-29,3901574
2018-12-30,3889343
2018-12-31,3918445
2019-01-01,3918445
2019-01-02,3956881
2019-01-03,3989770
2019-01-04,3990087
2019-01-05,3968588
2019-01-06,3914377
2019-01-08,3922678
2019-01-10,3924904
2019-01-11,3985921
2019-01-12,3971862
2019-01-13,3983223
2019-01-14,3990764
2019-01-15,3990794
2019-01-16,3990977
2019-01-17,3995937
2019-01-18,4000764
2019-01-19,3996689
2019-01-20,3985717
2019-01-21,3943797
2019-01-22,4001740
2019-01-23,3975609
2019-01-24,3924188
2019-01-25,3949105
2019-01-26,3959707
2019-01-27,3965631
2019-01-28,3967982
2019-01-29,3977192
2019-01-30,3977614
2019-01-31,3978603
2019-02-01,3982357
2019-02-02,3978904
2019-02-03,3979649
2019-02-04,3979649
2019-02-05,3981679
2019-02-06,3981353
2019-02-07,3932590
2019-02-08,3927277
2019-02-09,3935260
2019-02-10,3955385
2019-02-11,3957758
2019-02-12,3961274
2019-02-13,3965611
2019-02-14,3965611
2019-02-15,3966200
2019-02-16,3961763
2019-02-17,3961007
2019-02-18,3967157
2019-02-19,3970874
2019-02-20,3973946
2019-02-21,3973931
2019-02-22,3976130
2019-02-23,3978626
2019-02-24,3950293
2019-02-25,3980857
2019-02-26,3982870
2019-02-27,3983736
2019-02-28,3945223
2019-03-01,3984290
2019-03-02,3986251
2019-03-03,3986456
2019-03-04,3985583
2019-03-05,3935049
2019-03-06,3968627
2019-03-07,3977720
2019-03-08,3977720
2019-03-09,3981989
2019-03-10,3984200
2019-03-11,3984720
2019-03-12,3981908
2019-03-13,3978594
2019-03-14,3980151
2019-03-15,3986346
2019-03-16,3983362
2019-03-17,3985417
2019-03-18,3985417
2019-03-19,3987989
2019-03-20,3989586
2019-03-21,3980982
2019-03-22,3935511
2019-03-23,3966408
2019-03-24,3983969
2019-03-25,3983969
2019-03-26,3983923
2019-03-27,3983923
2019-03-28,3986044
2019-03-29,3988212
2019-03-30,3988212
2019-03-31,3989042
2019-04-01,3985813
2019-04-02,3974310
2019-04-03,3971282
2019-04-04,3971678
2019-04-05,3978546
2019-04-06,3984386
2019-04-07,3983790
2019-04-08,3988990
2019-04-09,3989193
2019-04-10,3989331
2019-04-11,3989862
2019-04-12,3989937
2019-04-13,3990806
2019-04-14,3991132
2019-04-15,3991790
2019-04-16,3991130
2019-04-17,3953035
2019-04-18,3958254
2019-04-19,3966497
2019-04-20,3968867
2019-04-21,3972307
2019-04-22,3976613
2019-04-23,3982726
2019-04-24,3984921
2019-04-25,3974449
2019-04-26,3931277
2019-04-27,3966266
2019-04-28,3968480
2019-04-29,3977185
2019-04-30,3945736
2019-05-01,3955190
2019-05-02,3965251
2019-05-03,3973788
2019-05-04,3960756
2019-05-05,3965729
2019-05-06,3966622
2019-05-07,3949572
2019-05-08,3931208
2019-05-09,3961695
2019-05-10,3955341
2019-05-11,3970853
2019-05-12,3977257
2019-05-13,3978273
2019-05-14,3978354
2019-05-15,3981911
2019-05-16,3980425
2019-05-17,3981901
2019-05-18,3982114
2019-05-19,3984140
2019-05-20,3978866
2019-05-21,3958610
2019-05-22,3962003
2019-05-23,3970020
2019-05-24,3982275
2019-05-25,3982871
2019-05-26,3989149
2019-05-27,3972217
2019-05-28,3973928
2019-05-29,3979653
2019-05-30,3975790
2019-05-31,3976838
2019-06-01,3975307
2019-06-02,3937660
2019-06-03,3951046
2019-06-04,3991495
2019-06-05,3984667
2019-06-06,3988325
2019-06-07,3988838
2019-06-08,3983945
2019-06-09,3986882
2019-06-10,3986882
2019-06-11,3987372
2019-06-12,3987501
2019-06-13,3990268
2019-06-14,3987332
2019-06-15,3972490
2019-06-16,3989282
2019-06-17,3982290
2019-06-18,3991704
2019-06-19,3990048
2019-06-20,3971649
2019-06-21,3946302
2019-06-22,3970598
2019-06-23,3988199
2019-06-24,3973976
2019-06-25,3973287
2019-06-26,3982256
2019-06-27,3985548
2019-06-28,3987034
2019-06-29,3985916
2019-06-30,3992246
2019-07-01,3991293
2019-07-02,3991635
2019-07-03,3985241
2019-07-04,3964525
2019-07-05,3941020
2019-07-06,3966759
2019-07-07,3970370
2019-07-08,3984189
2019-07-09,3979229
2019-07-10,3979752
2019-07-11,3982282
2019-07-12,3981260
2019-07-13,3903162
2019-07-14,3966273
2019-07-15,3980529
2019-07-16,3976532
2019-07-17,3980249
2019-07-18,3984702
2019-07-19,3983965
2019-07-20,3984786
2019-07-21,3985184
2019-07-22,3918687
2019-07-23,3975905
2019-07-24,3960326
2019-07-25,3957427
2019-07-26,3975248
