date_obj,Rune%20battleaxe price
2015-03-26,26748
2015-03-27,26022
2015-03-28,26242
2015-03-29,26381
2015-03-30,26356
2015-03-31,26351
2015-04-01,26459
2015-04-02,26323
2015-04-03,26449
2015-04-04,26463
2015-04-05,26464
2015-04-06,26183
2015-04-07,26156
2015-04-08,26141
2015-04-09,26153
2015-04-10,26332
2015-04-11,26122
2015-04-12,26330
2015-04-13,26665
2015-04-14,26647
2015-04-15,26989
2015-04-16,26876
2015-04-17,26639
2015-04-18,26558
2015-04-19,26379
2015-04-20,26330
2015-04-21,26548
2015-04-22,26702
2015-04-23,26759
2015-04-24,26505
2015-04-25,26497
2015-04-26,26204
2015-04-27,26312
2015-04-28,26205
2015-04-29,26263
2015-04-30,26275
2015-05-01,25885
2015-05-02,25567
2015-05-03,25084
2015-05-04,25290
2015-05-05,25550
2015-05-06,25828
2015-05-07,25847
2015-05-08,26058
2015-05-09,25980
2015-05-10,25844
2015-05-11,25758
2015-05-12,25990
2015-05-13,26154
2015-05-14,26320
2015-05-15,26458
2015-05-16,26433
2015-05-17,26331
2015-05-18,26613
2015-05-19,26533
2015-05-20,26693
2015-05-21,26980
2015-05-22,26734
2015-05-23,26359
2015-05-24,26057
2015-05-25,26011
2015-05-26,25969
2015-05-27,25931
2015-05-28,26174
2015-05-29,26212
2015-05-30,26030
2015-05-31,26136
2015-06-01,25950
2015-06-02,26173
2015-06-03,26142
2015-06-04,26309
2015-06-05,26381
2015-06-06,26340
2015-06-07,26269
2015-06-08,26234
2015-06-09,26277
2015-06-10,26261
2015-06-11,26277
2015-06-12,26361
2015-06-13,26581
2015-06-14,26684
2015-06-15,26698
2015-06-16,26628
2015-06-17,26745
2015-06-18,26414
2015-06-19,26210
2015-06-20,26333
2015-06-21,26352
2015-06-22,26313
2015-06-23,26282
2015-06-24,26495
2015-06-25,26651
2015-06-26,26606
2015-06-27,26685
2015-06-28,26625
2015-06-29,26233
2015-06-30,25656
2015-07-01,25794
2015-07-02,25976
2015-07-03,25832
2015-07-04,25279
2015-07-05,25116
2015-07-06,25668
2015-07-07,25924
2015-07-08,26124
2015-07-09,25950
2015-07-10,25875
2015-07-11,26033
2015-07-12,26097
2015-07-13,26012
2015-07-14,26252
2015-07-15,26340
2015-07-16,26287
2015-07-17,26469
2015-07-18,26798
2015-07-19,26499
2015-07-20,26672
2015-07-21,26720
2015-07-22,26927
2015-07-23,26719
2015-07-24,26427
2015-07-25,25826
2015-07-26,25551
2015-07-27,25575
2015-07-28,25898
2015-07-29,26183
2015-07-30,26553
2015-07-31,26723
2015-08-01,26819
2015-08-02,26854
2015-08-03,26887
2015-08-04,27176
2015-08-05,27273
2015-08-06,27312
2015-08-07,27367
2015-08-08,27386
2015-08-09,27261
2015-08-10,27354
2015-08-11,27425
2015-08-12,27653
2015-08-13,27525
2015-08-14,27536
2015-08-15,27475
2015-08-16,27268
2015-08-17,27453
2015-08-18,27520
2015-08-19,27025
2015-08-20,26942
2015-08-21,26686
2015-08-22,26417
2015-08-23,26368
2015-08-24,26585
2015-08-25,26831
2015-08-26,26963
2015-08-27,26847
2015-08-28,26538
2015-08-29,26923
2015-08-30,27055
2015-08-31,26757
2015-09-01,27081
2015-09-02,27193
2015-09-03,27377
2015-09-04,27225
2015-09-05,26619
2015-09-06,26178
2015-09-07,26358
2015-09-08,26783
2015-09-09,27170
2015-09-10,27036
2015-09-11,26902
2015-09-12,26640
2015-09-13,26252
2015-09-14,26521
2015-09-15,26637
2015-09-16,26823
2015-09-17,26921
2015-09-18,26722
2015-09-19,26963
2015-09-20,27254
2015-09-21,27409
2015-09-22,27181
2015-09-23,27329
2015-09-24,27320
2015-09-25,27094
2015-09-27,27375
2015-09-28,27461
2015-09-29,27526
2015-09-30,27371
2015-10-05,25864
2015-10-06,26509
2015-10-07,26623
2015-10-08,26894
2015-10-09,27143
2015-10-10,27401
2015-10-11,27472
2015-10-12,27429
2015-10-13,27591
2015-10-14,27695
2015-10-15,27492
2015-10-16,27355
2015-10-17,26041
2015-10-18,25034
2015-10-19,25642
2015-10-20,26015
2015-10-22,27042
2015-10-23,27132
2015-10-24,26643
2015-10-25,26344
2015-10-26,26589
2015-10-27,27252
2015-10-29,27633
2015-10-30,27729
2015-10-31,27681
2015-11-01,27341
2015-11-02,27364
2015-11-03,27531
2015-11-04,27042
2015-11-05,27391
2015-11-06,27475
2015-11-07,27601
2015-11-08,27559
2015-11-09,27261
2015-11-10,27498
2015-11-11,27225
2015-11-12,27496
2015-11-13,27450
2015-11-14,27645
2015-11-15,27608
2015-11-16,27006
2015-11-17,26620
2015-11-18,26458
2015-11-19,26866
2015-11-20,27387
2015-11-21,27524
2015-11-22,27564
2015-11-23,27235
2015-11-24,27106
2015-11-25,27079
2015-11-26,27248
2015-11-27,27387
2015-11-28,27044
2015-11-29,26758
2015-11-30,26508
2015-12-01,26438
2015-12-02,26715
2015-12-03,26906
2015-12-04,27028
2015-12-05,26974
2015-12-06,27071
2015-12-07,26916
2015-12-08,26671
2015-12-09,26760
2015-12-10,27050
2015-12-11,27020
2015-12-12,26870
