date_obj,Bronze%20kiteshield%20(g) price
2016-02-13,73112
2016-02-14,73112
2016-02-15,70344
2016-02-16,70344
2016-02-17,70028
2016-02-18,70028
2016-02-19,69671
2016-02-20,69671
2016-02-21,68052
2016-02-22,68052
2016-02-23,65758
2016-02-24,65758
2016-02-25,65501
2016-02-26,65501
2016-02-27,64280
2016-02-28,64280
2016-02-29,62852
2016-03-01,62071
2016-03-02,62071
2016-03-03,62651
2016-03-04,62651
2016-03-05,61634
2016-03-06,61634
2016-03-07,61398
2016-03-08,61398
2016-03-09,62822
2016-03-10,62822
2016-03-11,61683
2016-03-12,62212
2016-03-13,62212
2016-03-14,62736
2016-03-15,62736
2016-03-16,63448
2016-03-17,63448
2016-03-18,63461
2016-03-19,63461
2016-03-20,62865
2016-03-21,62865
2016-03-22,61582
2016-03-23,61582
2016-03-24,63156
2016-03-25,63156
2016-03-26,61585
2016-03-27,61585
2016-03-28,59158
2016-03-29,59081
2016-03-30,59081
2016-03-31,58675
2016-04-01,58675
2016-04-02,56272
2016-04-03,56272
2016-04-04,54497
2016-04-05,54497
2016-04-06,53907
2016-04-07,53907
2016-04-08,53701
2016-04-09,53701
2016-04-10,54582
2016-04-11,54582
2016-04-12,54582
2016-04-13,56957
2016-04-14,56957
2016-04-15,59224
2016-04-16,59224
2016-04-17,60638
2016-04-18,61507
2016-04-19,61507
2016-04-20,61463
2016-04-21,61463
2016-04-22,61194
2016-04-23,61194
2016-04-24,61703
2016-04-25,61703
2016-04-26,60986
2016-04-27,60986
2016-04-28,61124
2016-04-29,61124
2016-04-30,62749
2016-05-01,62749
2016-05-02,64729
2016-05-03,64729
2016-05-04,67165
2016-05-05,67165
2016-05-06,69798
2016-05-07,69798
2016-05-08,70327
2016-05-09,70327
2016-05-10,68818
2016-05-11,68818
2016-05-12,69494
2016-05-13,70475
2016-05-14,70475
2016-05-15,69019
2016-05-16,69019
2016-05-17,69154
2016-05-18,69154
2016-05-19,68023
2016-05-22,67755
2016-05-23,64484
2016-05-24,64484
2016-05-25,62287
2016-05-26,62287
2016-05-27,61780
2016-05-28,61780
2016-05-29,59592
2016-05-30,59592
2016-05-31,59781
2016-06-01,59549
2016-06-02,59549
2016-06-03,58181
2016-06-04,58181
2016-06-05,56538
2016-06-06,55813
2016-06-07,55813
2016-06-08,55396
2016-06-09,55149
2016-06-10,55149
2016-06-11,55104
2016-06-12,55104
2016-06-13,54045
2016-06-14,52633
2016-06-15,52633
2016-06-16,50969
2016-06-17,50212
2016-06-18,50212
2016-06-19,49381
2016-06-20,49381
2016-06-21,50991
2016-06-22,50991
2016-06-23,52749
2016-06-24,52749
2016-06-25,52947
2016-06-26,52947
2016-06-27,54704
2016-06-28,54704
2016-06-29,56424
2016-06-30,56424
2016-07-01,57376
2016-07-02,57376
2016-07-03,58527
2016-07-04,58164
2016-07-05,58164
2016-07-06,56056
2016-07-07,53560
2016-07-08,50882
2016-07-09,48568
2016-07-10,47260
2016-07-11,46133
2016-07-12,46133
2016-07-13,46352
2016-07-14,45256
2016-07-15,45256
2016-07-16,45575
2016-07-17,45575
2016-07-18,45932
2016-07-23,45010
2016-07-24,45112
2016-07-25,45112
2016-07-26,45406
2016-07-27,45406
2016-07-28,45914
2016-07-29,44671
2016-07-30,44671
2016-07-31,43703
2016-08-01,43703
2016-08-02,44236
2016-08-03,44236
2016-08-04,44098
2016-08-05,44098
2016-08-06,44293
2016-08-07,44964
2016-08-08,44964
2016-08-09,44899
2016-08-10,44899
2016-08-11,44701
2016-08-12,44701
2016-08-13,43741
2016-08-14,43741
2016-08-15,42146
2016-08-16,42146
2016-08-17,40377
2016-08-18,40377
2016-08-19,39025
2016-08-20,37317
2016-08-21,37317
2016-08-22,36204
2016-08-23,36204
2016-08-24,36523
2016-08-25,36523
2016-08-26,36523
2016-08-28,36868
2016-08-31,37901
2016-09-01,37901
2016-09-02,38281
2016-09-03,38281
2016-09-04,37821
2016-09-05,37821
2016-09-06,37943
2016-09-07,37943
2016-09-08,37943
2016-09-09,37302
2016-09-10,37302
2016-09-11,37922
2016-09-12,37922
2016-09-13,38523
2016-09-14,38523
2016-09-15,39246
2016-09-16,39246
2016-09-17,38915
2016-09-18,38915
2016-09-19,39842
2016-09-20,39842
2016-09-21,40713
2016-09-22,40459
2016-09-23,40459
2016-09-24,40459
2016-09-25,39646
2016-09-26,39646
2016-09-27,39671
2016-09-28,39671
2016-09-29,39034
2016-09-30,39034
2016-10-01,38517
2016-10-02,38517
2016-10-03,38517
2016-10-04,39101
2016-10-05,39101
2016-10-06,39945
2016-10-07,39945
2016-10-08,40383
2016-10-09,40383
2016-10-10,41288
2016-10-11,41288
2016-10-12,42276
2016-10-13,42276
2016-10-14,42626
2016-10-15,42626
2016-10-16,43599
2016-10-17,44395
2016-10-18,44395
2016-10-19,44698
2016-10-20,44698
2016-10-21,45002
2016-10-22,45002
2016-10-23,45443
2016-10-24,45443
2016-10-25,44802
2016-10-26,45509
2016-10-27,45509
2016-10-28,45509
2016-10-29,44908
2016-10-30,44908
2016-10-31,45284
2016-11-01,45284
2016-11-02,44918
2016-11-03,44918
2016-11-04,45412
2016-11-05,45412
2016-11-06,46706
2016-11-07,46706
2016-11-08,47964
2016-11-09,47964
2016-11-10,47895
2016-11-11,47895
2016-11-12,47579
2016-11-13,47579
2016-11-14,47421
2016-11-15,47421
2016-12-07,50449
2016-12-08,49508
2016-12-09,49508
2016-12-10,48501
2016-12-11,46779
2016-12-12,46779
2016-12-13,46221
2016-12-14,46221
2016-12-15,45916
2016-12-16,45916
2016-12-17,45672
2016-12-18,45672
2016-12-19,44269
2016-12-20,44269
2016-12-21,43853
2016-12-22,43853
2016-12-23,42944
2016-12-24,42944
2016-12-25,42421
2016-12-26,42421
2016-12-27,42212
2016-12-28,42212
2016-12-29,41517
2016-12-30,41517
2016-12-31,41208
2017-01-01,41208
2017-01-02,41191
2017-01-03,41191
2017-01-04,40874
2017-01-05,40874
2017-01-06,38988
2017-01-07,37960
2017-01-08,36403
2017-01-09,36403
2017-01-10,34629
2017-01-11,34629
2017-01-12,34462
2017-01-13,34462
2017-01-14,34452
2017-01-15,34862
2017-01-16,34862
2017-01-17,34587
2017-01-18,34587
2017-01-19,35051
2017-01-20,35051
2017-01-21,35631
2017-01-22,35631
2017-01-23,35151
2017-01-27,36280
2017-01-28,36517
2017-01-29,36517
2017-01-30,36308
2017-01-31,36308
2017-02-01,37027
2017-02-02,37027
2017-02-03,38018
2017-02-04,38579
2017-02-05,38579
2017-02-06,38781
2017-02-07,38781
2017-02-08,39316
2017-02-09,39316
2017-02-10,39207
2017-02-11,38918
2017-02-12,38918
2017-02-13,39419
2017-02-14,39419
2017-02-15,40038
2017-02-16,40038
2017-02-18,39922
2017-02-19,39880
2017-02-20,39880
2017-02-21,40633
2017-02-22,40633
2017-02-23,40925
2017-02-24,40925
2017-02-25,40879
2017-02-26,40879
2017-02-27,40778
2017-02-28,39989
2017-03-01,39972
2017-03-02,40172
2017-03-03,40172
2017-03-04,39656
2017-03-05,39656
2017-03-06,39147
2017-03-07,39147
2017-03-08,38864
2017-03-09,38864
2017-03-10,39551
2017-03-11,40014
2017-03-12,40014
2017-03-13,40174
2017-03-14,40363
2017-03-15,40363
2017-03-16,39581
2017-03-17,39581
2017-03-18,39060
2017-03-19,39076
2017-03-20,39076
2017-03-21,40261
2017-03-22,40261
2017-03-23,41179
2017-03-24,41179
2017-03-25,41446
2017-03-26,41446
2017-03-27,42323
2017-03-28,42323
2017-03-29,43185
2017-03-30,43185
2017-03-31,43015
2017-04-01,43015
2017-04-02,43935
2017-04-03,44246
2017-04-04,44246
2017-04-12,43614
2017-04-13,42416
2017-04-14,42416
2017-04-15,40936
2017-04-16,40864
2017-04-17,40864
2017-04-18,40759
2017-04-19,40759
2017-04-20,40638
2017-04-21,40638
2017-04-22,40567
2017-04-23,40567
2017-04-24,40187
2017-04-25,39797
2017-04-26,39797
2017-04-27,39451
2017-04-28,39451
2017-04-29,39661
2017-04-30,39661
2017-05-01,40048
2017-05-02,40048
2017-05-03,40425
2017-05-04,40425
2017-05-05,41152
2017-05-06,41152
2017-05-07,42009
2017-05-08,42009
2017-05-09,42675
2017-05-10,42675
2017-05-11,43370
2017-05-12,43370
2017-05-13,44327
2017-05-14,44327
2017-05-15,44327
2017-05-16,44963
2017-05-17,44963
2017-05-18,44652
2017-05-19,44652
2017-05-20,45208
2017-05-21,45208
2017-05-22,45208
2017-05-23,45508
2017-05-24,45508
2017-05-25,45508
2017-05-26,45863
2017-05-27,45863
2017-05-28,45863
2017-05-29,45879
2017-05-30,45879
2017-05-31,46547
2017-06-01,46547
2017-06-02,47481
