date_obj,Yellow%20robe%20top price
2015-03-04,1200
2015-03-05,1200
2015-03-06,1211
2015-03-07,1211
2015-03-08,1211
2015-03-09,1211
2015-03-10,1211
2015-03-11,1211
2015-03-12,1211
2015-03-13,1211
2015-03-14,1211
2015-03-15,1211
2015-03-16,1211
2015-03-17,1211
2015-03-18,1190
2015-03-19,1190
2015-03-20,1190
2015-03-21,1190
2015-03-22,1190
2015-03-23,1190
2015-03-24,1190
2015-03-25,1190
2015-03-26,1190
2015-03-27,1190
2015-03-28,1190
2015-03-29,1190
2015-03-30,1190
2015-03-31,1190
2015-04-01,1190
2015-04-02,1190
2015-04-03,1190
2015-04-04,1190
2015-04-05,1190
2015-04-06,1190
2015-04-07,1190
2015-04-08,1190
2015-04-09,1190
2015-04-10,1195
2015-04-11,1195
2015-04-12,1195
2015-04-13,1195
2015-04-14,1195
2015-04-15,1195
2015-04-16,1195
2015-04-17,1195
2015-04-18,1195
2015-04-19,1195
2015-04-20,1195
2015-04-21,1195
2015-04-22,1185
2015-04-23,1185
2015-04-24,1185
2015-04-25,1185
2015-04-26,1185
2015-04-27,1185
2015-04-28,1185
2015-04-29,1185
2015-04-30,1185
2015-05-01,1185
2015-05-02,1185
2015-05-03,1185
2015-05-04,1185
2015-05-05,1203
2015-05-06,1203
2015-05-07,1203
2015-05-08,1203
2015-05-09,1203
2015-05-10,1203
2015-05-11,1203
2015-05-12,1203
2015-05-13,1203
2015-05-14,1203
2015-05-15,1203
2015-05-16,1203
2015-05-17,1203
2015-05-18,1203
2015-05-19,1151
2015-05-20,1151
2015-05-21,1151
2015-05-22,1151
2015-05-23,1151
2015-05-24,1151
2015-05-25,1151
2015-05-26,1151
2015-05-27,1151
2015-05-28,1151
2015-05-29,1143
2015-05-30,1143
2015-05-31,1143
2015-06-01,1143
2015-06-02,1143
2015-06-03,1143
2015-06-04,1143
2015-06-05,1143
2015-06-06,1143
2015-06-07,1143
2015-06-08,1130
2015-06-09,1130
2015-06-10,1130
2015-06-11,1130
2015-06-12,1130
2015-06-13,1130
2015-06-14,1130
2015-06-15,1130
2015-06-16,1130
2015-06-17,1130
2015-06-18,1076
2015-06-19,1076
2015-06-20,1076
2015-06-21,1076
2015-06-22,1076
2015-06-23,1076
2015-06-24,1076
2015-06-25,1076
2015-06-26,1076
2015-06-27,1076
2015-06-28,1037
2015-06-29,1037
2015-06-30,1037
2015-07-01,1037
2015-07-02,1037
2015-07-03,1037
2015-07-04,1037
2015-07-05,1037
2015-07-06,1037
2015-07-07,1037
2015-07-08,1037
2015-07-09,1037
2015-07-10,1026
2015-07-11,1026
2015-07-12,1026
2015-07-13,1026
2015-07-14,1026
2015-07-15,1026
2015-07-16,1026
2015-07-17,1026
2015-07-18,1026
2015-07-19,1026
2015-07-20,1018
2015-07-21,1018
2015-07-22,1018
2015-07-23,1018
2015-07-24,1018
2015-07-25,1018
2015-07-26,1018
2015-07-27,1018
2015-07-28,1018
2015-07-29,1018
2015-07-30,1014
2015-07-31,1014
2015-08-01,1014
2015-08-02,1014
2015-08-03,1014
2015-08-04,1014
2015-08-05,1014
2015-08-06,1014
2015-08-07,1014
2015-08-08,1014
2015-08-09,1024
2015-08-10,1024
2015-08-11,1024
2015-08-12,1024
2015-08-13,1024
2015-08-14,1024
2015-08-15,1024
2015-08-16,1024
2015-08-17,1024
2015-08-18,1024
2015-08-19,1024
2015-08-20,1032
2015-08-21,1032
2015-08-22,1032
2015-08-23,1032
2015-08-24,1032
2015-08-25,1032
2015-08-26,1032
2015-08-27,1032
2015-08-28,1032
2015-08-29,1032
2015-08-30,1032
2015-08-31,1017
2015-09-02,1017
2015-09-07,1017
2015-09-08,1017
2015-09-10,1017
2015-09-14,1021
2015-09-16,1021
2015-09-22,1021
2015-09-23,993
2015-09-24,993
2015-09-25,993
2015-09-27,993
2015-09-28,993
2015-09-29,993
2015-09-30,993
2015-10-05,993
2015-10-06,987
2015-10-07,987
2015-10-08,987
2015-10-09,987
2015-10-10,987
2015-10-11,987
2015-10-12,987
2015-10-13,987
2015-10-14,987
2015-10-15,987
2015-10-16,987
2015-10-17,987
2015-10-18,987
2015-10-19,987
2015-10-20,977
2015-10-22,977
2015-10-23,977
2015-10-24,977
2015-10-25,977
2015-10-26,977
2015-10-27,977
2015-10-29,977
2015-10-30,977
2015-10-31,973
2015-11-01,973
2015-11-02,973
2015-11-03,973
2015-11-05,973
2015-11-06,973
2015-11-07,973
2015-11-08,973
2015-11-09,973
2015-11-10,973
2015-11-11,973
2015-11-12,973
2015-11-13,973
2015-11-14,973
2015-11-15,957
2015-11-16,957
2015-11-17,957
2015-11-18,957
2015-11-19,957
2015-11-20,957
2015-11-21,957
2015-11-22,957
2015-11-23,957
2015-11-24,957
2015-11-25,957
2015-11-26,957
2015-11-27,949
2015-11-28,949
2015-11-29,949
2015-11-30,949
2015-12-01,949
2015-12-02,949
2015-12-03,949
2015-12-04,949
2015-12-05,949
2015-12-06,949
2015-12-07,949
2015-12-08,921
2015-12-09,921
2015-12-10,921
2015-12-11,921
2015-12-13,921
2015-12-14,921
2015-12-15,921
2015-12-16,921
2015-12-17,921
2015-12-18,921
2015-12-19,921
2015-12-20,901
2015-12-21,901
2015-12-22,901
2015-12-23,901
2015-12-24,901
2015-12-25,901
2015-12-26,901
2015-12-27,901
2015-12-28,901
2015-12-29,901
2015-12-30,901
2015-12-31,892
2016-01-01,892
2016-01-02,892
2016-01-03,892
2016-01-04,892
2016-01-05,892
2016-01-06,892
2016-01-07,892
2016-01-08,892
2016-01-09,892
2016-01-10,892
2016-01-11,913
2016-01-12,913
2016-01-13,913
2016-01-14,913
2016-01-15,913
2016-01-16,913
2016-01-17,913
2016-01-18,913
2016-01-19,913
2016-01-20,913
2016-01-21,913
2016-01-22,889
2016-01-23,889
2016-01-24,889
2016-01-25,889
2016-01-26,889
2016-01-27,889
2016-01-28,889
2016-01-29,889
2016-01-30,889
2016-01-31,889
2016-02-01,889
2016-02-02,891
2016-02-03,891
2016-02-04,891
2016-02-05,891
2016-02-06,891
2016-02-07,891
2016-02-08,891
2016-02-09,891
2016-02-10,891
2016-02-11,891
2016-02-12,891
2016-02-13,879
2016-02-14,879
2016-02-15,879
2016-02-16,879
2016-02-17,879
2016-02-18,879
2016-02-19,879
2016-02-20,879
2016-02-21,879
2016-02-22,879
2016-02-23,879
2016-02-24,879
2016-02-25,870
2016-02-26,870
2016-02-27,870
2016-02-28,870
2016-02-29,870
2016-03-01,870
2016-03-02,870
2016-03-03,870
2016-03-04,870
2016-03-05,870
2016-03-06,863
2016-03-07,863
2016-03-08,863
2016-03-09,863
2016-03-10,863
2016-03-11,863
2016-03-12,863
2016-03-13,863
2016-03-14,863
2016-03-15,863
2016-03-16,863
2016-03-17,881
2016-03-18,881
2016-03-19,881
2016-03-20,881
2016-03-21,881
2016-03-22,881
2016-03-23,881
2016-03-24,881
2016-03-25,881
2016-03-26,881
2016-03-27,859
2016-03-28,859
2016-03-29,859
2016-03-30,859
2016-03-31,859
2016-04-01,859
2016-04-02,859
2016-04-03,859
2016-04-04,859
2016-04-05,859
2016-04-06,859
2016-04-07,859
2016-04-08,867
2016-04-09,867
2016-04-10,867
2016-04-11,867
2016-04-12,867
2016-04-13,867
2016-04-14,867
2016-04-15,867
2016-04-16,867
2016-04-17,867
2016-04-18,874
2016-04-19,874
2016-04-20,874
2016-04-21,874
2016-04-22,874
2016-04-23,874
2016-04-24,874
2016-04-25,874
2016-04-26,874
2016-04-27,874
2016-04-28,874
2016-04-29,888
2016-04-30,888
2016-05-01,888
2016-05-02,888
2016-05-03,888
2016-05-04,888
2016-05-05,888
2016-05-06,888
2016-05-07,888
2016-05-08,888
2016-05-09,888
2016-05-10,888
2016-05-11,888
2016-05-12,888
2016-05-13,888
2016-05-14,888
2016-05-15,888
2016-05-16,888
2016-05-17,888
2016-05-18,888
2016-05-19,888
2016-05-22,903
2016-05-23,903
2016-05-24,903
2016-05-25,903
2016-05-26,903
2016-05-27,903
2016-05-28,903
2016-05-29,903
2016-05-30,903
2016-05-31,918
2016-06-01,918
2016-06-02,918
2016-06-03,918
2016-06-04,918
2016-06-05,918
2016-06-06,918
2016-06-07,918
2016-06-08,918
2016-06-09,912
2016-06-10,912
2016-06-11,912
2016-06-12,912
2016-06-13,912
2016-06-14,912
2016-06-15,912
2016-06-16,912
2016-06-17,912
2016-06-18,912
2016-06-19,912
2016-06-20,911
2016-06-21,911
2016-06-22,911
2016-06-23,911
2016-06-24,911
2016-06-25,911
2016-06-26,911
2016-06-27,911
2016-06-28,911
2016-06-29,911
2016-06-30,911
2016-07-01,928
2016-07-02,928
2016-07-03,928
2016-07-04,928
2016-07-05,928
2016-07-06,928
2016-07-07,928
2016-07-08,928
2016-07-09,928
2016-07-10,928
2016-07-11,939
2016-07-12,939
2016-07-13,939
2016-07-14,939
2016-07-15,939
2016-07-16,939
2016-07-17,939
2016-07-18,939
2016-07-24,931
2016-07-25,931
2016-07-26,931
2016-07-27,931
2016-07-28,931
2016-07-29,931
2016-07-30,931
2016-07-31,931
2016-08-01,931
2016-08-02,931
2016-08-03,935
2016-08-04,935
2016-08-05,935
2016-08-06,935
2016-08-07,935
2016-08-08,935
2016-08-09,935
2016-08-10,935
2016-08-11,935
2016-08-12,935
2016-08-13,935
2016-08-14,935
2016-08-15,935
2016-08-16,935
2016-08-17,922
2016-08-18,922
2016-08-19,922
2016-08-20,922
2016-08-21,922
2016-08-22,922
2016-08-23,922
2016-08-24,922
2016-08-25,922
2016-08-26,922
2016-08-28,922
2016-08-31,922
