date_obj,Steel%20full%20helm price
2015-03-26,357
2015-03-27,357
2015-03-28,339
2015-03-29,322
2015-03-30,306
2015-03-31,291
2015-04-01,291
2015-04-02,276
2015-04-03,263
2015-04-04,251
2015-04-05,251
2015-04-06,239
2015-04-07,233
2015-04-08,233
2015-04-09,222
2015-04-10,212
2015-04-11,205
2015-04-12,198
2015-04-13,190
2015-04-14,190
2015-04-15,183
2015-04-16,174
2015-04-17,165
2015-04-18,156
2015-04-19,149
2015-04-20,149
2015-04-21,144
2015-04-22,141
2015-04-23,139
2015-04-24,142
2015-04-25,138
2015-04-26,135
2015-04-27,130
2015-04-28,128
2015-04-29,128
2015-04-30,129
2015-05-01,133
2015-05-02,132
2015-05-03,132
2015-05-04,135
2015-05-05,137
2015-05-06,139
2015-05-07,140
2015-05-08,139
2015-05-09,139
2015-05-10,140
2015-05-11,140
2015-05-12,137
2015-05-13,132
2015-05-14,131
2015-05-15,130
2015-05-16,130
2015-05-17,130
2015-05-18,134
2015-05-19,138
2015-05-20,138
2015-05-21,137
2015-05-22,134
2015-05-23,134
2015-05-24,137
2015-05-25,139
2015-05-26,142
2015-05-27,143
2015-05-28,146
2015-05-29,148
2015-05-30,151
2015-05-31,151
2015-06-01,150
2015-06-02,150
2015-06-03,156
2015-06-04,159
2015-06-05,161
2015-06-06,154
2015-06-07,153
2015-06-08,149
2015-06-09,148
2015-06-10,150
2015-06-11,150
2015-06-12,147
2015-06-13,152
2015-06-14,155
2015-06-15,161
2015-06-16,164
2015-06-17,167
2015-06-18,170
2015-06-19,170
2015-06-20,167
2015-06-21,166
2015-06-22,172
2015-06-23,176
2015-06-24,178
2015-06-25,178
2015-06-26,180
2015-06-27,180
2015-06-28,183
2015-06-29,186
2015-06-30,187
2015-07-01,190
2015-07-02,190
2015-07-03,192
2015-07-04,197
2015-07-05,190
2015-07-06,186
2015-07-07,179
2015-07-08,183
2015-07-09,183
2015-07-10,186
2015-07-11,187
2015-07-12,184
2015-07-13,185
2015-07-14,185
2015-07-15,186
2015-07-16,185
2015-07-17,187
2015-07-18,190
2015-07-19,189
2015-07-20,185
2015-07-21,179
2015-07-22,175
2015-07-23,175
2015-07-24,171
2015-07-25,174
2015-07-26,174
2015-07-27,174
2015-07-28,174
2015-07-29,178
2015-07-30,180
2015-07-31,181
2015-08-01,177
2015-08-02,175
2015-08-03,176
2015-08-04,170
2015-08-05,176
2015-08-06,177
2015-08-07,178
2015-08-08,183
2015-08-09,183
2015-08-10,180
2015-08-11,183
2015-08-12,183
2015-08-13,188
2015-08-14,187
2015-08-15,181
2015-08-16,184
2015-08-17,189
2015-08-18,192
2015-08-19,196
2015-08-20,200
2015-08-21,201
2015-08-22,191
2015-08-23,182
2015-08-24,176
2015-08-25,176
2015-08-26,170
2015-08-27,168
2015-08-28,169
2015-08-29,172
2015-08-30,172
2015-08-31,176
2015-09-01,179
2015-09-02,179
2015-09-03,179
2015-09-04,177
2015-09-05,177
2015-09-06,173
2015-09-07,169
2015-09-08,171
2015-09-09,163
2015-09-10,165
2015-09-11,164
2015-09-12,166
2015-09-13,170
2015-09-14,167
2015-09-15,166
2015-09-16,166
2015-09-17,166
2015-09-18,166
2015-09-19,166
2015-09-20,171
2015-09-21,175
2015-09-22,178
2015-09-23,179
2015-09-24,179
2015-09-25,178
2015-09-27,181
2015-09-28,180
2015-09-29,180
2015-09-30,180
2015-10-05,174
2015-10-06,180
2015-10-07,184
2015-10-08,180
2015-10-09,182
2015-10-10,182
2015-10-11,184
2015-10-12,186
2015-10-13,186
2015-10-14,190
2015-10-15,196
2015-10-16,200
2015-10-17,200
2015-10-18,196
2015-10-19,200
2015-10-20,198
2015-10-22,198
2015-10-23,197
2015-10-24,199
2015-10-25,201
2015-10-26,203
2015-10-27,203
2015-10-29,198
2015-10-30,193
2015-10-31,195
2015-11-01,195
2015-11-02,194
2015-11-03,196
2015-11-04,198
2015-11-05,200
2015-11-06,200
2015-11-07,200
2015-11-08,200
2015-11-09,191
2015-11-10,197
2015-11-11,202
2015-11-12,202
2015-11-13,203
2015-11-14,201
2015-11-15,200
2015-11-16,202
2015-11-17,203
2015-11-18,203
2015-11-19,206
2015-11-20,212
2015-11-21,212
2015-11-22,216
2015-11-23,216
2015-11-24,220
2015-11-25,226
2015-11-26,226
2015-11-27,220
2015-11-28,224
2015-11-29,218
2015-11-30,219
2015-12-01,219
2015-12-02,216
2015-12-03,216
